operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteInvestigationGroupPolicy,/investigationGroups/{identifier}/policy,DELETE,Removes the IAM resource policy from being asso...,investigation_group_policies,investigation_group_policies,delete_investigation_group_policy,delete,,,,,
PutInvestigationGroupPolicy,/investigationGroups/{identifier}/policy,POST,Creates an IAM resource policy and assigns it t...,investigation_group_policies,investigation_group_policies,put_investigation_group_policy,insert,,,,,
GetInvestigationGroupPolicy,/investigationGroups/{identifier}/policy,GET,Returns the JSON of the IAM resource policy ass...,investigation_group_policies,investigation_group_policies,get_investigation_group_policy,select,,,,,
DeleteInvestigationGroup,/investigationGroups/{identifier},DELETE,Deletes the specified investigation group from ...,investigation_groups,investigation_groups,delete_investigation_group,delete,,,,,
CreateInvestigationGroup,/investigationGroups,POST,Creates an _investigation group_ in your accoun...,investigation_groups,investigation_groups,create_investigation_group,insert,,,,,
GetInvestigationGroup,/investigationGroups/{identifier},GET,Returns the configuration information for the s...,investigation_groups,investigation_groups,get_investigation_group,select,,,,,
ListInvestigationGroups,/investigationGroups,GET,Returns the ARN and name of each investigation ...,investigation_groups,investigation_groups,list_investigation_groups,select,$.investigationGroups,,,,
UpdateInvestigationGroup,/investigationGroups/{identifier},PATCH,Updates the configuration of the specified inve...,investigation_groups,investigation_groups,update_investigation_group,update,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes one or more tags from the specified res...,tags,resources,untag_resource,exec,,,,,
TagResource,/tags/{resourceArn},POST,Assigns one or more tags (key-value pairs) to t...,tags,resources,tag_resource,exec,,,,,
ListTagsForResource,/tags/{resourceArn},GET,Displays the tags associated with a CloudWatch ...,tags,tags_for_resources,list_tags_for_resource,select,,,,,
