operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GenerateAccessLogs,/apps/{appId}/accesslogs,POST,appId,,,"appId,domainName",Returns the website access logs for a specific ...,apps,generate_access_logs,exec,,,,,
CreateApp,/apps,POST,,,,name,Creates a new Amplify app.,apps,create_app,insert,,,,,
DeleteApp,/apps/{appId},DELETE,appId,,,,Deletes an existing Amplify app specified by an...,apps,delete_app,delete,,,,,
GetApp,/apps/{appId},GET,appId,,,,Returns an existing Amplify app specified by an...,apps,get_app,select,,,,,
ListApps,/apps,GET,,,,,Returns a list of the existing Amplify apps.,apps,list_apps,select,$.apps,,,,
UpdateApp,/apps/{appId},POST,appId,,,name,Updates an existing Amplify app.,apps,update_app,update,,,,,
GetArtifactUrl,/artifacts/{artifactId},GET,artifactId,,,,Returns the artifact info that corresponds to a...,artifacts,get_artifact_url,select,,,,,
ListArtifacts,/apps/{appId}/branches/{branchName}/jobs/{jobId}/artifacts,GET,"appId,branchName,jobId",,,,Returns a list of end-to-end testing artifacts ...,artifacts,list_artifacts,select,,,,,
CreateBackendEnvironment,/apps/{appId}/backendenvironments,POST,appId,,,"backendEnvironmentArn,createTime,environmentName,updateTime",Creates a new backend environment for an Amplif...,backend_environments,create_backend_environment,insert,,,,,
DeleteBackendEnvironment,/apps/{appId}/backendenvironments/{environmentName},DELETE,"appId,environmentName",,,,Deletes a backend environment for an Amplify ap...,backend_environments,delete_backend_environment,delete,,,,,
GetBackendEnvironment,/apps/{appId}/backendenvironments/{environmentName},GET,"appId,environmentName",,,,Returns a backend environment for an Amplify ap...,backend_environments,get_backend_environment,select,,,,,
ListBackendEnvironments,/apps/{appId}/backendenvironments,GET,appId,,,,Lists the backend environments for an Amplify a...,backend_environments,list_backend_environments,select,,,,,
CreateBranch,/apps/{appId}/branches,POST,appId,,,"activeJobId,branchArn,branchName,createTime,customDomains,description,displayName,enableAutoBuild,enableBasicAuth,enableNotification,enablePullRequestPreview,environmentVariables,framework,stage,totalNumberOfJobs,ttl,updateTime",Creates a new branch for an Amplify app.,branches,create_branch,insert,,,,,
DeleteBranch,/apps/{appId}/branches/{branchName},DELETE,"appId,branchName",,,,Deletes a branch for an Amplify app.,branches,delete_branch,delete,,,,,
GetBranch,/apps/{appId}/branches/{branchName},GET,"appId,branchName",,,,Returns a branch for an Amplify app.,branches,get_branch,select,,,,,
ListBranches,/apps/{appId}/branches,GET,appId,,,,Lists the branches of an Amplify app.,branches,list_branches,select,$.branches,,,,
UpdateBranch,/apps/{appId}/branches/{branchName},POST,"appId,branchName",,,"activeJobId,branchArn,branchName,createTime,customDomains,description,displayName,enableAutoBuild,enableBasicAuth,enableNotification,enablePullRequestPreview,environmentVariables,framework,stage,totalNumberOfJobs,ttl,updateTime",Updates a branch for an Amplify app.,branches,update_branch,update,,,,,
CreateDeployment,/apps/{appId}/branches/{branchName}/deployments,POST,"appId,branchName",,,"appId,branchName",Creates a deployment for a manually deployed Am...,deployments,create_deployment,insert,,,,,
StartDeployment,/apps/{appId}/branches/{branchName}/deployments/start,POST,"appId,branchName",,,"commitId,commitMessage,commitTime,jobArn,jobId,jobType,startTime,status",Starts a deployment for a manually deployed app...,deployments,start_deployment,exec,,,,,
