operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CloneBackend,/backend/{AppId}/environments/{BackendEnvironmentName}/clone,POST,"AppId,BackendEnvironmentName",,,"AppId,BackendEnvironmentName,TargetEnvironmentName",This operation clones an existing backend.,backends,clone_backend,exec,,,,,
CreateBackend,/backend,POST,,,,"AppId,AppName,BackendEnvironmentName",This operation creates a backend for an Amplify...,backends,create_backend,insert,,,,,
CreateBackendAPI,/backend/{AppId}/api,POST,AppId,,,"AppId,BackendEnvironmentName,ResourceConfig,ResourceName",Creates a new backend API resource.,backend_apis,create_backend_api,insert,,,,,
CreateBackendAuth,/backend/{AppId}/auth,POST,AppId,,,"AppId,BackendEnvironmentName,ResourceConfig,ResourceName",Creates a new backend authentication resource.,backend_auth,create_backend_auth,insert,,,,,
CreateBackendConfig,/backend/{AppId}/config,POST,AppId,,,AppId,Creates a config object for a backend.,backend_configs,create_backend_config,insert,,,,,
CreateBackendStorage,/backend/{AppId}/storage,POST,AppId,,,"AppId,BackendEnvironmentName,ResourceConfig,ResourceName",Creates a backend storage resource.,backend_storage,create_backend_storage,insert,,,,,
CreateToken,/backend/{AppId}/challenge,POST,AppId,,,,Generates a one-time challenge code to authenti...,tokens,create_token,insert,,,,,
DeleteBackend,/backend/{AppId}/environments/{BackendEnvironmentName}/remove,POST,"AppId,BackendEnvironmentName",,,,Removes an existing environment from your Ampli...,backends,delete_backend,delete,,,,,
DeleteBackendAPI,/backend/{AppId}/api/{BackendEnvironmentName}/remove,POST,"AppId,BackendEnvironmentName",,,"AppId,BackendEnvironmentName,ResourceConfig,ResourceName",Deletes an existing backend API resource.,backend_apis,delete_backend_api,delete,,,,,
DeleteBackendAuth,/backend/{AppId}/auth/{BackendEnvironmentName}/remove,POST,"AppId,BackendEnvironmentName",,,"AppId,BackendEnvironmentName,ResourceConfig,ResourceName",Deletes an existing backend authentication reso...,backend_auth,delete_backend_auth,delete,,,,,
DeleteBackendStorage,/backend/{AppId}/storage/{BackendEnvironmentName}/remove,POST,"AppId,BackendEnvironmentName",,,"AppId,BackendEnvironmentName,ResourceName,ServiceName",Removes the specified backend storage resource.,backend_storage,delete_backend_storage,delete,,,,,
