operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateApi,/v2/apis,POST,,,,"Name,ProtocolType",Creates an Api resource.,apis,create_api,insert,,,,,
GetApis,/v2/apis,GET,,,,,Gets a collection of Api resources.,apis,get_apis,select,,,,,
ImportApi,/v2/apis,PUT,,,,"Body,Title",Imports an API.,apis,import_api,exec,,,,,
DeleteApi,/v2/apis/{ApiId},DELETE,ApiId,,,,Deletes an Api resource.,apis,delete_api,delete,,,,,
GetApi,/v2/apis/{ApiId},GET,ApiId,,,,Gets an Api resource.,apis,get_api,select,,,,,
ReimportApi,/v2/apis/{ApiId},PUT,ApiId,,,"Body,Title",Puts an Api resource.,apis,reimport_api,exec,,,,,
UpdateApi,/v2/apis/{ApiId},PATCH,ApiId,,,"Name,ProtocolType",Updates an Api resource.,apis,update_api,update,,,,,
CreateAuthorizer,/v2/apis/{ApiId}/authorizers,POST,ApiId,,,Name,Creates an Authorizer for an API.,authorizers,create_authorizer,insert,,,,,
GetAuthorizers,/v2/apis/{ApiId}/authorizers,GET,ApiId,,,,Gets the Authorizers for an API.,authorizers,get_authorizers,select,,,,,
DeleteAuthorizer,/v2/apis/{ApiId}/authorizers/{AuthorizerId},DELETE,"ApiId,AuthorizerId",,,,Deletes an Authorizer.,authorizers,delete_authorizer,delete,,,,,
GetAuthorizer,/v2/apis/{ApiId}/authorizers/{AuthorizerId},GET,"ApiId,AuthorizerId",,,,Gets an Authorizer.,authorizers,get_authorizer,select,,,,,
UpdateAuthorizer,/v2/apis/{ApiId}/authorizers/{AuthorizerId},PATCH,"ApiId,AuthorizerId",,,Name,Updates an Authorizer.,authorizers,update_authorizer,update,,,,,
DeleteCorsConfiguration,/v2/apis/{ApiId}/cors,DELETE,ApiId,,,,Deletes a CORS configuration.,apis,delete_cors_configuration,exec,,,,,
CreateDeployment,/v2/apis/{ApiId}/deployments,POST,ApiId,,,ApiId,Creates a Deployment for an API.,deployments,create_deployment,insert,,,,,
GetDeployments,/v2/apis/{ApiId}/deployments,GET,ApiId,,,,Gets the Deployments for an API.,deployments,get_deployments,select,,,,,
DeleteDeployment,/v2/apis/{ApiId}/deployments/{DeploymentId},DELETE,"ApiId,DeploymentId",,,,Deletes a Deployment.,deployments,delete_deployment,delete,,,,,
GetDeployment,/v2/apis/{ApiId}/deployments/{DeploymentId},GET,"ApiId,DeploymentId",,,,Gets a Deployment.,deployments,get_deployment,select,,,,,
UpdateDeployment,/v2/apis/{ApiId}/deployments/{DeploymentId},PATCH,"ApiId,DeploymentId",,,"Name,ProtocolType,RouteSelectionExpression",Updates a Deployment.,deployments,update_deployment,update,,,,,
ExportApi,/v2/apis/{ApiId}/exports/{Specification},GET,"ApiId,Specification",,outputType,,,apis,export_api,exec,,,,,
CreateIntegration,/v2/apis/{ApiId}/integrations,POST,ApiId,,,"ApiId,IntegrationType",Creates an Integration.,integrations,create_integration,insert,,,,,
GetIntegrations,/v2/apis/{ApiId}/integrations,GET,ApiId,,,,Gets the Integrations for an API.,integrations,get_integrations,select,,,,,
DeleteIntegration,/v2/apis/{ApiId}/integrations/{IntegrationId},DELETE,"ApiId,IntegrationId",,,,Deletes an Integration.,integrations,delete_integration,delete,,,,,
GetIntegration,/v2/apis/{ApiId}/integrations/{IntegrationId},GET,"ApiId,IntegrationId",,,,Gets an Integration.,integrations,get_integration,select,,,,,
UpdateIntegration,/v2/apis/{ApiId}/integrations/{IntegrationId},PATCH,"ApiId,IntegrationId",,,"ApiId,IntegrationType",Updates an Integration.,integrations,update_integration,update,,,,,
CreateIntegrationResponse,/v2/apis/{ApiId}/integrations/{IntegrationId}/integrationresponses,POST,"ApiId,IntegrationId",,,"ApiId,IntegrationId,IntegrationResponseKey",Creates an IntegrationResponses.,integration_responses,create_integration_response,insert,,,,,
GetIntegrationResponses,/v2/apis/{ApiId}/integrations/{IntegrationId}/integrationresponses,GET,"ApiId,IntegrationId",,,,Gets the IntegrationResponses for an Integration.,integration_responses,get_integration_responses,select,,,,,
DeleteIntegrationResponse,/v2/apis/{ApiId}/integrations/{IntegrationId}/integrationresponses/{IntegrationResponseId},DELETE,"ApiId,IntegrationId,IntegrationResponseId",,,,Deletes an IntegrationResponses.,integration_responses,delete_integration_response,delete,,,,,
GetIntegrationResponse,/v2/apis/{ApiId}/integrations/{IntegrationId}/integrationresponses/{IntegrationResponseId},GET,"ApiId,IntegrationId,IntegrationResponseId",,,,Gets an IntegrationResponses.,integration_responses,get_integration_response,select,,,,,
UpdateIntegrationResponse,/v2/apis/{ApiId}/integrations/{IntegrationId}/integrationresponses/{IntegrationResponseId},PATCH,"ApiId,IntegrationId,IntegrationResponseId",,,"ApiId,IntegrationId,IntegrationResponseKey",Updates an IntegrationResponses.,integration_responses,update_integration_response,update,,,,,
CreateModel,/v2/apis/{ApiId}/models,POST,ApiId,,,"ApiId,Name,Schema",Creates a Model for an API.,models,create_model,insert,,,,,
GetModels,/v2/apis/{ApiId}/models,GET,ApiId,,,,Gets the Models for an API.,models,get_models,select,,,,,
DeleteModel,/v2/apis/{ApiId}/models/{ModelId},DELETE,"ApiId,ModelId",,,,Deletes a Model.,models,delete_model,delete,,,,,
GetModel,/v2/apis/{ApiId}/models/{ModelId},GET,"ApiId,ModelId",,,,Gets a Model.,models,get_model,select,,,,,
UpdateModel,/v2/apis/{ApiId}/models/{ModelId},PATCH,"ApiId,ModelId",,,"ApiId,Name,Schema",Updates a Model.,models,update_model,update,,,,,
GetModelTemplate,/v2/apis/{ApiId}/models/{ModelId}/template,GET,"ApiId,ModelId",,,,Gets a model template.,models,get_model_template,select,,,,,
CreateRoute,/v2/apis/{ApiId}/routes,POST,ApiId,,,"ApiId,RouteKey",Creates a Route for an API.,routes,create_route,insert,,,,,
GetRoutes,/v2/apis/{ApiId}/routes,GET,ApiId,,,,Gets the Routes for an API.,routes,get_routes,select,,,,,
DeleteRoute,/v2/apis/{ApiId}/routes/{RouteId},DELETE,"ApiId,RouteId",,,,Deletes a Route.,routes,delete_route,delete,,,,,
