operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateApplication,/applications,POST,,,,Name,"Creates an application. In AppConfig, an applic...",applications,create_application,insert,,,,,
CreateConfigurationProfile,/applications/{ApplicationId}/configurationprofiles,POST,ApplicationId,,,"ApplicationId,LocationUri,Name","Creates a configuration profile, which is infor...",configuration_profiles,create_configuration_profile,insert,,,,,
CreateDeploymentStrategy,/deploymentstrategies,POST,,,,"DeploymentDurationInMinutes,GrowthFactor,Name",Creates a deployment strategy that defines impo...,deployment_strategies,create_deployment_strategy,insert,,,,,
CreateEnvironment,/applications/{ApplicationId}/environments,POST,ApplicationId,,,"ApplicationId,Name","Creates an environment. For each application, y...",environments,create_environment,insert,,,,,
CreateExtension,/extensions,POST,,,,"Actions,Name",Creates an AppConfig extension. An extension au...,extensions,create_extension,insert,,,,,
CreateExtensionAssociation,/extensionassociations,POST,,,,"ExtensionIdentifier,ResourceIdentifier",When you create an extension or configure an Am...,extension_associations,create_extension_association,insert,,,,,
CreateHostedConfigurationVersion,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId}/hostedconfigurationversions,POST,"ApplicationId,ConfigurationProfileId",Content-Type,,,Creates a new configuration in the AppConfig ho...,hosted_configuration_versions,create_hosted_configuration_version,insert,,,,,
DeleteApplication,/applications/{ApplicationId},DELETE,ApplicationId,,,,Deletes an application.,applications,delete_application,delete,,,,,
DeleteConfigurationProfile,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId},DELETE,"ApplicationId,ConfigurationProfileId",,,,Deletes a configuration profile. To prevent use...,configuration_profiles,delete_configuration_profile,delete,,,,,
DeleteDeploymentStrategy,/deployementstrategies/{DeploymentStrategyId},DELETE,DeploymentStrategyId,,,,Deletes a deployment strategy.,deployment_strategies,delete_deployment_strategy,delete,,,,,
DeleteEnvironment,/applications/{ApplicationId}/environments/{EnvironmentId},DELETE,"ApplicationId,EnvironmentId",,,,Deletes an environment. To prevent users from u...,environments,delete_environment,delete,,,,,
DeleteExtension,/extensions/{ExtensionIdentifier},DELETE,ExtensionIdentifier,,,,Deletes an AppConfig extension. You must delete...,extensions,delete_extension,delete,,,,,
DeleteExtensionAssociation,/extensionassociations/{ExtensionAssociationId},DELETE,ExtensionAssociationId,,,,Deletes an extension association. This action d...,extension_associations,delete_extension_association,delete,,,,,
DeleteHostedConfigurationVersion,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId}/hostedconfigurationversions/{VersionNumber},DELETE,"ApplicationId,ConfigurationProfileId,VersionNumber",,,,Deletes a version of a configuration from the A...,hosted_configuration_versions,delete_hosted_configuration_version,delete,,,,,
GetAccountSettings,/settings,GET,,,,,Returns information about the status of the `De...,account_settings,get_account_settings,select,,,,,
GetApplication,/applications/{ApplicationId},GET,ApplicationId,,,,Retrieves information about an application.,applications,get_application,select,,,,,
GetConfiguration,/applications/{Application}/environments/{Environment}/configurations/{Configuration},GET,"Application,Configuration,Environment",,client_id,,(Deprecated) Retrieves the latest deployed conf...,configurations,get_configuration,select,,,,,
GetConfigurationProfile,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId},GET,"ApplicationId,ConfigurationProfileId",,,,Retrieves information about a configuration pro...,configuration_profiles,get_configuration_profile,select,,,,,
GetDeployment,/applications/{ApplicationId}/environments/{EnvironmentId}/deployments/{DeploymentNumber},GET,"ApplicationId,DeploymentNumber,EnvironmentId",,,,Retrieves information about a configuration dep...,deployments,get_deployment,select,,,,,
GetDeploymentStrategy,/deploymentstrategies/{DeploymentStrategyId},GET,DeploymentStrategyId,,,,Retrieves information about a deployment strate...,deployment_strategies,get_deployment_strategy,select,,,,,
GetEnvironment,/applications/{ApplicationId}/environments/{EnvironmentId},GET,"ApplicationId,EnvironmentId",,,,Retrieves information about an environment. An ...,environments,get_environment,select,,,,,
GetExtension,/extensions/{ExtensionIdentifier},GET,ExtensionIdentifier,,,,Returns information about an AppConfig extension.,extensions,get_extension,select,,,,,
GetExtensionAssociation,/extensionassociations/{ExtensionAssociationId},GET,ExtensionAssociationId,,,,Returns information about an AppConfig extensio...,extension_associations,get_extension_association,select,,,,,
GetHostedConfigurationVersion,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId}/hostedconfigurationversions/{VersionNumber},GET,"ApplicationId,ConfigurationProfileId,VersionNumber",,,,Retrieves information about a specific configur...,hosted_configuration_versions,get_hosted_configuration_version,select,,,,,
ListApplications,/applications,GET,,,,,Lists all applications in your Amazon Web Servi...,applications,list_applications,select,$.Items,,,,
ListConfigurationProfiles,/applications/{ApplicationId}/configurationprofiles,GET,ApplicationId,,,,Lists the configuration profiles for an applica...,configuration_profiles,list_configuration_profiles,select,$.Items,,,,
ListDeploymentStrategies,/deploymentstrategies,GET,,,,,Lists deployment strategies.,deployment_strategies,list_deployment_strategies,select,$.Items,,,,
ListDeployments,/applications/{ApplicationId}/environments/{EnvironmentId}/deployments,GET,"ApplicationId,EnvironmentId",,,,Lists the deployments for an environment in des...,deployments,list_deployments,select,$.Items,,,,
ListEnvironments,/applications/{ApplicationId}/environments,GET,ApplicationId,,,,Lists the environments for an application.,environments,list_environments,select,$.Items,,,,
ListExtensionAssociations,/extensionassociations,GET,,,,,Lists all AppConfig extension associations in t...,extension_associations,list_extension_associations,select,$.Items,,,,
ListExtensions,/extensions,GET,,,,,Lists all custom and Amazon Web Services author...,extensions,list_extensions,select,$.Items,,,,
ListHostedConfigurationVersions,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId}/hostedconfigurationversions,GET,"ApplicationId,ConfigurationProfileId",,,,Lists configurations stored in the AppConfig ho...,hosted_configuration_versions,list_hosted_configuration_versions,select,$.Items,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Retrieves the list of key-value tags assigned t...,tags,list_tags_for_resource,select,,,,,
StartDeployment,/applications/{ApplicationId}/environments/{EnvironmentId}/deployments,POST,"ApplicationId,EnvironmentId",,,"ApplicationId,ConfigurationProfileId,ConfigurationVersion,DeploymentStrategyId,EnvironmentId",Starts a deployment.,deployments,start_deployment,exec,,,,,
StopDeployment,/applications/{ApplicationId}/environments/{EnvironmentId}/deployments/{DeploymentNumber},DELETE,"ApplicationId,DeploymentNumber,EnvironmentId",,,,Stops a deployment. This API action works only ...,deployments,stop_deployment,delete,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,Name,Assigns metadata to an AppConfig resource. Tags...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Deletes a tag key and value from an AppConfig r...,tags,untag_resource,exec,,,,,
UpdateAccountSettings,/settings,PATCH,,,,,Updates the value of the `DeletionProtection` p...,account_settings,update_account_settings,update,,,,,
UpdateApplication,/applications/{ApplicationId},PATCH,ApplicationId,,,,Updates an application.,applications,update_application,update,,,,,
UpdateConfigurationProfile,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId},PATCH,"ApplicationId,ConfigurationProfileId",,,,Updates a configuration profile.,configuration_profiles,update_configuration_profile,update,,,,,
UpdateDeploymentStrategy,/deploymentstrategies/{DeploymentStrategyId},PATCH,DeploymentStrategyId,,,"DeploymentDurationInMinutes,GrowthFactor,Name",Updates a deployment strategy.,deployment_strategies,update_deployment_strategy,update,,,,,
UpdateEnvironment,/applications/{ApplicationId}/environments/{EnvironmentId},PATCH,"ApplicationId,EnvironmentId",,,"ApplicationId,Name",Updates an environment.,environments,update_environment,update,,,,,
UpdateExtension,/extensions/{ExtensionIdentifier},PATCH,ExtensionIdentifier,,,,Updates an AppConfig extension. For more inform...,extensions,update_extension,update,,,,,
UpdateExtensionAssociation,/extensionassociations/{ExtensionAssociationId},PATCH,ExtensionAssociationId,,,,Updates an association. For more information ab...,extension_associations,update_extension_association,update,,,,,
ValidateConfiguration,/applications/{ApplicationId}/configurationprofiles/{ConfigurationProfileId}/validators,POST,"ApplicationId,ConfigurationProfileId",,configuration_version,,Uses the validators in a configuration profile ...,configuration_profiles,validate_configuration,exec,,,,,
