operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchGetUserAccessTasks,/useraccess/batchget,POST,,,,"appBundleIdentifier,taskIdList",Gets user access details in a batch request. Th...,app_bundles,batch_get_user_access_tasks,exec,,,,,
ConnectAppAuthorization,/appbundles/{appBundleIdentifier}/appauthorizations/{appAuthorizationIdentifier}/connect,POST,"appAuthorizationIdentifier,appBundleIdentifier",,,"appAuthorizationIdentifier,appBundleIdentifier",Establishes a connection between Amazon Web Ser...,app_authorizations,connect_app_authorization,exec,,,,,
CreateAppAuthorization,/appbundles/{appBundleIdentifier}/appauthorizations,POST,appBundleIdentifier,,,"app,appBundleIdentifier,authType,credential,tenant",Creates an app authorization within an app bund...,app_authorizations,create_app_authorization,insert,,,,,
CreateAppBundle,/appbundles,POST,,,,,Creates an app bundle to collect data from an a...,app_bundles,create_app_bundle,insert,,,,,
CreateIngestion,/appbundles/{appBundleIdentifier}/ingestions,POST,appBundleIdentifier,,,"app,appBundleIdentifier,ingestionType,tenantId",Creates a data ingestion for an application.,ingestions,create_ingestion,insert,,,,,
CreateIngestionDestination,/appbundles/{appBundleIdentifier}/ingestions/{ingestionIdentifier}/ingestiondestinations,POST,"appBundleIdentifier,ingestionIdentifier",,,"appBundleIdentifier,destinationConfiguration,ingestionIdentifier,processingConfiguration","Creates an ingestion destination, which specifi...",ingestion_destinations,create_ingestion_destination,insert,,,,,
DeleteAppAuthorization,/appbundles/{appBundleIdentifier}/appauthorizations/{appAuthorizationIdentifier},DELETE,"appAuthorizationIdentifier,appBundleIdentifier",,,,Deletes an app authorization. You must delete t...,app_authorizations,delete_app_authorization,delete,,,,,
DeleteAppBundle,/appbundles/{appBundleIdentifier},DELETE,appBundleIdentifier,,,,Deletes an app bundle. You must delete all asso...,app_bundles,delete_app_bundle,delete,,,,,
DeleteIngestion,/appbundles/{appBundleIdentifier}/ingestions/{ingestionIdentifier},DELETE,"appBundleIdentifier,ingestionIdentifier",,,,Deletes an ingestion. You must stop (disable) t...,ingestions,delete_ingestion,delete,,,,,
DeleteIngestionDestination,/appbundles/{appBundleIdentifier}/ingestions/{ingestionIdentifier}/ingestiondestinations/{ingestionDestinationIdentifier},DELETE,"appBundleIdentifier,ingestionDestinationIdentifier,ingestionIdentifier",,,,Deletes an ingestion destination. This deletes ...,ingestion_destinations,delete_ingestion_destination,delete,,,,,
