operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CancelFlowExecutions,/cancel-flow-executions,POST,,,,flowName,Cancels active runs for a flow. You can cancel ...,flows,cancel_flow_executions,exec,,,,,
CreateConnectorProfile,/create-connector-profile,POST,,,,"connectionMode,connectorProfileConfig,connectorProfileName,connectorType",Creates a new connector profile associated with...,connector_profiles,create_connector_profile,insert,,,,,
CreateFlow,/create-flow,POST,,,,"destinationFlowConfigList,flowName,sourceFlowConfig,tasks,triggerConfig",Enables your application to create a new flow u...,flows,create_flow,insert,,,,,
DeleteConnectorProfile,/delete-connector-profile,POST,,,,connectorProfileName,Enables you to delete an existing connector pro...,connector_profiles,delete_connector_profile,delete,,,,,
DeleteFlow,/delete-flow,POST,,,,flowName,Enables your application to delete an existing ...,flows,delete_flow,delete,,,,,
DescribeConnector,/describe-connector,POST,,,,,Describes the given custom connector registered...,connector,describe_connector,select,,,,,
DescribeConnectorEntity,/describe-connector-entity,POST,,,,connectorEntityName,Provides details regarding the entity used with...,connector_entities,describe_connector_entity,select,,,,,
DescribeConnectorProfiles,/describe-connector-profiles,POST,,,,,Returns a list of `connector-profile` details m...,connector_profiles,describe_connector_profiles,select,,,,,
DescribeConnectors,/describe-connectors,POST,,,,,Describes the connectors vended by Amazon AppFl...,connectors,describe_connectors,select,,,,,
DescribeFlow,/describe-flow,POST,,,,flowName,Provides a description of the specified flow.,flows,describe_flow,select,,,,,
DescribeFlowExecutionRecords,/describe-flow-execution-records,POST,,,,flowName,Fetches the execution history of the flow.,flow_execution_records,describe_flow_execution_records,select,,,,,
ListConnectorEntities,/list-connector-entities,POST,,,,,Returns the list of available connector entitie...,connector_entities,list_connector_entities,select,,,,,
ListConnectors,/list-connectors,POST,,,,,Returns the list of all registered custom conne...,connectors,list_connectors,select,,,,,
ListFlows,/list-flows,POST,,,,,Lists all of the flows associated with your acc...,flows,list_flows,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Retrieves the tags that are associated with a s...,tags,list_tags_for_resource,select,,,,,
RegisterConnector,/register-connector,POST,,,,,Registers a new custom connector with your Amaz...,connectors,register_connector,exec,,,,,
ResetConnectorMetadataCache,/reset-connector-metadata-cache,POST,,,,,Resets metadata about your connector entities t...,connectors,reset_connector_metadata_cache,exec,,,,,
StartFlow,/start-flow,POST,,,,"destinationFlowConfigList,flowName,sourceFlowConfig,tasks,triggerConfig",Activates an existing flow. For on-demand flows...,flows,start_flow,exec,,,,,
StopFlow,/stop-flow,POST,,,,flowName,Deactivates the existing flow. For on-demand fl...,flows,stop_flow,exec,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,"destinationFlowConfigList,flowName,sourceFlowConfig,tasks,triggerConfig",Applies a tag to the specified flow.,tags,tag_resource,exec,,,,,
UnregisterConnector,/unregister-connector,POST,,,,connectorLabel,Unregisters the custom connector registered in ...,connectors,unregister_connector,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Removes a tag from the specified flow.,tags,untag_resource,exec,,,,,
UpdateConnectorProfile,/update-connector-profile,POST,,,,"connectionMode,connectorProfileConfig,connectorProfileName,connectorType",Updates a given connector profile associated wi...,connector_profiles,update_connector_profile,update,,,,,
UpdateConnectorRegistration,/update-connector-registration,POST,,,,,Updates a custom connector that you've previous...,connectors,update_connector_registration,update,,,,,
UpdateFlow,/update-flow,POST,,,,"destinationFlowConfigList,flowName,sourceFlowConfig,tasks,triggerConfig",Updates an existing flow.,flows,update_flow,update,,,,,
