operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchGetServiceLevelObjectiveBudgetReport,/budget-report,POST,Use this operation to retrieve one or more _ser...,,batch_get_service_level_objective_budget_report,exec,,,,,
BatchUpdateExclusionWindows,/exclusion-windows,PATCH,Add or remove time window exclusions for one or...,,batch_update_exclusion_windows,exec,,,,,
CreateServiceLevelObjective,/slo,POST,"Creates a service level objective (SLO), which ...",,create_service_level_objective,insert,,,,,
DeleteGroupingConfiguration,/grouping-configuration,DELETE,Deletes the grouping configuration for this acc...,,delete_grouping_configuration,delete,,,,,
DeleteServiceLevelObjective,/slo/{Id},DELETE,Deletes the specified service level objective.,,delete_service_level_objective,delete,,,,,
GetService,/service,POST,Returns information about a service discovered ...,,get_service,select,,,,,
GetServiceLevelObjective,/slo/{Id},GET,Returns information about one SLO created in th...,,get_service_level_objective,select,,,,,
ListAuditFindings,/auditFindings,POST,Returns a list of audit findings that provide a...,,list_audit_findings,select,,,,,
ListEntityEvents,/events,POST,Returns a list of change events for a specific ...,,list_entity_events,select,$.ChangeEvents,,,,
ListGroupingAttributeDefinitions,/grouping-attribute-definitions,POST,Returns the current grouping configuration for ...,,list_grouping_attribute_definitions,select,,,,,
ListServiceDependencies,/service-dependencies,POST,Returns a list of service dependencies of the s...,,list_service_dependencies,select,$.ServiceDependencies,,,,
ListServiceDependents,/service-dependents,POST,Returns the list of dependents that invoked the...,,list_service_dependents,select,$.ServiceDependents,,,,
ListServiceLevelObjectiveExclusionWindows,/slo/{Id}/exclusion-windows,GET,Retrieves all exclusion windows configured for ...,,list_service_level_objective_exclusion_windows,select,$.ExclusionWindows,,,,
ListServiceLevelObjectives,/slos,POST,Returns a list of SLOs created in this account.,,list_service_level_objectives,select,$.SloSummaries,,,,
ListServiceOperations,/service-operations,POST,Returns a list of the _operations_ of this serv...,,list_service_operations,select,$.ServiceOperations,,,,
ListServiceStates,/service/states,POST,Returns information about the last deployment a...,,list_service_states,select,$.ServiceStates,NextToken,body,NextToken,body
ListServices,/services,GET,Returns a list of services that have been disco...,,list_services,select,$.ServiceSummaries,,,,
ListTagsForResource,/tags,GET,Displays the tags associated with a CloudWatch ...,,list_tags_for_resource,select,,,,,
PutGroupingConfiguration,/grouping-configuration,PUT,Creates or updates the grouping configuration f...,,put_grouping_configuration,replace,,,,,
StartDiscovery,/start-discovery,POST,Enables this Amazon Web Services account to be ...,,start_discovery,exec,,,,,
TagResource,/tag-resource,POST,Assigns one or more tags (key-value pairs) to t...,,tag_resource,exec,,,,,
UntagResource,/untag-resource,POST,Removes one or more tags from the specified res...,,untag_resource,exec,,,,,
UpdateServiceLevelObjective,/slo/{Id},PATCH,Updates an existing service level objective (SL...,,update_service_level_objective,update,,,,,
