operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListApplicationDPUSizes,/#X-Amz-Target=AmazonAthena.ListApplicationDPUSizes,POST,,,,QueryExecutionId,Returns the supported DPU sizes for the support...,application_dpu_sizes,list_application_dpu_sizes,select,,,,,
GetCalculationExecutionCode,/#X-Amz-Target=AmazonAthena.GetCalculationExecutionCode,POST,,,,CalculationExecutionId,Retrieves the unencrypted code that was execute...,calculation_execution_codes,get_calculation_execution_code,select,,,,,
GetCalculationExecutionStatus,/#X-Amz-Target=AmazonAthena.GetCalculationExecutionStatus,POST,,,,CalculationExecutionId,Gets the status of a current calculation.,calculation_execution_status,get_calculation_execution_status,select,,,,,
GetCalculationExecution,/#X-Amz-Target=AmazonAthena.GetCalculationExecution,POST,,,,CalculationExecutionId,Describes a previously submitted calculation ex...,calculation_executions,get_calculation_execution,select,,,,,
ListCalculationExecutions,/#X-Amz-Target=AmazonAthena.ListCalculationExecutions,POST,,,,SessionId,Lists the calculations that have been submitted...,calculation_executions,list_calculation_executions,select,,,,,
StartCalculationExecution,/#X-Amz-Target=AmazonAthena.StartCalculationExecution,POST,,,,SessionId,Submits calculations for execution within a ses...,calculation_executions,start_calculation_execution,exec,,,,,
StopCalculationExecution,/#X-Amz-Target=AmazonAthena.StopCalculationExecution,POST,,,,CalculationExecutionId,Requests the cancellation of a calculation. A `...,calculation_executions,stop_calculation_execution,exec,,,,,
GetCapacityAssignmentConfiguration,/#X-Amz-Target=AmazonAthena.GetCapacityAssignmentConfiguration,POST,,,,CapacityReservationName,Gets the capacity assignment configuration for ...,capacity_assignment_configurations,get_capacity_assignment_configuration,select,,,,,
PutCapacityAssignmentConfiguration,/#X-Amz-Target=AmazonAthena.PutCapacityAssignmentConfiguration,POST,,,,"CapacityAssignments,CapacityReservationName",Puts a new capacity assignment configuration fo...,capacity_assignment_configurations,put_capacity_assignment_configuration,replace,,,,,
GetCapacityReservation,/#X-Amz-Target=AmazonAthena.GetCapacityReservation,POST,,,,Name,Returns information about the capacity reservat...,capacity_reservations,get_capacity_reservation,select,,,,,
CancelCapacityReservation,/#X-Amz-Target=AmazonAthena.CancelCapacityReservation,POST,,,,Name,Cancels the capacity reservation with the speci...,capacity_reservations,cancel_capacity_reservation,exec,,,,,
CreateCapacityReservation,/#X-Amz-Target=AmazonAthena.CreateCapacityReservation,POST,,,,"Name,TargetDpus",Creates a capacity reservation with the specifi...,capacity_reservations,create_capacity_reservation,insert,,,,,
DeleteCapacityReservation,/#X-Amz-Target=AmazonAthena.DeleteCapacityReservation,POST,,,,Name,Deletes a cancelled capacity reservation. A res...,capacity_reservations,delete_capacity_reservation,delete,,,,,
ListCapacityReservations,/#X-Amz-Target=AmazonAthena.ListCapacityReservations,POST,,,,QueryExecutionId,Lists the capacity reservations for the current...,capacity_reservations,list_capacity_reservations,select,,,,,
UpdateCapacityReservation,/#X-Amz-Target=AmazonAthena.UpdateCapacityReservation,POST,,,,"Name,TargetDpus",Updates the number of requested data processing...,capacity_reservations,update_capacity_reservation,update,,,,,
GetDataCatalog,/#X-Amz-Target=AmazonAthena.GetDataCatalog,POST,,,,Name,Returns the specified data catalog.,data_catalogs,get_data_catalog,select,,,,,
CreateDataCatalog,/#X-Amz-Target=AmazonAthena.CreateDataCatalog,POST,,,,"Name,Type",Creates (registers) a data catalog with the spe...,data_catalogs,create_data_catalog,insert,,,,,
DeleteDataCatalog,/#X-Amz-Target=AmazonAthena.DeleteDataCatalog,POST,,,,Name,Deletes a data catalog.,data_catalogs,delete_data_catalog,delete,,,,,
ListDataCatalogs,/#X-Amz-Target=AmazonAthena.ListDataCatalogs,POST,,,,,Lists the data catalogs in the current Amazon W...,data_catalogs,list_data_catalogs,select,$.DataCatalogsSummary,,,,
UpdateDataCatalog,/#X-Amz-Target=AmazonAthena.UpdateDataCatalog,POST,,,,"Name,Type",Updates the data catalog that has the specified...,data_catalogs,update_data_catalog,update,,,,,
GetDatabase,/#X-Amz-Target=AmazonAthena.GetDatabase,POST,,,,"CatalogName,DatabaseName",Returns a database object for the specified dat...,databases,get_database,select,,,,,
ListDatabases,/#X-Amz-Target=AmazonAthena.ListDatabases,POST,,,,CatalogName,Lists the databases in the specified data catalog.,databases,list_databases,select,$.DatabaseList,,,,
ListEngineVersions,/#X-Amz-Target=AmazonAthena.ListEngineVersions,POST,,,,QueryExecutionId,Returns a list of engine versions that are avai...,engine_versions,list_engine_versions,select,,,,,
ListExecutors,/#X-Amz-Target=AmazonAthena.ListExecutors,POST,,,,SessionId,"Lists, in descending order, the executors that ...",executors,list_executors,select,,,,,
BatchGetNamedQuery,/#X-Amz-Target=AmazonAthena.BatchGetNamedQuery,POST,,,,NamedQueryIds,Returns the details of a single named query or ...,named_queries,batch_get_named_query,exec,,,,,
