operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateCapability,/#X-Amz-Target=B2BI.CreateCapability,POST,,,,"configuration,name,type",Instantiates a capability based on the specifie...,capabilities,create_capability,insert,,,,,
CreatePartnership,/#X-Amz-Target=B2BI.CreatePartnership,POST,,,,"capabilities,email,name,profileId",Creates a partnership between a customer and a ...,partnerships,create_partnership,insert,,,,,
CreateProfile,/#X-Amz-Target=B2BI.CreateProfile,POST,,,,"businessName,logging,name,phone",Creates a customer profile. You can have up to ...,profiles,create_profile,insert,,,,,
CreateStarterMappingTemplate,/#X-Amz-Target=B2BI.CreateStarterMappingTemplate,POST,,,,"mappingType,templateDetails",Amazon Web Services B2B Data Interchange uses a...,starter_mapping_templates,create_starter_mapping_template,insert,,,,,
CreateTransformer,/#X-Amz-Target=B2BI.CreateTransformer,POST,,,,name,Creates a transformer. Amazon Web Services B2B ...,transformers,create_transformer,insert,,,,,
DeleteCapability,/#X-Amz-Target=B2BI.DeleteCapability,POST,,,,capabilityId,Deletes the specified capability. A trading cap...,capabilities,delete_capability,delete,,,,,
DeletePartnership,/#X-Amz-Target=B2BI.DeletePartnership,POST,,,,partnershipId,Deletes the specified partnership. A partnershi...,partnerships,delete_partnership,delete,,,,,
DeleteProfile,/#X-Amz-Target=B2BI.DeleteProfile,POST,,,,profileId,Deletes the specified profile. A profile is the...,profiles,delete_profile,delete,,,,,
DeleteTransformer,/#X-Amz-Target=B2BI.DeleteTransformer,POST,,,,transformerId,Deletes the specified transformer. A transforme...,transformers,delete_transformer,delete,,,,,
GenerateMapping,/#X-Amz-Target=B2BI.GenerateMapping,POST,,,,"inputFileContent,mappingType,outputFileContent",Takes sample input and output documents and use...,mappings,generate_mapping,exec,,,,,
GetCapability,/#X-Amz-Target=B2BI.GetCapability,POST,,,,capabilityId,Retrieves the details for the specified capabil...,capabilities,get_capability,select,,,,,
GetPartnership,/#X-Amz-Target=B2BI.GetPartnership,POST,,,,partnershipId,"Retrieves the details for a partnership, based ...",partnerships,get_partnership,select,,,,,
GetProfile,/#X-Amz-Target=B2BI.GetProfile,POST,,,,profileId,Retrieves the details for the profile specified...,profiles,get_profile,select,,,,,
GetTransformer,/#X-Amz-Target=B2BI.GetTransformer,POST,,,,transformerId,Retrieves the details for the transformer speci...,transformers,get_transformer,select,,,,,
GetTransformerJob,/#X-Amz-Target=B2BI.GetTransformerJob,POST,,,,"transformerId,transformerJobId","Returns the details of the transformer run, bas...",transformer_jobs,get_transformer_job,select,,,,,
ListCapabilities,/#X-Amz-Target=B2BI.ListCapabilities,POST,,,,,Lists the capabilities associated with your Ama...,capability_summaries,list_capabilities,select,$.capabilities,,,,
ListPartnerships,/#X-Amz-Target=B2BI.ListPartnerships,POST,,,,,Lists the partnerships associated with your Ama...,partnerships,list_partnerships,select,$.partnerships,,,,
ListProfiles,/#X-Amz-Target=B2BI.ListProfiles,POST,,,,,Lists the profiles associated with your Amazon ...,profiles,list_profiles,select,$.profiles,,,,
ListTagsForResource,/#X-Amz-Target=B2BI.ListTagsForResource,POST,,,,ResourceARN,Lists all of the tags associated with the Amazo...,tags,list_tags_for_resource,select,,,,,
ListTransformers,/#X-Amz-Target=B2BI.ListTransformers,POST,,,,,Lists the available transformers. A transformer...,transformers,list_transformers,select,$.transformers,,,,
StartTransformerJob,/#X-Amz-Target=B2BI.StartTransformerJob,POST,,,,"inputFile,outputLocation,transformerId","Runs a job, using a transformer, to parse input...",transformer_jobs,start_transformer_job,exec,,,,,
TagResource,/#X-Amz-Target=B2BI.TagResource,POST,,,,"ResourceARN,Tags","Attaches a key-value pair to a resource, as ide...",tags,tag_resource,exec,,,,,
TestConversion,/#X-Amz-Target=B2BI.TestConversion,POST,,,,"source,target",This operation mimics the latter half of a typi...,conversions,test_conversion,exec,,,,,
TestMapping,/#X-Amz-Target=B2BI.TestMapping,POST,,,,"fileFormat,inputFileContent,mappingTemplate",Maps the input file according to the provided t...,mappings,test_mapping,exec,,,,,
TestParsing,/#X-Amz-Target=B2BI.TestParsing,POST,,,,"ediType,fileFormat,inputFile",Parses the input EDI (electronic data interchan...,parsing,test_parsing,exec,,,,,
UntagResource,/#X-Amz-Target=B2BI.UntagResource,POST,,,,"ResourceARN,TagKeys",Detaches a key-value pair from the specified re...,tags,untag_resource,exec,,,,,
UpdateCapability,/#X-Amz-Target=B2BI.UpdateCapability,POST,,,,capabilityId,Updates some of the parameters for a capability...,capabilities,update_capability,update,,,,,
UpdatePartnership,/#X-Amz-Target=B2BI.UpdatePartnership,POST,,,,partnershipId,Updates some of the parameters for a partnershi...,partnerships,update_partnership,update,,,,,
UpdateProfile,/#X-Amz-Target=B2BI.UpdateProfile,POST,,,,profileId,Updates the specified parameters for a profile....,profiles,update_profile,update,,,,,
UpdateTransformer,/#X-Amz-Target=B2BI.UpdateTransformer,POST,,,,transformerId,Updates the specified parameters for a transfor...,transformers,update_transformer,update,,,,,
