operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetSearchJob,/search-jobs/{SearchJobIdentifier},GET,SearchJobIdentifier,,,,This operation retrieves metadata of a search j...,search_jobs,get_search_job,select,,,,,
GetSearchResultExportJob,/export-search-jobs/{ExportJobIdentifier},GET,ExportJobIdentifier,,,,This operation retrieves the metadata of an exp...,search_result_export_jobs,get_search_result_export_job,select,,,,,
ListSearchJobBackups,/search-jobs/{SearchJobIdentifier}/backups,GET,SearchJobIdentifier,,,,This operation returns a list of all backups (r...,search_job_backups,list_search_job_backups,select,$.Results,,,,
ListSearchJobResults,/search-jobs/{SearchJobIdentifier}/search-results,GET,SearchJobIdentifier,,,,This operation returns a list of a specified se...,search_job_results,list_search_job_results,select,$.Results,,body,,body
ListSearchJobs,/search-jobs,GET,,,,,This operation returns a list of search jobs be...,search_jobs,list_search_jobs,select,$.SearchJobs,,body,,body
ListSearchResultExportJobs,/export-search-jobs,GET,,,,,This operation exports search results of a sear...,search_result_export_jobs,list_search_result_export_jobs,select,$.ExportJobs,,body,,body
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,This operation returns the tags for a resource ...,tags,list_tags_for_resource,select,,,,,
StartSearchJob,/search-jobs,PUT,,,,SearchScope,This operation creates a search job which retur...,search_jobs,start_search_job,exec,,,,,
StartSearchResultExportJob,/export-search-jobs,PUT,,,,"ExportSpecification,SearchJobIdentifier",This operations starts a job to export the resu...,search_result_export_jobs,start_search_result_export_job,exec,,,,,
StopSearchJob,/search-jobs/{SearchJobIdentifier}/actions/cancel,PUT,SearchJobIdentifier,,,,This operations ends a search job. Only a searc...,search_jobs,stop_search_job,exec,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,,This operation puts tags on the resource you in...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,This operation removes tags from the specified ...,tags,untag_resource,exec,,,,,
