operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAgentActionGroup,/agents/{agentId}/agentversions/{agentVersion}/actiongroups/,PUT,"agentId,agentVersion",,,"actionGroupName,agentId,agentVersion",Creates an action group for an agent. An action...,agent_action_groups,create_agent_action_group,insert,,,,,
DeleteAgentActionGroup,/agents/{agentId}/agentversions/{agentVersion}/actiongroups/{actionGroupId}/,DELETE,"actionGroupId,agentId,agentVersion",,,,Deletes an action group in an agent.,agent_action_groups,delete_agent_action_group,delete,,,,,
GetAgentActionGroup,/agents/{agentId}/agentversions/{agentVersion}/actiongroups/{actionGroupId}/,GET,"actionGroupId,agentId,agentVersion",,,,Gets information about an action group for an a...,agent_action_groups,get_agent_action_group,select,,,,,
ListAgentActionGroups,/agents/{agentId}/agentversions/{agentVersion}/actiongroups/,POST,"agentId,agentVersion",,,"agentId,agentVersion",Lists the action groups for an agent and inform...,agent_action_groups,list_agent_action_groups,select,$.actionGroupSummaries,,,,
UpdateAgentActionGroup,/agents/{agentId}/agentversions/{agentVersion}/actiongroups/{actionGroupId}/,PUT,"actionGroupId,agentId,agentVersion",,,"actionGroupName,agentId,agentVersion",Updates the configuration for an action group f...,agent_action_groups,update_agent_action_group,update,,,,,
CreateAgentAlias,/agents/{agentId}/agentaliases/,PUT,agentId,,,"agentAliasName,agentId",Creates an alias of an agent that can be used t...,agent_aliases,create_agent_alias,insert,,,,,
DeleteAgentAlias,/agents/{agentId}/agentaliases/{agentAliasId}/,DELETE,"agentAliasId,agentId",,,,Deletes an alias of an agent.,agent_aliases,delete_agent_alias,delete,,,,,
GetAgentAlias,/agents/{agentId}/agentaliases/{agentAliasId}/,GET,"agentAliasId,agentId",,,,Gets information about an alias of an agent.,agent_aliases,get_agent_alias,select,,,,,
ListAgentAliases,/agents/{agentId}/agentaliases/,POST,agentId,,,"agentId,agentVersion",Lists the aliases of an agent and information a...,agent_aliases,list_agent_aliases,select,$.agentAliasSummaries,,,,
UpdateAgentAlias,/agents/{agentId}/agentaliases/{agentAliasId}/,PUT,"agentAliasId,agentId",,,"agentAliasArn,agentAliasId,agentAliasName,agentAliasStatus,agentId,createdAt,routingConfiguration,updatedAt",Updates configurations for an alias of an agent.,agent_aliases,update_agent_alias,update,,,,,
AssociateAgentCollaborator,/agents/{agentId}/agentversions/{agentVersion}/agentcollaborators/,PUT,"agentId,agentVersion",,,"agentDescriptor,agentId,agentVersion,collaborationInstruction,collaboratorId,collaboratorName,createdAt,lastUpdatedAt",Makes an agent a collaborator for another agent.,agent_collaborators,associate_agent_collaborator,exec,,,,,
DisassociateAgentCollaborator,/agents/{agentId}/agentversions/{agentVersion}/agentcollaborators/{collaboratorId}/,DELETE,"agentId,agentVersion,collaboratorId",,,,Disassociates an agent collaborator.,agent_collaborators,disassociate_agent_collaborator,delete,,,,,
GetAgentCollaborator,/agents/{agentId}/agentversions/{agentVersion}/agentcollaborators/{collaboratorId}/,GET,"agentId,agentVersion,collaboratorId",,,,Retrieves information about an agent's collabor...,agent_collaborators,get_agent_collaborator,select,,,,,
ListAgentCollaborators,/agents/{agentId}/agentversions/{agentVersion}/agentcollaborators/,POST,"agentId,agentVersion",,,"agentId,agentVersion",Retrieve a list of an agent's collaborators.,agent_collaborators,list_agent_collaborators,select,$.agentCollaboratorSummaries,,,,
UpdateAgentCollaborator,/agents/{agentId}/agentversions/{agentVersion}/agentcollaborators/{collaboratorId}/,PUT,"agentId,agentVersion,collaboratorId",,,"agentDescriptor,agentId,agentVersion,collaborationInstruction,collaboratorId,collaboratorName,createdAt,lastUpdatedAt",Updates an agent's collaborator.,agent_collaborators,update_agent_collaborator,update,,,,,
AssociateAgentKnowledgeBase,/agents/{agentId}/agentversions/{agentVersion}/knowledgebases/,PUT,"agentId,agentVersion",,,"agentId,agentVersion,createdAt,description,knowledgeBaseId,knowledgeBaseState,updatedAt",Associates a knowledge base with an agent. If a...,agent_knowledge_bases,associate_agent_knowledge_base,exec,,,,,
DisassociateAgentKnowledgeBase,/agents/{agentId}/agentversions/{agentVersion}/knowledgebases/{knowledgeBaseId}/,DELETE,"agentId,agentVersion,knowledgeBaseId",,,,Disassociates a knowledge base from an agent.,agent_knowledge_bases,disassociate_agent_knowledge_base,delete,,,,,
GetAgentKnowledgeBase,/agents/{agentId}/agentversions/{agentVersion}/knowledgebases/{knowledgeBaseId}/,GET,"agentId,agentVersion,knowledgeBaseId",,,,Gets information about a knowledge base associa...,agent_knowledge_bases,get_agent_knowledge_base,select,,,,,
ListAgentKnowledgeBases,/agents/{agentId}/agentversions/{agentVersion}/knowledgebases/,POST,"agentId,agentVersion",,,"agentId,agentVersion",Lists knowledge bases associated with an agent ...,agent_knowledge_bases,list_agent_knowledge_bases,select,$.agentKnowledgeBaseSummaries,,,,
UpdateAgentKnowledgeBase,/agents/{agentId}/agentversions/{agentVersion}/knowledgebases/{knowledgeBaseId}/,PUT,"agentId,agentVersion,knowledgeBaseId",,,"agentId,agentVersion,createdAt,description,knowledgeBaseId,knowledgeBaseState,updatedAt",Updates the configuration for a knowledge base ...,agent_knowledge_bases,update_agent_knowledge_base,update,,,,,
DeleteAgentVersion,/agents/{agentId}/agentversions/{agentVersion}/,DELETE,"agentId,agentVersion",,,,Deletes a version of an agent.,agent_versions,delete_agent_version,delete,,,,,
GetAgentVersion,/agents/{agentId}/agentversions/{agentVersion}/,GET,"agentId,agentVersion",,,,Gets details about a version of an agent.,agent_versions,get_agent_version,select,,,,,
ListAgentVersions,/agents/{agentId}/agentversions/,POST,agentId,,,"agentId,agentVersion",Lists the versions of an agent and information ...,agent_versions,list_agent_versions,select,$.agentVersionSummaries,,,,
CreateAgent,/agents/,PUT,,,,agentName,Creates an agent that orchestrates interactions...,agents,create_agent,insert,,,,,
DeleteAgent,/agents/{agentId}/,DELETE,agentId,,,,Deletes an agent.,agents,delete_agent,delete,,,,,
GetAgent,/agents/{agentId}/,GET,agentId,,,,Gets information about an agent.,agents,get_agent,select,,,,,
ListAgents,/agents/,POST,,,,"agentId,agentVersion",Lists the agents belonging to an account and in...,agents,list_agents,select,$.agentSummaries,,,,
PrepareAgent,/agents/{agentId}/,POST,agentId,,,,Creates a `DRAFT` version of the agent that can...,agents,prepare_agent,exec,,,,,
UpdateAgent,/agents/{agentId}/,PUT,agentId,,,"agentArn,agentId,agentName,agentResourceRoleArn,agentStatus,agentVersion,createdAt,idleSessionTTLInSeconds,updatedAt",Updates the configuration of an agent.,agents,update_agent,update,,,,,
CreateDataSource,/knowledgebases/{knowledgeBaseId}/datasources/,PUT,knowledgeBaseId,,,"dataSourceConfiguration,knowledgeBaseId,name",Connects a knowledge base to a data source. You...,data_sources,create_data_source,insert,,,,,
DeleteDataSource,/knowledgebases/{knowledgeBaseId}/datasources/{dataSourceId},DELETE,"dataSourceId,knowledgeBaseId",,,,Deletes a data source from a knowledge base.,data_sources,delete_data_source,delete,,,,,
GetDataSource,/knowledgebases/{knowledgeBaseId}/datasources/{dataSourceId},GET,"dataSourceId,knowledgeBaseId",,,,Gets information about a data source.,data_sources,get_data_source,select,,,,,
ListDataSources,/knowledgebases/{knowledgeBaseId}/datasources/,POST,knowledgeBaseId,,,"agentId,agentVersion",Lists the data sources in a knowledge base and ...,data_sources,list_data_sources,select,$.dataSourceSummaries,,,,
