operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateInvocation,/sessions/{sessionIdentifier}/invocations/,PUT,sessionIdentifier,,,sessionIdentifier,Creates a new invocation within a session. An i...,invocations,create_invocation,insert,,,,,
CreateSession,/sessions/,PUT,,,,,Creates a session to temporarily store conversa...,sessions,create_session,insert,,,,,
DeleteAgentMemory,/agents/{agentId}/agentAliases/{agentAliasId}/memories,DELETE,"agentAliasId,agentId",,,,Deletes memory from the specified memory identi...,agent_memory,delete_agent_memory,delete,,,,,
DeleteSession,/sessions/{sessionIdentifier}/,DELETE,sessionIdentifier,,,,Deletes a session that you ended. You can't del...,sessions,delete_session,delete,,,,,
EndSession,/sessions/{sessionIdentifier},PATCH,sessionIdentifier,,,,"Ends the session. After you end a session, you ...",sessions,end_session,exec,,,,,
GenerateQuery,/generateQuery,POST,,,,"queryGenerationInput,transformationConfiguration",Generates an SQL query from a natural language ...,query_generation,generate_query,exec,,,,,
GetAgentMemory,/agents/{agentId}/agentAliases/{agentAliasId}/memories,GET,"agentAliasId,agentId",,"memoryId,memoryType",,Gets the sessions stored in the memory of the a...,agent_memory,get_agent_memory,select,$.memoryContents,,,,
GetExecutionFlowSnapshot,/flows/{flowIdentifier}/aliases/{flowAliasIdentifier}/executions/{executionIdentifier}/flowsnapshot,GET,"executionIdentifier,flowAliasIdentifier,flowIdentifier",,,,Retrieves the flow definition snapshot used for...,flow_execution_snapshots,get_execution_flow_snapshot,select,,,,,
GetFlowExecution,/flows/{flowIdentifier}/aliases/{flowAliasIdentifier}/executions/{executionIdentifier},GET,"executionIdentifier,flowAliasIdentifier,flowIdentifier",,,,Retrieves details about a specific flow executi...,flow_executions,get_flow_execution,select,,,,,
GetInvocationStep,/sessions/{sessionIdentifier}/invocationSteps/{invocationStepId},POST,"invocationStepId,sessionIdentifier",,,"invocationIdentifier,invocationStepId,sessionIdentifier",Retrieves the details of a specific invocation ...,invocation_steps,get_invocation_step,select,,,,,
GetSession,/sessions/{sessionIdentifier}/,GET,sessionIdentifier,,,,Retrieves details about a specific session. For...,sessions,get_session,select,,,,,
InvokeAgent,/agents/{agentId}/agentAliases/{agentAliasId}/sessions/{sessionId}/text,POST,"agentAliasId,agentId,sessionId",,,"agentAliasId,agentId,sessionId",Sends a prompt for the agent to process and res...,agent_invocations,invoke_agent,exec,,,,,
InvokeFlow,/flows/{flowIdentifier}/aliases/{flowAliasIdentifier},POST,"flowAliasIdentifier,flowIdentifier",,,"flowAliasIdentifier,flowIdentifier,inputs",Invokes an alias of a flow to run the inputs th...,flow_executions,invoke_flow,exec,,,,,
InvokeInlineAgent,/agents/{sessionId},POST,sessionId,,,"foundationModel,instruction,sessionId",Invokes an inline Amazon Bedrock agent using th...,agent_invocations,invoke_inline_agent,exec,,,,,
ListFlowExecutionEvents,/flows/{flowIdentifier}/aliases/{flowAliasIdentifier}/executions/{executionIdentifier}/events,GET,"executionIdentifier,flowAliasIdentifier,flowIdentifier",,eventType,,Lists events that occurred during a flow execut...,flow_execution_events,list_flow_execution_events,select,$.flowExecutionEvents,,,,
ListFlowExecutions,/flows/{flowIdentifier}/executions,GET,flowIdentifier,,,,Lists all executions of a flow. Results can be ...,flow_executions,list_flow_executions,select,$.flowExecutionSummaries,,,,
ListInvocationSteps,/sessions/{sessionIdentifier}/invocationSteps/,POST,sessionIdentifier,,,"invocationIdentifier,invocationStepId,sessionIdentifier",Lists all invocation steps associated with a se...,invocation_steps,list_invocation_steps,select,$.invocationStepSummaries,,,,
ListInvocations,/sessions/{sessionIdentifier}/invocations/,POST,sessionIdentifier,,,,Lists all invocations associated with a specifi...,invocations,list_invocations,select,$.invocationSummaries,,,,
ListSessions,/sessions/,POST,,,,,Lists all sessions in your Amazon Web Services ...,sessions,list_sessions,select,$.sessionSummaries,,,,
