operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ApplyGuardrail,/guardrail/{guardrailIdentifier}/version/{guardrailVersion}/apply,POST,The action to apply a guardrail. For troublesho...,guardrails,apply_guardrail,update,,,,,
Converse,/model/{modelId}/converse,POST,Sends messages to the specified Amazon Bedrock ...,converses,converse,exec,,,,,
ConverseStream,/model/{modelId}/converse-stream,POST,Sends messages to the specified Amazon Bedrock ...,streams,converse_stream,exec,,,,,
CountTokens,/model/{modelId}/count-tokens,POST,Returns the token count for a given inference r...,tokens,count_tokens,exec,,,,,
GetAsyncInvoke,/async-invoke/{invocationArn},GET,Retrieve information about an asynchronous invo...,async_invokes,get_async_invoke,select,,,,,
InvokeModel,/model/{modelId}/invoke,POST,Invokes the specified Amazon Bedrock model to r...,models,invoke_model,exec,,,,,
InvokeModelWithBidirectionalStream,/model/{modelId}/invoke-with-bidirectional-stream,POST,Invoke the specified Amazon Bedrock model to ru...,model_with_bidirectional_streams,invoke_model_with_bidirectional_stream,exec,,,,,
InvokeModelWithResponseStream,/model/{modelId}/invoke-with-response-stream,POST,Invoke the specified Amazon Bedrock model to ru...,model_with_response_streams,invoke_model_with_response_stream,exec,,,,,
ListAsyncInvokes,/async-invoke,GET,Lists asynchronous invocations.,async_invokes,list_async_invokes,select,,,,,
StartAsyncInvoke,/async-invoke,POST,Starts an asynchronous invocation. This operati...,async_invokes,start_async_invoke,exec,,,,,
