operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CancelJob,/job/{jobArn}/cancel,PUT,jobArn,,,,Cancels an Amazon Braket hybrid job.,jobs,cancel_job,exec,,,,,
CancelQuantumTask,/quantum-task/{quantumTaskArn}/cancel,PUT,quantumTaskArn,,,"clientToken,quantumTaskArn",Cancels the specified task.,quantum_tasks,cancel_quantum_task,exec,,,,,
CreateJob,/job,POST,,,,"algorithmSpecification,clientToken,deviceConfig,instanceConfig,jobName,outputDataConfig,roleArn",Creates an Amazon Braket hybrid job.,jobs,create_job,insert,,,,,
CreateQuantumTask,/quantum-task,POST,,,,"action,clientToken,deviceArn,outputS3Bucket,outputS3KeyPrefix,shots",Creates a quantum task.,quantum_tasks,create_quantum_task,insert,,,,,
CreateSpendingLimit,/spending-limit,POST,,,,"clientToken,deviceArn,spendingLimit",Creates a spending limit for a specified quantu...,spending_limits,create_spending_limit,insert,,,,,
DeleteSpendingLimit,/spending-limit/{spendingLimitArn}/delete,DELETE,spendingLimitArn,,,,Deletes an existing spending limit. This operat...,spending_limits,delete_spending_limit,delete,,,,,
GetDevice,/device/{deviceArn},GET,deviceArn,,,,Retrieves the devices available in Amazon Brake...,devices,get_device,select,,,,,
GetJob,/job/{jobArn},GET,jobArn,,,,Retrieves the specified Amazon Braket hybrid job.,jobs,get_job,select,,,,,
GetQuantumTask,/quantum-task/{quantumTaskArn},GET,quantumTaskArn,,,,Retrieves the specified quantum task.,quantum_tasks,get_quantum_task,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Shows the tags associated with this resource.,tags,list_tags_for_resource,select,,,,,
SearchDevices,/devices,POST,,,,filters,Searches for devices using the specified filters.,devices,search_devices,exec,$.devices,,,,
SearchJobs,/jobs,POST,,,,filters,Searches for Amazon Braket hybrid jobs that mat...,jobs,search_jobs,exec,$.jobs,,,,
SearchQuantumTasks,/quantum-tasks,POST,,,,filters,Searches for tasks that match the specified fil...,quantum_tasks,search_quantum_tasks,exec,$.quantumTasks,,,,
SearchSpendingLimits,/spending-limits,POST,,,,filters,Searches and lists spending limits based on spe...,spending_limits,search_spending_limits,exec,$.spendingLimits,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,"algorithmSpecification,clientToken,deviceConfig,instanceConfig,jobName,outputDataConfig,roleArn",Add a tag to the specified resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Remove tags from a resource.,tags,untag_resource,exec,,,,,
UpdateSpendingLimit,/spending-limit/{spendingLimitArn}/update,PATCH,spendingLimitArn,,,"clientToken,deviceArn,spendingLimit",Updates an existing spending limit. You can mod...,spending_limits,update_spending_limit,update,,,,,
