operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateToConfiguration,/associate-to-configuration,POST,,,,"ChatConfiguration,Resource","Links a resource (for example, a custom action)...",associations,associate_to_configuration,exec,,,,,
CreateChimeWebhookConfiguration,/create-chime-webhook-configuration,POST,,,,"ConfigurationName,IamRoleArn,SnsTopicArns,WebhookDescription,WebhookUrl",Creates an AWS Chatbot configuration for Amazon...,chime_webhook_configurations,create_chime_webhook_configuration,insert,,,,,
CreateCustomAction,/create-custom-action,POST,,,,"ActionName,Definition",Creates a custom action that can be invoked as ...,custom_actions,create_custom_action,insert,,,,,
CreateMicrosoftTeamsChannelConfiguration,/create-ms-teams-channel-configuration,POST,,,,"ChannelId,ConfigurationName,IamRoleArn,TeamId,TenantId",Creates an AWS Chatbot configuration for Micros...,microsoft_teams_channel_configurations,create_microsoft_teams_channel_configuration,insert,,,,,
CreateSlackChannelConfiguration,/create-slack-channel-configuration,POST,,,,"ConfigurationName,IamRoleArn,SlackChannelId,SlackTeamId",Creates an AWS Chatbot confugration for Slack.,slack_channel_configurations,create_slack_channel_configuration,insert,,,,,
DeleteChimeWebhookConfiguration,/delete-chime-webhook-configuration,POST,,,,"ChatConfigurationArn,IamRoleArn,SnsTopicArns,WebhookDescription",Deletes a Amazon Chime webhook configuration fo...,chime_webhook_configurations,delete_chime_webhook_configuration,delete,,,,,
DeleteCustomAction,/delete-custom-action,POST,,,,CustomActionArn,Deletes a custom action.,custom_actions,delete_custom_action,delete,,,,,
DeleteMicrosoftTeamsChannelConfiguration,/delete-ms-teams-channel-configuration,POST,,,,"ChatConfigurationArn,IamRoleArn,SnsTopicArns,WebhookDescription",Deletes a Microsoft Teams channel configuration...,microsoft_teams_channel_configurations,delete_microsoft_teams_channel_configuration,delete,,,,,
DeleteMicrosoftTeamsConfiguredTeam,/delete-ms-teams-configured-teams,POST,,,,"TeamId,TenantId",Deletes the Microsoft Teams team authorization ...,microsoft_teams_configured_teams,delete_microsoft_teams_configured_team,delete,,,,,
DeleteMicrosoftTeamsUserIdentity,/delete-ms-teams-user-identity,POST,,,,"ChatConfigurationArn,UserId",Identifes a user level permission for a channel...,microsoft_teams_user_identities,delete_microsoft_teams_user_identity,delete,,,,,
DeleteSlackChannelConfiguration,/delete-slack-channel-configuration,POST,,,,"ChatConfigurationArn,IamRoleArn,SnsTopicArns,WebhookDescription",Deletes a Slack channel configuration for AWS C...,slack_channel_configurations,delete_slack_channel_configuration,delete,,,,,
DeleteSlackUserIdentity,/delete-slack-user-identity,POST,,,,"ChatConfigurationArn,SlackTeamId,SlackUserId",Deletes a user level permission for a Slack cha...,slack_user_identities,delete_slack_user_identity,delete,,,,,
DeleteSlackWorkspaceAuthorization,/delete-slack-workspace-authorization,POST,,,,"ConfigurationName,IamRoleArn,SlackChannelId,SlackTeamId",Deletes the Slack workspace authorization that ...,slack_workspaces,delete_slack_workspace_authorization,exec,,,,,
DescribeChimeWebhookConfigurations,/describe-chime-webhook-configurations,POST,,,,,Lists Amazon Chime webhook configurations optio...,chime_webhook_configurations,describe_chime_webhook_configurations,select,$.WebhookConfigurations,,,,
DescribeSlackChannelConfigurations,/describe-slack-channel-configurations,POST,,,,,Lists Slack channel configurations optionally f...,slack_channel_configurations,describe_slack_channel_configurations,select,$.SlackChannelConfigurations,,,,
DescribeSlackUserIdentities,/describe-slack-user-identities,POST,,,,,Lists all Slack user identities with a mapped r...,slack_user_identities,describe_slack_user_identities,select,$.SlackUserIdentities,,,,
DescribeSlackWorkspaces,/describe-slack-workspaces,POST,,,,,List all authorized Slack workspaces connected ...,slack_workspaces,describe_slack_workspaces,select,$.SlackWorkspaces,,,,
DisassociateFromConfiguration,/disassociate-from-configuration,POST,,,,"ChatConfiguration,Resource","Unlink a resource, for example a custom action,...",associations,disassociate_from_configuration,exec,,,,,
