operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAppInstance,/app-instances,POST,,,,"AppInstanceArn,ClientRequestToken,Configuration",Creates an Amazon Chime SDK messaging `AppInsta...,app_instances,create_app_instance,insert,,,,,
CreateAppInstanceAdmin,/app-instances/{AppInstanceArn}/admins,POST,AppInstanceArn,,,"AppInstanceAdminArn,AppInstanceArn",Promotes an `AppInstanceUser` or `AppInstanceBo...,app_instance_admins,create_app_instance_admin,insert,,,,,
CreateAppInstanceBot,/app-instance-bots,POST,,,,"AppInstanceArn,ClientRequestToken,Configuration",Creates a bot under an Amazon Chime `AppInstanc...,app_instance_bots,create_app_instance_bot,insert,,,,,
CreateAppInstanceUser,/app-instance-users,POST,,,,"AppInstanceArn,AppInstanceUserId,ClientRequestToken,Name",Creates a user under an Amazon Chime `AppInstan...,app_instance_users,create_app_instance_user,insert,,,,,
DeleteAppInstance,/app-instances/{AppInstanceArn},DELETE,AppInstanceArn,,,,Deletes an `AppInstance` and all associated dat...,app_instances,delete_app_instance,delete,,,,,
DeleteAppInstanceAdmin,/app-instances/{AppInstanceArn}/admins/{AppInstanceAdminArn},DELETE,"AppInstanceAdminArn,AppInstanceArn",,,,Demotes an `AppInstanceAdmin` to an `AppInstanc...,app_instance_admins,delete_app_instance_admin,delete,,,,,
DeleteAppInstanceBot,/app-instance-bots/{AppInstanceBotArn},DELETE,AppInstanceBotArn,,,,Deletes an `AppInstanceBot`.,app_instance_bots,delete_app_instance_bot,delete,,,,,
DeleteAppInstanceUser,/app-instance-users/{AppInstanceUserArn},DELETE,AppInstanceUserArn,,,,Deletes an `AppInstanceUser`.,app_instance_users,delete_app_instance_user,delete,,,,,
DeregisterAppInstanceUserEndpoint,/app-instance-users/{AppInstanceUserArn}/endpoints/{EndpointId},DELETE,"AppInstanceUserArn,EndpointId",,,,Deregisters an `AppInstanceUserEndpoint`.,app_instance_user_endpoints,deregister_app_instance_user_endpoint,delete,,,,,
DescribeAppInstance,/app-instances/{AppInstanceArn},GET,AppInstanceArn,,,,Returns the full details of an `AppInstance`.,app_instances,describe_app_instance,select,,,,,
DescribeAppInstanceAdmin,/app-instances/{AppInstanceArn}/admins/{AppInstanceAdminArn},GET,"AppInstanceAdminArn,AppInstanceArn",,,,Returns the full details of an `AppInstanceAdmin`.,app_instance_admins,describe_app_instance_admin,select,,,,,
DescribeAppInstanceBot,/app-instance-bots/{AppInstanceBotArn},GET,AppInstanceBotArn,,,,The `AppInstanceBot's` information.,app_instance_bots,describe_app_instance_bot,select,,,,,
DescribeAppInstanceUser,/app-instance-users/{AppInstanceUserArn},GET,AppInstanceUserArn,,,,Returns the full details of an `AppInstanceUser`.,app_instance_users,describe_app_instance_user,select,,,,,
DescribeAppInstanceUserEndpoint,/app-instance-users/{AppInstanceUserArn}/endpoints/{EndpointId},GET,"AppInstanceUserArn,EndpointId",,,,Returns the full details of an `AppInstanceUser...,app_instance_user_endpoints,describe_app_instance_user_endpoint,select,,,,,
GetAppInstanceRetentionSettings,/app-instances/{AppInstanceArn}/retention-settings,GET,AppInstanceArn,,,,Gets the retention settings for an `AppInstance`.,app_instance_retention_settings,get_app_instance_retention_settings,select,,,,,
ListAppInstanceAdmins,/app-instances/{AppInstanceArn}/admins,GET,AppInstanceArn,,,,Returns a list of the administrators in the `Ap...,app_instance_admins,list_app_instance_admins,select,,,,,
ListAppInstanceBots,/app-instance-bots,GET,,,app-instance-arn,,Lists all `AppInstanceBots` created under a sin...,app_instance_bots,list_app_instance_bots,select,,,,,
ListAppInstanceUserEndpoints,/app-instance-users/{AppInstanceUserArn}/endpoints,GET,AppInstanceUserArn,,,,Lists all the `AppInstanceUserEndpoints` create...,app_instance_user_endpoints,list_app_instance_user_endpoints,select,,,,,
ListAppInstanceUsers,/app-instance-users,GET,,,app-instance-arn,,List all `AppInstanceUsers` created under a sin...,app_instance_users,list_app_instance_users,select,,,,,
ListAppInstances,/app-instances,GET,,,,,Lists all Amazon Chime `AppInstance`s created u...,app_instances,list_app_instances,select,,,,,
ListTagsForResource,/tags,GET,,,arn,,Lists the tags applied to an Amazon Chime SDK i...,tags,list_tags_for_resource,select,,,,,
PutAppInstanceRetentionSettings,/app-instances/{AppInstanceArn}/retention-settings,PUT,AppInstanceArn,,,,Sets the amount of time in days that a given `A...,app_instance_retention_settings,put_app_instance_retention_settings,replace,,,,,
PutAppInstanceUserExpirationSettings,/app-instance-users/{AppInstanceUserArn}/expiration-settings,PUT,AppInstanceUserArn,,,,Sets the number of days before the `AppInstance...,app_instance_users,put_app_instance_user_expiration_settings,replace,,,,,
RegisterAppInstanceUserEndpoint,/app-instance-users/{AppInstanceUserArn}/endpoints,POST,AppInstanceUserArn,,,"AppInstanceUserArn,ClientRequestToken,EndpointAttributes,ResourceArn,Type",Registers an endpoint under an Amazon Chime `Ap...,app_instance_user_endpoints,register_app_instance_user_endpoint,exec,,,,,
TagResource,/tags?operation=tag-resource,POST,,,,"ResourceARN,Tags",Applies the specified tags to the specified Ama...,tags,tag_resource,exec,,,,,
UntagResource,/tags?operation=untag-resource,POST,,,,"ResourceARN,TagKeys",Removes the specified tags from the specified A...,tags,untag_resource,exec,,,,,
UpdateAppInstance,/app-instances/{AppInstanceArn},PUT,AppInstanceArn,,,,Updates `AppInstance` metadata.,app_instances,update_app_instance,update,,,,,
UpdateAppInstanceBot,/app-instance-bots/{AppInstanceBotArn},PUT,AppInstanceBotArn,,,,Updates the name and metadata of an `AppInstanc...,app_instance_bots,update_app_instance_bot,update,,,,,
UpdateAppInstanceUser,/app-instance-users/{AppInstanceUserArn},PUT,AppInstanceUserArn,,,,Updates the details of an `AppInstanceUser`. Yo...,app_instance_users,update_app_instance_user,update,,,,,
UpdateAppInstanceUserEndpoint,/app-instance-users/{AppInstanceUserArn}/endpoints/{EndpointId},PUT,"AppInstanceUserArn,EndpointId",,,,Updates the details of an `AppInstanceUserEndpo...,app_instance_user_endpoints,update_app_instance_user_endpoint,update,,,,,
