operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateEnvironmentEC2,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.CreateEnvironmentEC2,POST,"Creates an Cloud9 development environment, laun...",environment_ec2s,environment_ec2s,create_environment_ec2,insert,,,,,
CreateEnvironmentMembership,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.CreateEnvironmentMembership,POST,Adds an environment member to an Cloud9 develop...,environment_memberships,environment_memberships,create_environment_membership,insert,,,,,
DeleteEnvironment,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.DeleteEnvironment,POST,Deletes an Cloud9 development environment. If a...,environments,environments,delete_environment,delete,,,,,
DeleteEnvironmentMembership,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.DeleteEnvironmentMembership,POST,Deletes an environment member from a developmen...,environment_memberships,environment_memberships,delete_environment_membership,delete,,,,,
DescribeEnvironmentMemberships,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.DescribeEnvironmentMemberships,POST,Gets information about environment members for ...,environment_memberships,environment_memberships,describe_environment_memberships,select,,,,,
DescribeEnvironmentStatus,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.DescribeEnvironmentStatus,POST,Gets status information for an Cloud9 developme...,environment_status,environment_status,describe_environment_status,select,,,,,
DescribeEnvironments,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.DescribeEnvironments,POST,Gets information about Cloud9 development envir...,environments,environments,describe_environments,select,,,,,
ListEnvironments,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.ListEnvironments,POST,Gets a list of Cloud9 development environment i...,environments_summaries,environments,list_environments,select,,,,,
ListTagsForResource,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.ListTagsForResource,POST,Gets a list of the tags associated with an Clou...,tags,tags_for_resources,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.TagResource,POST,Adds tags to an Cloud9 development environment....,resources,resources,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.UntagResource,POST,Removes tags from an Cloud9 development environ...,resource,resources,untag_resource,exec,,,,,
UpdateEnvironment,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.UpdateEnvironment,POST,Changes the settings of an existing Cloud9 deve...,environments,environments,update_environment,update,,,,,
UpdateEnvironmentMembership,/#X-Amz-Target=AWSCloud9WorkspaceManagementService.UpdateEnvironmentMembership,POST,Changes the settings of an existing environment...,environment_memberships,environment_memberships,update_environment_membership,update,,,,,
