operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddFacetToObject,/amazonclouddirectory/2017-01-11/object/facets,PUT,,x-amz-data-partition,,"DirectoryArn,ObjectReference,SchemaFacet",Adds a new Facet to an object. An object can ha...,objects,add_facet_to_object,exec,,,,,
ApplySchema,/amazonclouddirectory/2017-01-11/schema/apply,PUT,,x-amz-data-partition,,"DirectoryArn,PublishedSchemaArn","Copies the input published schema, at the speci...",schemas,apply_schema,exec,,,,,
AttachObject,/amazonclouddirectory/2017-01-11/object/attach,PUT,,x-amz-data-partition,,"ChildReference,DirectoryArn,LinkName,ParentReference",Attaches an existing object to another object. ...,objects,attach_object,exec,,,,,
AttachPolicy,/amazonclouddirectory/2017-01-11/policy/attach,PUT,,x-amz-data-partition,,"DirectoryArn,ObjectReference,PolicyReference",Attaches a policy object to a regular object. A...,policy_attachments,attach_policy,exec,,,,,
AttachToIndex,/amazonclouddirectory/2017-01-11/index/attach,PUT,,x-amz-data-partition,,"DirectoryArn,IndexReference,TargetReference",Attaches the specified object to the specified ...,indexes,attach_to_index,exec,,,,,
AttachTypedLink,/amazonclouddirectory/2017-01-11/typedlink/attach,PUT,,x-amz-data-partition,,"Attributes,DirectoryArn,SourceObjectReference,TargetObjectReference,TypedLinkFacet",Attaches a typed link to a specified source and...,typed_links,attach_typed_link,exec,,,,,
BatchRead,/amazonclouddirectory/2017-01-11/batchread,POST,,x-amz-data-partition,,"DirectoryArn,Operations",Performs all the read operations in a batch.,directories,batch_read,exec,,,,,
BatchWrite,/amazonclouddirectory/2017-01-11/batchwrite,PUT,,x-amz-data-partition,,"DirectoryArn,Operations",Performs all the write operations in a batch. E...,directories,batch_write,exec,,,,,
CreateDirectory,/amazonclouddirectory/2017-01-11/directory/create,PUT,,x-amz-data-partition,,"FacetName,Name,SchemaArn",Creates a Directory by copying the published sc...,directories,create_directory,insert,,,,,
CreateFacet,/amazonclouddirectory/2017-01-11/facet/create,PUT,,x-amz-data-partition,,"Name,SchemaArn",Creates a new Facet in a schema. Facet creation...,facets,create_facet,insert,,,,,
CreateIndex,/amazonclouddirectory/2017-01-11/index,PUT,,x-amz-data-partition,,"IsUnique,OrderedIndexedAttributeList",Creates an index object. See [Indexing and sear...,indexes,create_index,insert,,,,,
CreateObject,/amazonclouddirectory/2017-01-11/object,PUT,,x-amz-data-partition,,"DirectoryArn,SchemaFacets",Creates an object in a Directory. Additionally ...,objects,create_object,insert,,,,,
CreateSchema,/amazonclouddirectory/2017-01-11/schema/create,PUT,,,,"FacetName,Name,SchemaArn",Creates a new schema in a development state. A ...,schemas,create_schema,insert,,,,,
CreateTypedLinkFacet,/amazonclouddirectory/2017-01-11/typedlink/facet/create,PUT,,x-amz-data-partition,,"Facet,SchemaArn","Creates a TypedLinkFacet. For more information,...",typed_link_facets,create_typed_link_facet,insert,,,,,
DeleteDirectory,/amazonclouddirectory/2017-01-11/directory,PUT,,x-amz-data-partition,,,Deletes a directory. Only disabled directories ...,directories,delete_directory,delete,,,,,
DeleteFacet,/amazonclouddirectory/2017-01-11/facet/delete,PUT,,x-amz-data-partition,,"FacetName,Name,SchemaArn",Deletes a given Facet. All attributes and Rules...,facets,delete_facet,delete,,,,,
DeleteObject,/amazonclouddirectory/2017-01-11/object/delete,PUT,,x-amz-data-partition,,"DirectoryArn,ObjectReference,SchemaFacet",Deletes an object and its associated attributes...,objects,delete_object,delete,,,,,
DeleteSchema,/amazonclouddirectory/2017-01-11/schema,PUT,,x-amz-data-partition,,,Deletes a given schema. Schemas in a developmen...,schemas,delete_schema,delete,,,,,
DeleteTypedLinkFacet,/amazonclouddirectory/2017-01-11/typedlink/facet/delete,PUT,,x-amz-data-partition,,"FacetName,Name,SchemaArn","Deletes a TypedLinkFacet. For more information,...",typed_link_facets,delete_typed_link_facet,delete,,,,,
DetachFromIndex,/amazonclouddirectory/2017-01-11/index/detach,PUT,,x-amz-data-partition,,"DirectoryArn,IndexReference,TargetReference",Detaches the specified object from the specifie...,indexes,detach_from_index,exec,,,,,
DetachObject,/amazonclouddirectory/2017-01-11/object/detach,PUT,,x-amz-data-partition,,"ChildReference,DirectoryArn,LinkName,ParentReference",Detaches a given object from the parent object....,objects,detach_object,exec,,,,,
DetachPolicy,/amazonclouddirectory/2017-01-11/policy/detach,PUT,,x-amz-data-partition,,"DirectoryArn,ObjectReference,PolicyReference",Detaches a policy from an object.,policy_attachments,detach_policy,exec,,,,,
DetachTypedLink,/amazonclouddirectory/2017-01-11/typedlink/detach,PUT,,x-amz-data-partition,,,Detaches a typed link from a specified source a...,typed_links,detach_typed_link,exec,,,,,
DisableDirectory,/amazonclouddirectory/2017-01-11/directory/disable,PUT,,x-amz-data-partition,,,Disables the specified directory. Disabled dire...,directories,disable_directory,exec,,,,,
EnableDirectory,/amazonclouddirectory/2017-01-11/directory/enable,PUT,,x-amz-data-partition,,,Enables the specified directory. Only disabled ...,directories,enable_directory,exec,,,,,
GetAppliedSchemaVersion,/amazonclouddirectory/2017-01-11/schema/getappliedschema,POST,,,,"FacetName,Name,SchemaArn","Returns current applied schema version ARN, inc...",applied_schema_versions,get_applied_schema_version,select,,,,,
GetDirectory,/amazonclouddirectory/2017-01-11/directory/get,POST,,x-amz-data-partition,,,Retrieves metadata about a directory.,directories,get_directory,select,,,,,
GetFacet,/amazonclouddirectory/2017-01-11/facet,POST,,x-amz-data-partition,,"FacetName,Name,SchemaArn","Gets details of the Facet, such as facet name, ...",facets,get_facet,select,,,,,
GetLinkAttributes,/amazonclouddirectory/2017-01-11/typedlink/attributes/get,POST,,x-amz-data-partition,,"AttributeNames,DirectoryArn,TypedLinkSpecifier",Retrieves attributes that are associated with a...,link_attributes,get_link_attributes,select,,,,,
GetObjectAttributes,/amazonclouddirectory/2017-01-11/object/attributes/get,POST,,x-amz-data-partition,,"AttributeNames,ObjectReference,SchemaFacet",Retrieves attributes within a facet that are as...,object_attributes,get_object_attributes,select,,,,,
GetObjectInformation,/amazonclouddirectory/2017-01-11/object/information,POST,,x-amz-data-partition,,"DirectoryArn,ObjectReference,SchemaFacet",Retrieves metadata about an object.,object_information,get_object_information,select,,,,,
GetSchemaAsJson,/amazonclouddirectory/2017-01-11/schema/json,POST,,x-amz-data-partition,,,Retrieves a JSON representation of the schema. ...,schemas,get_schema_as_json,select,,,,,
GetTypedLinkFacetInformation,/amazonclouddirectory/2017-01-11/typedlink/facet/get,POST,,x-amz-data-partition,,"FacetName,Name,SchemaArn",Returns the identity attribute order for a spec...,typed_link_facet_information,get_typed_link_facet_information,select,,,,,
ListAppliedSchemaArns,/amazonclouddirectory/2017-01-11/schema/applied,POST,,,,DirectoryArn,Lists schema major versions applied to a direct...,applied_schema_arns,list_applied_schema_arns,select,,,,,
ListAttachedIndices,/amazonclouddirectory/2017-01-11/object/indices,POST,,x-amz-data-partition,,TargetReference,Lists indices attached to the specified object.,attached_indices,list_attached_indices,select,,,,,
ListDevelopmentSchemaArns,/amazonclouddirectory/2017-01-11/schema/development,POST,,,,TargetReference,Retrieves each Amazon Resource Name (ARN) of sc...,development_schema_arns,list_development_schema_arns,select,,,,,
ListDirectories,/amazonclouddirectory/2017-01-11/directory/list,POST,,,,,Lists directories created within an account.,directories,list_directories,select,,,,,
ListFacetAttributes,/amazonclouddirectory/2017-01-11/facet/attributes,POST,,x-amz-data-partition,,"Name,SchemaArn",Retrieves attributes attached to the facet.,facet_attributes,list_facet_attributes,select,,,,,
ListFacetNames,/amazonclouddirectory/2017-01-11/facet/list,POST,,x-amz-data-partition,,TargetReference,Retrieves the names of facets that exist in a s...,facets,list_facet_names,select,,,,,
ListIncomingTypedLinks,/amazonclouddirectory/2017-01-11/typedlink/incoming,POST,,x-amz-data-partition,,"DirectoryArn,ObjectReference",Returns a paginated list of all the incoming Ty...,incoming_typed_links,list_incoming_typed_links,select,,,,,
ListIndex,/amazonclouddirectory/2017-01-11/index/targets,POST,,x-amz-data-partition,,IndexReference,Lists objects attached to the specified index.,index_targets,list_index,select,,,,,
ListManagedSchemaArns,/amazonclouddirectory/2017-01-11/schema/managed,POST,,,,DirectoryArn,Lists the major version families of each manage...,managed_schema_arns,list_managed_schema_arns,select,,,,,
ListObjectAttributes,/amazonclouddirectory/2017-01-11/object/attributes,POST,,x-amz-data-partition,,ObjectReference,Lists all attributes that are associated with a...,object_attributes,list_object_attributes,select,,,,,
ListObjectChildren,/amazonclouddirectory/2017-01-11/object/children,POST,,x-amz-data-partition,,ObjectReference,Returns a paginated list of child objects that ...,object_children,list_object_children,select,,,,,
ListObjectParentPaths,/amazonclouddirectory/2017-01-11/object/parentpaths,POST,,x-amz-data-partition,,ObjectReference,Retrieves all available parent paths for any ob...,object_parent_paths,list_object_parent_paths,select,,,,,
ListObjectParents,/amazonclouddirectory/2017-01-11/object/parent,POST,,x-amz-data-partition,,"DirectoryArn,ObjectReference",Lists parent objects that are associated with a...,object_parents,list_object_parents,select,,,,,
ListObjectPolicies,/amazonclouddirectory/2017-01-11/object/policy,POST,,x-amz-data-partition,,ObjectReference,Returns policies attached to an object in pagin...,object_policies,list_object_policies,select,,,,,
ListOutgoingTypedLinks,/amazonclouddirectory/2017-01-11/typedlink/outgoing,POST,,x-amz-data-partition,,"DirectoryArn,ObjectReference",Returns a paginated list of all the outgoing Ty...,typed_links,list_outgoing_typed_links,select,,,,,
ListPolicyAttachments,/amazonclouddirectory/2017-01-11/policy/attachment,POST,,x-amz-data-partition,,PolicyReference,Returns all of the `ObjectIdentifiers` to which...,policy_attachments,list_policy_attachments,select,,,,,
ListPublishedSchemaArns,/amazonclouddirectory/2017-01-11/schema/published,POST,,,,DirectoryArn,Lists the major version families of each publis...,published_schema_arns,list_published_schema_arns,select,,,,,
ListTagsForResource,/amazonclouddirectory/2017-01-11/tags,POST,,,,ResourceArn,Returns tags for a resource. Tagging is current...,tags,list_tags_for_resource,select,,,,,
ListTypedLinkFacetAttributes,/amazonclouddirectory/2017-01-11/typedlink/facet/attributes,POST,,x-amz-data-partition,,"Name,SchemaArn",Returns a paginated list of all attribute defin...,typed_link_facet_attributes,list_typed_link_facet_attributes,select,,,,,
ListTypedLinkFacetNames,/amazonclouddirectory/2017-01-11/typedlink/facet/list,POST,,x-amz-data-partition,,TargetReference,Returns a paginated list of `TypedLink` facet n...,typed_link_facets,list_typed_link_facet_names,select,,,,,
LookupPolicy,/amazonclouddirectory/2017-01-11/policy/lookup,POST,,x-amz-data-partition,,ObjectReference,Lists all policies from the root of the Directo...,policy_attachments,lookup_policy,exec,,,,,
PublishSchema,/amazonclouddirectory/2017-01-11/schema/publish,PUT,,x-amz-data-partition,,"DevelopmentSchemaArn,Version",Publishes a development schema with a major ver...,schemas,publish_schema,exec,,,,,
PutSchemaFromJson,/amazonclouddirectory/2017-01-11/schema/json,PUT,,x-amz-data-partition,,,Allows a schema to be updated using JSON upload...,schemas,put_schema_from_json,replace,,,,,
RemoveFacetFromObject,/amazonclouddirectory/2017-01-11/object/facets/delete,PUT,,x-amz-data-partition,,"DirectoryArn,ObjectReference,SchemaFacet",Removes the specified facet from the specified ...,objects,remove_facet_from_object,exec,,,,,
TagResource,/amazonclouddirectory/2017-01-11/tags/add,PUT,,,,"ResourceArn,Tags",An API operation for adding tags to a resource.,tags,tag_resource,exec,,,,,
UntagResource,/amazonclouddirectory/2017-01-11/tags/remove,PUT,,,,"ResourceArn,TagKeys",An API operation for removing tags from a resou...,tags,untag_resource,exec,,,,,
UpdateFacet,/amazonclouddirectory/2017-01-11/facet,PUT,,x-amz-data-partition,,"Name,SchemaArn","Does the following: 1. Adds new `Attributes`, `...",facets,update_facet,update,,,,,
UpdateLinkAttributes,/amazonclouddirectory/2017-01-11/typedlink/attributes/update,POST,,x-amz-data-partition,,"AttributeUpdates,TypedLinkSpecifier",Updates a given typed link's attributes. Attrib...,link_attributes,update_link_attributes,update,,,,,
UpdateObjectAttributes,/amazonclouddirectory/2017-01-11/object/update,PUT,,x-amz-data-partition,,"AttributeUpdates,ObjectReference",Updates a given object's attributes.,object_attributes,update_object_attributes,update,,,,,
