operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddTagsToResource,/#X-Amz-Target=CloudHsmFrontendService.AddTagsToResource,POST,This is documentation for **AWS CloudHSM Classi...,tags,add_tags_to_resource,exec,,,,,
CreateHapg,/#X-Amz-Target=CloudHsmFrontendService.CreateHapg,POST,This is documentation for **AWS CloudHSM Classi...,hapgs,create_hapg,insert,,,,,
CreateHsm,/#X-Amz-Target=CloudHsmFrontendService.CreateHsm,POST,This is documentation for **AWS CloudHSM Classi...,hsms,create_hsm,insert,,,,,
CreateLunaClient,/#X-Amz-Target=CloudHsmFrontendService.CreateLunaClient,POST,This is documentation for **AWS CloudHSM Classi...,luna_clients,create_luna_client,insert,,,,,
DeleteHapg,/#X-Amz-Target=CloudHsmFrontendService.DeleteHapg,POST,This is documentation for **AWS CloudHSM Classi...,hapgs,delete_hapg,delete,,,,,
DeleteHsm,/#X-Amz-Target=CloudHsmFrontendService.DeleteHsm,POST,This is documentation for **AWS CloudHSM Classi...,hsms,delete_hsm,delete,,,,,
DeleteLunaClient,/#X-Amz-Target=CloudHsmFrontendService.DeleteLunaClient,POST,This is documentation for **AWS CloudHSM Classi...,luna_clients,delete_luna_client,delete,,,,,
DescribeHapg,/#X-Amz-Target=CloudHsmFrontendService.DescribeHapg,POST,This is documentation for **AWS CloudHSM Classi...,hapgs,describe_hapg,select,,,,,
DescribeHsm,/#X-Amz-Target=CloudHsmFrontendService.DescribeHsm,POST,This is documentation for **AWS CloudHSM Classi...,hsms,describe_hsm,select,,,,,
DescribeLunaClient,/#X-Amz-Target=CloudHsmFrontendService.DescribeLunaClient,POST,This is documentation for **AWS CloudHSM Classi...,luna_clients,describe_luna_client,select,,,,,
GetConfig,/#X-Amz-Target=CloudHsmFrontendService.GetConfig,POST,This is documentation for **AWS CloudHSM Classi...,configs,get_config,select,,,,,
ListAvailableZones,/#X-Amz-Target=CloudHsmFrontendService.ListAvailableZones,POST,This is documentation for **AWS CloudHSM Classi...,available_zones,list_available_zones,select,,,,,
ListHapgs,/#X-Amz-Target=CloudHsmFrontendService.ListHapgs,POST,This is documentation for **AWS CloudHSM Classi...,hapg_summaries,list_hapgs,select,,,,,
ListHsms,/#X-Amz-Target=CloudHsmFrontendService.ListHsms,POST,This is documentation for **AWS CloudHSM Classi...,hsm_summaries,list_hsms,select,,,,,
ListLunaClients,/#X-Amz-Target=CloudHsmFrontendService.ListLunaClients,POST,This is documentation for **AWS CloudHSM Classi...,luna_client_summaries,list_luna_clients,select,,,,,
ListTagsForResource,/#X-Amz-Target=CloudHsmFrontendService.ListTagsForResource,POST,This is documentation for **AWS CloudHSM Classi...,tags,list_tags_for_resource,select,,,,,
ModifyHapg,/#X-Amz-Target=CloudHsmFrontendService.ModifyHapg,POST,This is documentation for **AWS CloudHSM Classi...,hapgs,modify_hapg,exec,,,,,
ModifyHsm,/#X-Amz-Target=CloudHsmFrontendService.ModifyHsm,POST,This is documentation for **AWS CloudHSM Classi...,hsms,modify_hsm,exec,,,,,
ModifyLunaClient,/#X-Amz-Target=CloudHsmFrontendService.ModifyLunaClient,POST,This is documentation for **AWS CloudHSM Classi...,luna_clients,modify_luna_client,exec,,,,,
RemoveTagsFromResource,/#X-Amz-Target=CloudHsmFrontendService.RemoveTagsFromResource,POST,This is documentation for **AWS CloudHSM Classi...,tags,remove_tags_from_resource,exec,,,,,
