operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeAlarmsForMetric,/#Action=DescribeAlarmsForMetric,GET,,,"Action,MetricName,Namespace,Version",,Retrieves the alarms for the specified metric. ...,alarms,describe_alarms_for_metric,select,,,,,
DescribeAlarmContributors,/#Action=DescribeAlarmContributors,GET,,,"Action,AlarmName,Version",,Returns the information of the current alarm co...,alarm_contributors,describe_alarm_contributors,select,,,,,
DescribeAlarmHistory,/#Action=DescribeAlarmHistory,GET,,,"Action,Version",,Retrieves the history for the specified alarm. ...,alarm_history,describe_alarm_history,select,$.AlarmHistoryItems,,,,
DeleteAlarms,/#Action=DeleteAlarms,GET,,,"Action,AlarmNames,Version",,Deletes the specified alarms. You can delete up...,alarms,delete_alarms,delete,,,,,
DescribeAlarms,/#Action=DescribeAlarms,GET,,,"Action,Version",,Retrieves the specified alarms. You can filter ...,alarms,describe_alarms,select,,,,,
DisableAlarmActions,/#Action=DisableAlarmActions,GET,,,"Action,AlarmNames,Version",,Disables the actions for the specified alarms. ...,alarms,disable_alarm_actions,exec,,,,,
EnableAlarmActions,/#Action=EnableAlarmActions,GET,,,"Action,AlarmNames,Version",,Enables the actions for the specified alarms.,alarms,enable_alarm_actions,exec,,,,,
PutCompositeAlarm,/#Action=PutCompositeAlarm,GET,,,"Action,AlarmName,AlarmRule,Version",,Creates or updates a _composite alarm_. When yo...,alarms,put_composite_alarm,replace,,,,,
PutMetricAlarm,/#Action=PutMetricAlarm,GET,,,"Action,AlarmName,ComparisonOperator,EvaluationPeriods,Version",,Creates or updates an alarm and associates it w...,alarms,put_metric_alarm,exec,,,,,
SetAlarmState,/#Action=SetAlarmState,GET,,,"Action,AlarmName,StateReason,StateValue,Version",,Temporarily sets the state of an alarm for test...,alarms,set_alarm_state,exec,,,,,
DeleteAnomalyDetector,/#Action=DeleteAnomalyDetector,GET,,,"Action,Version",,Deletes the specified anomaly detection model f...,anomaly_detectors,delete_anomaly_detector,delete,,,,,
DescribeAnomalyDetectors,/#Action=DescribeAnomalyDetectors,GET,,,"Action,Version",,Lists the anomaly detection models that you hav...,anomaly_detectors,describe_anomaly_detectors,select,$.AnomalyDetectors,,,,
PutAnomalyDetector,/#Action=PutAnomalyDetector,GET,,,"Action,Version",,Creates an anomaly detection model for a CloudW...,anomaly_detectors,put_anomaly_detector,replace,,,,,
GetDashboard,/#Action=GetDashboard,GET,,,"Action,DashboardName,Version",,Displays the details of the dashboard that you ...,dashboards,get_dashboard,select,,,,,
DeleteDashboards,/#Action=DeleteDashboards,GET,,,"Action,DashboardNames,Version",,Deletes all dashboards that you specify. You ca...,dashboards,delete_dashboards,delete,,,,,
ListDashboards,/#Action=ListDashboards,GET,,,"Action,Version",,Returns a list of the dashboards for your accou...,dashboards,list_dashboards,select,$.DashboardEntries,,,,
PutDashboard,/#Action=PutDashboard,GET,,,"Action,DashboardBody,DashboardName,Version",,Creates a dashboard if it does not already exis...,dashboards,put_dashboard,replace,,,,,
GetInsightRuleReport,/#Action=GetInsightRuleReport,GET,,,"Action,EndTime,Period,RuleName,StartTime,Version",,This operation returns the time series data col...,insight_rules,get_insight_rule_report,select,,,,,
DeleteInsightRules,/#Action=DeleteInsightRules,GET,,,"Action,RuleNames,Version",,Permanently deletes the specified Contributor I...,insight_rules,delete_insight_rules,delete,,,,,
DescribeInsightRules,/#Action=DescribeInsightRules,GET,,,"Action,Version",,Returns a list of all the Contributor Insights ...,insight_rules,describe_insight_rules,select,,,,,
DisableInsightRules,/#Action=DisableInsightRules,GET,,,"Action,RuleNames,Version",,Disables the specified Contributor Insights rul...,insight_rules,disable_insight_rules,exec,,,,,
EnableInsightRules,/#Action=EnableInsightRules,GET,,,"Action,RuleNames,Version",,Enables the specified Contributor Insights rule...,insight_rules,enable_insight_rules,exec,,,,,
PutInsightRule,/#Action=PutInsightRule,GET,,,"Action,RuleDefinition,RuleName,Version",,Creates a Contributor Insights rule. Rules eval...,insight_rules,put_insight_rule,replace,,,,,
ListManagedInsightRules,/#Action=ListManagedInsightRules,GET,,,"Action,ResourceARN,Version",,Returns a list that contains the number of mana...,managed_insight_rules,list_managed_insight_rules,select,,,,,
PutManagedInsightRules,/#Action=PutManagedInsightRules,GET,,,"Action,ManagedRules,Version",,Creates a managed Contributor Insights rule for...,managed_insight_rules,put_managed_insight_rules,replace,,,,,
GetMetricData,/#Action=GetMetricData,GET,,,"Action,EndTime,MetricDataQueries,StartTime,Version",,You can use the `GetMetricData` API to retrieve...,metrics,get_metric_data,select,,,,,
GetMetricStream,/#Action=GetMetricStream,GET,,,"Action,Name,Version",,Returns information about the metric stream tha...,metric_streams,get_metric_stream,select,,,,,
DeleteMetricStream,/#Action=DeleteMetricStream,GET,,,"Action,Name,Version",,Permanently deletes the metric stream that you ...,metric_streams,delete_metric_stream,delete,,,,,
ListMetricStreams,/#Action=ListMetricStreams,GET,,,"Action,Version",,Returns a list of metric streams in this account.,metric_streams,list_metric_streams,select,,,,,
PutMetricStream,/#Action=PutMetricStream,GET,,,"Action,FirehoseArn,Name,OutputFormat,RoleArn,Version",,Creates or updates a metric stream. Metric stre...,metric_streams,put_metric_stream,replace,,,,,
StartMetricStreams,/#Action=StartMetricStreams,GET,,,"Action,Names,Version",,Starts the streaming of metrics for one or more...,metric_streams,start_metric_streams,exec,,,,,
StopMetricStreams,/#Action=StopMetricStreams,GET,,,"Action,Names,Version",,Stops the streaming of metrics for one or more ...,metric_streams,stop_metric_streams,exec,,,,,
GetMetricStatistics,/#Action=GetMetricStatistics,GET,,,"Action,EndTime,MetricName,Namespace,Period,StartTime,Version",,Gets statistics for the specified metric. The m...,metrics,get_metric_statistics,select,,,,,
GetMetricWidgetImage,/#Action=GetMetricWidgetImage,GET,,,"Action,MetricWidget,Version",,You can use the `GetMetricWidgetImage` API to r...,metric_widget_images,get_metric_widget_image,select,,,,,
ListMetrics,/#Action=ListMetrics,GET,,,"Action,Version",,List the specified metrics. You can use the ret...,metrics,list_metrics,select,,,,,
PutMetricData,/#Action=PutMetricData,GET,,,"Action,Namespace,Version",,Publishes metric data to Amazon CloudWatch. Clo...,metrics,put_metric_data,replace,,,,,
ListTagsForResource,/#Action=ListTagsForResource,GET,,,"Action,ResourceARN,Version",,Displays the tags associated with a CloudWatch ...,tags,list_tags_for_resource,select,,,,,
TagResource,/#Action=TagResource,GET,,,"Action,ResourceARN,Tags,Version",,Assigns one or more tags (key-value pairs) to t...,tags,tag_resource,exec,,,,,
UntagResource,/#Action=UntagResource,GET,,,"Action,ResourceARN,TagKeys,Version",,Removes one or more tags from the specified res...,tags,untag_resource,exec,,,,,
