operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeApiDestination,/#X-Amz-Target=AWSEvents.DescribeApiDestination,POST,,,,Name,Retrieves details about an API destination.,api_destinations,describe_api_destination,select,,,,,
CreateApiDestination,/#X-Amz-Target=AWSEvents.CreateApiDestination,POST,,,,"ConnectionArn,HttpMethod,InvocationEndpoint,Name","Creates an API destination, which is an HTTP in...",api_destinations,create_api_destination,insert,,,,,
DeleteApiDestination,/#X-Amz-Target=AWSEvents.DeleteApiDestination,POST,,,,Name,Deletes the specified API destination.,api_destinations,delete_api_destination,delete,,,,,
ListApiDestinations,/#X-Amz-Target=AWSEvents.ListApiDestinations,POST,,,,,Retrieves a list of API destination in the acco...,api_destinations,list_api_destinations,select,,,,,
UpdateApiDestination,/#X-Amz-Target=AWSEvents.UpdateApiDestination,POST,,,,Name,Updates an API destination.,api_destinations,update_api_destination,update,,,,,
DescribeArchive,/#X-Amz-Target=AWSEvents.DescribeArchive,POST,,,,ArchiveName,Retrieves details about an archive.,archives,describe_archive,select,,,,,
CreateArchive,/#X-Amz-Target=AWSEvents.CreateArchive,POST,,,,"ArchiveName,EventSourceArn",Creates an archive of events with the specified...,archives,create_archive,insert,,,,,
DeleteArchive,/#X-Amz-Target=AWSEvents.DeleteArchive,POST,,,,ArchiveName,Deletes the specified archive.,archives,delete_archive,delete,,,,,
ListArchives,/#X-Amz-Target=AWSEvents.ListArchives,POST,,,,,Lists your archives. You can either list all th...,archives,list_archives,select,,,,,
UpdateArchive,/#X-Amz-Target=AWSEvents.UpdateArchive,POST,,,,ArchiveName,Updates the specified archive.,archives,update_archive,update,,,,,
DescribeConnection,/#X-Amz-Target=AWSEvents.DescribeConnection,POST,,,,Name,Retrieves details about a connection.,connections,describe_connection,select,,,,,
CreateConnection,/#X-Amz-Target=AWSEvents.CreateConnection,POST,,,,"AuthParameters,AuthorizationType,Name",Creates a connection. A connection defines the ...,connections,create_connection,insert,,,,,
DeauthorizeConnection,/#X-Amz-Target=AWSEvents.DeauthorizeConnection,POST,,,,Name,Removes all authorization parameters from the c...,connections,deauthorize_connection,exec,,,,,
DeleteConnection,/#X-Amz-Target=AWSEvents.DeleteConnection,POST,,,,Name,Deletes a connection.,connections,delete_connection,delete,,,,,
ListConnections,/#X-Amz-Target=AWSEvents.ListConnections,POST,,,,,Retrieves a list of connections from the account.,connections,list_connections,select,,,,,
UpdateConnection,/#X-Amz-Target=AWSEvents.UpdateConnection,POST,,,,Name,Updates settings for a connection.,connections,update_connection,update,,,,,
PutPermission,/#X-Amz-Target=AWSEvents.PutPermission,POST,,,,,Running `PutPermission` permits the specified A...,event_bus_permissions,put_permission,replace,,,,,
RemovePermission,/#X-Amz-Target=AWSEvents.RemovePermission,POST,,,,,Revokes the permission of another Amazon Web Se...,event_bus_permissions,remove_permission,exec,,,,,
DescribeEventBus,/#X-Amz-Target=AWSEvents.DescribeEventBus,POST,,,,Name,Displays details about an event bus in your acc...,event_bus,describe_event_bus,select,,,,,
CreateEventBus,/#X-Amz-Target=AWSEvents.CreateEventBus,POST,,,,Name,Creates a new event bus within your account. Th...,event_buses,create_event_bus,insert,,,,,
DeleteEventBus,/#X-Amz-Target=AWSEvents.DeleteEventBus,POST,,,,Name,Deletes the specified custom event bus or partn...,event_buses,delete_event_bus,delete,,,,,
ListEventBuses,/#X-Amz-Target=AWSEvents.ListEventBuses,POST,,,,,"Lists all the event buses in your account, incl...",event_buses,list_event_buses,select,,,,,
DescribeEventSource,/#X-Amz-Target=AWSEvents.DescribeEventSource,POST,,,,Name,This operation lists details about a partner ev...,event_sources,describe_event_source,select,,,,,
ActivateEventSource,/#X-Amz-Target=AWSEvents.ActivateEventSource,POST,,,,Name,Activates a partner event source that has been ...,event_sources,activate_event_source,exec,,,,,
DeactivateEventSource,/#X-Amz-Target=AWSEvents.DeactivateEventSource,POST,,,,Name,You can use this operation to temporarily stop ...,event_sources,deactivate_event_source,exec,,,,,
ListEventSources,/#X-Amz-Target=AWSEvents.ListEventSources,POST,,,,,You can use this to see all the partner event s...,event_sources,list_event_sources,select,,,,,
PutEvents,/#X-Amz-Target=AWSEvents.PutEvents,POST,,,,Entries,Sends custom events to Amazon EventBridge so th...,events,put_events,replace,,,,,
TestEventPattern,/#X-Amz-Target=AWSEvents.TestEventPattern,POST,,,,"Event,EventPattern",Tests whether the specified event pattern match...,events,test_event_pattern,exec,,,,,
DescribePartnerEventSource,/#X-Amz-Target=AWSEvents.DescribePartnerEventSource,POST,,,,Name,An SaaS partner can use this operation to list ...,partner_event_sources,describe_partner_event_source,select,,,,,
ListPartnerEventSources,/#X-Amz-Target=AWSEvents.ListPartnerEventSources,POST,,,,NamePrefix,An SaaS partner can use this operation to list ...,partner_event_sources,list_partner_event_sources,select,,,,,
CreatePartnerEventSource,/#X-Amz-Target=AWSEvents.CreatePartnerEventSource,POST,,,,"Account,Name",Called by an SaaS partner to create a partner e...,partner_event_sources,create_partner_event_source,insert,,,,,
DeletePartnerEventSource,/#X-Amz-Target=AWSEvents.DeletePartnerEventSource,POST,,,,"Account,Name",This operation is used by SaaS partners to dele...,partner_event_sources,delete_partner_event_source,delete,,,,,
ListPartnerEventSourceAccounts,/#X-Amz-Target=AWSEvents.ListPartnerEventSourceAccounts,POST,,,,EventSourceName,An SaaS partner can use this operation to displ...,partner_event_sources,list_partner_event_source_accounts,select,,,,,
PutPartnerEvents,/#X-Amz-Target=AWSEvents.PutPartnerEvents,POST,,,,Entries,This is used by SaaS partners to write events t...,partner_event_sources,put_partner_events,replace,,,,,
DescribeReplay,/#X-Amz-Target=AWSEvents.DescribeReplay,POST,,,,ReplayName,Retrieves details about a replay. Use `Describe...,replays,describe_replay,select,,,,,
CancelReplay,/#X-Amz-Target=AWSEvents.CancelReplay,POST,,,,ReplayName,Cancels the specified replay.,replays,cancel_replay,exec,,,,,
ListReplays,/#X-Amz-Target=AWSEvents.ListReplays,POST,,,,,Lists your replays. You can either list all the...,replays,list_replays,select,,,,,
StartReplay,/#X-Amz-Target=AWSEvents.StartReplay,POST,,,,"Destination,EventEndTime,EventSourceArn,EventStartTime,ReplayName",Starts the specified replay. Events are not nec...,replays,start_replay,exec,,,,,
DescribeRule,/#X-Amz-Target=AWSEvents.DescribeRule,POST,,,,Name,Describes the specified rule. DescribeRule does...,rules,describe_rule,select,,,,,
ListRules,/#X-Amz-Target=AWSEvents.ListRules,POST,,,,,Lists your Amazon EventBridge rules. You can ei...,rules,list_rules,select,,,,,
DeleteRule,/#X-Amz-Target=AWSEvents.DeleteRule,POST,,,,Name,Deletes the specified rule. Before you can dele...,rules,delete_rule,delete,,,,,
DisableRule,/#X-Amz-Target=AWSEvents.DisableRule,POST,,,,Name,Disables the specified rule. A disabled rule wo...,rules,disable_rule,exec,,,,,
