operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAccessToken,/v1/accessTokens,PUT,Creates a personal access token (PAT) for the c...,access_tokens,create_access_token,insert,,,,,
CreateDevEnvironment,/v1/spaces/{spaceName}/projects/{projectName}/devEnvironments,PUT,Creates a Dev Environment in Amazon CodeCatalys...,dev_environments,create_dev_environment,insert,,,,,
CreateProject,/v1/spaces/{spaceName}/projects,PUT,Creates a project in a specified space.,projects,create_project,insert,,,,,
CreateSourceRepository,/v1/spaces/{spaceName}/projects/{projectName}/sourceRepositories/{name},PUT,Creates an empty Git-based source repository in...,source_repositories,create_source_repository,insert,,,,,
CreateSourceRepositoryBranch,/v1/spaces/{spaceName}/projects/{projectName}/sourceRepositories/{sourceRepositoryName}/branches/{name},PUT,Creates a branch in a specified source reposito...,source_repository_branches,create_source_repository_branch,insert,,,,,
DeleteAccessToken,/v1/accessTokens/{id},DELETE,Deletes a specified personal access token (PAT)...,access_tokens,delete_access_token,delete,,,,,
DeleteDevEnvironment,/v1/spaces/{spaceName}/projects/{projectName}/devEnvironments/{id},DELETE,Deletes a Dev Environment.,dev_environments,delete_dev_environment,delete,,,,,
DeleteProject,/v1/spaces/{spaceName}/projects/{name},DELETE,Deletes a project in a space.,projects,delete_project,delete,,,,,
DeleteSourceRepository,/v1/spaces/{spaceName}/projects/{projectName}/sourceRepositories/{name},DELETE,Deletes a source repository in Amazon CodeCatal...,source_repositories,delete_source_repository,delete,,,,,
DeleteSpace,/v1/spaces/{name},DELETE,Deletes a space. Deleting a space cannot be und...,spaces,delete_space,delete,,,,,
GetDevEnvironment,/v1/spaces/{spaceName}/projects/{projectName}/devEnvironments/{id},GET,Returns information about a Dev Environment for...,dev_environments,get_dev_environment,select,,,,,
GetProject,/v1/spaces/{spaceName}/projects/{name},GET,Returns information about a project.,projects,get_project,select,,,,,
