operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ConfigureAgent,/profilingGroups/{profilingGroupName}/configureAgent,POST,profilingGroupName,,,profilingGroupName,Used by profiler agents to report their current...,profiling_groups,configure_agent,exec,,,,,
PostAgentProfile,/profilingGroups/{profilingGroupName}/agentProfile,POST,profilingGroupName,Content-Type,,"agentProfile,contentType,profilingGroupName",Submits profiling data to an aggregated profile...,profiles,post_agent_profile,exec,,,,,
SubmitFeedback,/internal/profilingGroups/{profilingGroupName}/anomalies/{anomalyInstanceId}/feedback,POST,"anomalyInstanceId,profilingGroupName",,,"anomalyInstanceId,profilingGroupName,type",Sends feedback to CodeGuru Profiler about wheth...,profiling_groups,submit_feedback,exec,,,,,
GetFindingsReportAccountSummary,/internal/findingsReports,GET,,,,,Returns a list of [ `FindingsReportSummary` ](h...,findings_report_account_summaries,get_findings_report_account_summary,select,,,,,
ListFindingsReports,/internal/profilingGroups/{profilingGroupName}/findingsReports,GET,profilingGroupName,,"endTime,startTime",,List the available reports for a given profilin...,findings_reports,list_findings_reports,select,,,,,
BatchGetFrameMetricData,/profilingGroups/{profilingGroupName}/frames/-/metrics,POST,profilingGroupName,,,profilingGroupName,Returns the time series of values for a request...,profiling_groups,batch_get_frame_metric_data,exec,,,,,
AddNotificationChannels,/profilingGroups/{profilingGroupName}/notificationConfiguration,POST,profilingGroupName,,,"channels,profilingGroupName",Add up to 2 anomaly notifications channels for ...,notification_channels,add_notification_channels,exec,,,,,
RemoveNotificationChannel,/profilingGroups/{profilingGroupName}/notificationConfiguration/{channelId},DELETE,"channelId,profilingGroupName",,,,Remove one anomaly notifications channel for a ...,notification_channels,remove_notification_channel,delete,,,,,
GetNotificationConfiguration,/profilingGroups/{profilingGroupName}/notificationConfiguration,GET,profilingGroupName,,,,Get the current configuration for anomaly notif...,notification_configurations,get_notification_configuration,select,,,,,
GetPolicy,/profilingGroups/{profilingGroupName}/policy,GET,profilingGroupName,,,,Returns the JSON-formatted resource-based polic...,policies,get_policy,select,,,,,
PutPermission,/profilingGroups/{profilingGroupName}/policy/{actionGroup},PUT,"actionGroup,profilingGroupName",,,"actionGroup,principals,profilingGroupName",Adds permissions to a profiling group's resourc...,policies,put_permission,replace,,,,,
RemovePermission,/profilingGroups/{profilingGroupName}/policy/{actionGroup},DELETE,"actionGroup,profilingGroupName",,revisionId,,Removes permissions from a profiling group's re...,policies,remove_permission,delete,,,,,
ListProfileTimes,/profilingGroups/{profilingGroupName}/profileTimes,GET,profilingGroupName,,"endTime,period,startTime",,Lists the start times of the available aggregat...,profile_times,list_profile_times,select,$.profileTimes,,,,
GetProfile,/profilingGroups/{profilingGroupName}/profile,GET,profilingGroupName,,,,Gets the aggregated profile of a profiling grou...,profiles,get_profile,select,,,,,
CreateProfilingGroup,/profilingGroups,POST,,,clientToken,"clientToken,profilingGroupName",Creates a profiling group.,profiling_groups,create_profiling_group,insert,,,,,
DeleteProfilingGroup,/profilingGroups/{profilingGroupName},DELETE,profilingGroupName,,,,Deletes a profiling group.,profiling_groups,delete_profiling_group,delete,,,,,
DescribeProfilingGroup,/profilingGroups/{profilingGroupName},GET,profilingGroupName,,,,Returns a [ `ProfilingGroupDescription` ](https...,profiling_groups,describe_profiling_group,select,,,,,
ListProfilingGroups,/profilingGroups,GET,,,,,Returns a list of profiling groups. The profili...,profiling_groups,list_profiling_groups,select,,,,,
UpdateProfilingGroup,/profilingGroups/{profilingGroupName},PUT,profilingGroupName,,,"clientToken,profilingGroupName",Updates a profiling group.,profiling_groups,update_profiling_group,update,,,,,
GetRecommendations,/internal/profilingGroups/{profilingGroupName}/recommendations,GET,profilingGroupName,,"endTime,startTime",,Returns a list of [ `Recommendation` ](https://...,recommendations,get_recommendations,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Returns a list of the tags that are assigned to...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,"clientToken,profilingGroupName",Use to assign one or more tags to a resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Use to remove one or more tags from a resource.,tags,untag_resource,exec,,,,,
