operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BulkPublish,/identitypools/{IdentityPoolId}/bulkpublish,POST,IdentityPoolId,,,,Initiates a bulk publish of all existing datase...,bulk_publish_details,bulk_publish,exec,,,,,
GetBulkPublishDetails,/identitypools/{IdentityPoolId}/getBulkPublishDetails,POST,IdentityPoolId,,,,Get the status of the last BulkPublish operatio...,bulk_publish_details,get_bulk_publish_details,select,,,,,
GetCognitoEvents,/identitypools/{IdentityPoolId}/events,GET,IdentityPoolId,,,,Gets the events and the corresponding Lambda fu...,cognito_events,get_cognito_events,select,,,,,
SetCognitoEvents,/identitypools/{IdentityPoolId}/events,POST,IdentityPoolId,,,,Sets the AWS Lambda function for a given event ...,cognito_events,set_cognito_events,exec,,,,,
SubscribeToDataset,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets/{DatasetName}/subscriptions/{DeviceId},POST,"DatasetName,DeviceId,IdentityId,IdentityPoolId",,,,Subscribes to receive notifications when a data...,dataset_subscriptions,subscribe_to_dataset,exec,,,,,
UnsubscribeFromDataset,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets/{DatasetName}/subscriptions/{DeviceId},DELETE,"DatasetName,DeviceId,IdentityId,IdentityPoolId",,,,Unsubscribes from receiving notifications when ...,dataset_subscriptions,unsubscribe_from_dataset,delete,,,,,
DeleteDataset,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets/{DatasetName},DELETE,"DatasetName,IdentityId,IdentityPoolId",,,,Deletes the specific dataset. The dataset will ...,datasets,delete_dataset,delete,,,,,
DescribeDataset,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets/{DatasetName},GET,"DatasetName,IdentityId,IdentityPoolId",,,,Gets meta data about a dataset by identity and ...,datasets,describe_dataset,select,,,,,
ListDatasets,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets,GET,"IdentityId,IdentityPoolId",,,,Lists datasets for an identity. With Amazon Cog...,datasets,list_datasets,select,,,,,
RegisterDevice,/identitypools/{IdentityPoolId}/identity/{IdentityId}/device,POST,"IdentityId,IdentityPoolId",,,"IdentityId,IdentityPoolId,Platform,Token",Registers a device to receive push sync notific...,devices,register_device,exec,,,,,
GetIdentityPoolConfiguration,/identitypools/{IdentityPoolId}/configuration,GET,IdentityPoolId,,,,Gets the configuration settings of an identity ...,identity_pool_configurations,get_identity_pool_configuration,select,,,,,
SetIdentityPoolConfiguration,/identitypools/{IdentityPoolId}/configuration,POST,IdentityPoolId,,,,Sets the necessary configuration for push sync....,identity_pool_configurations,set_identity_pool_configuration,exec,,,,,
DescribeIdentityPoolUsage,/identitypools/{IdentityPoolId},GET,IdentityPoolId,,,,"Gets usage details (for example, data storage) ...",identity_pool_usage,describe_identity_pool_usage,select,,,,,
ListIdentityPoolUsage,/identitypools,GET,,,,,Gets a list of identity pools registered with C...,identity_pool_usage,list_identity_pool_usage,select,,,,,
DescribeIdentityUsage,/identitypools/{IdentityPoolId}/identities/{IdentityId},GET,"IdentityId,IdentityPoolId",,,,"Gets usage information for an identity, includi...",identity_usage,describe_identity_usage,select,,,,,
ListRecords,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets/{DatasetName}/records,GET,"DatasetName,IdentityId,IdentityPoolId",,,,"Gets paginated records, optionally changed afte...",records,list_records,select,,,,,
UpdateRecords,/identitypools/{IdentityPoolId}/identities/{IdentityId}/datasets/{DatasetName},POST,"DatasetName,IdentityId,IdentityPoolId",,,"DatasetName,IdentityId,IdentityPoolId,SyncSessionToken",Posts updates to records and adds and deletes r...,records,update_records,update,,,,,
