operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CancelParticipantAuthentication,/participant/cancel-authentication,POST,Cancels the authentication session. The opted o...,,participant_authentications,cancel_participant_authentication,delete,,,,,
CompleteAttachmentUpload,/participant/complete-attachment-upload,POST,Allows you to confirm that the attachment has b...,complete_attachment_upload,attachment_uploads,complete_attachment_upload,exec,,,,,
CreateParticipantConnection,/participant/connection,POST,Creates the participant's connection. For secur...,,participant_connections,create_participant_connection,insert,,,,,
DescribeView,/participant/views/{ViewToken},GET,Retrieves the view for the specified view token...,,views,describe_view,select,,,,,
DisconnectParticipant,/participant/disconnect,POST,Disconnects a participant. For security recomme...,disconnect_participant,participants,disconnect_participant,exec,,,,,
GetAttachment,/participant/attachment,POST,Provides a pre-signed URL for download of a com...,,attachments,get_attachment,select,,,,,
GetAuthenticationUrl,/participant/authentication-url,POST,Retrieves the AuthenticationUrl for the current...,authentication_url,authentication_urls,get_authentication_url,select,,,,,
GetTranscript,/participant/transcript,POST,"Retrieves a transcript of the session, includin...",transcript,transcripts,get_transcript,select,,,,,
SendEvent,/participant/event,POST,The `application/vnd.amazonaws.connect.event.co...,,events,send_event,exec,,,,,
SendMessage,/participant/message,POST,"Sends a message. For security recommendations, ...",message,messages,send_message,exec,,,,,
StartAttachmentUpload,/participant/start-attachment-upload,POST,Provides a pre-signed Amazon S3 URL in response...,attachment_upload,attachment_uploads,start_attachment_upload,exec,,,,,
