operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetBaseline,/get-baseline,POST,,,,"baselineIdentifier,baselineVersion,targetIdentifier",Retrieve details about an existing `Baseline` r...,baselines,get_baseline,select,,,,,
GetBaselineOperation,/get-baseline-operation,POST,,,,,Returns the details of an asynchronous baseline...,baseline_operations,get_baseline_operation,select,,,,,
ListBaselines,/list-baselines,POST,,,,,Returns a summary list of all available baselin...,baselines,list_baselines,select,$.baselines,,,,
GetControlOperation,/get-control-operation,POST,,,,,Returns the status of a particular `EnableContr...,control_operation,get_control_operation,select,,,,,
ListControlOperations,/list-control-operations,POST,,,,,Provides a list of operations in progress or qu...,control_operations,list_control_operations,select,$.controlOperations,,,,
GetEnabledBaseline,/get-enabled-baseline,POST,,,,enabledBaselineIdentifier,Retrieve details of an `EnabledBaseline` resour...,enabled_baselines,get_enabled_baseline,select,,,,,
DisableBaseline,/disable-baseline,POST,,,,enabledBaselineIdentifier,Disable an `EnabledBaseline` resource on the sp...,enabled_baselines,disable_baseline,exec,,,,,
EnableBaseline,/enable-baseline,POST,,,,"baselineIdentifier,baselineVersion,targetIdentifier",Enable (apply) a `Baseline` to a Target. This A...,enabled_baselines,enable_baseline,exec,,,,,
ListEnabledBaselines,/list-enabled-baselines,POST,,,,,Returns a list of summaries describing `Enabled...,enabled_baselines,list_enabled_baselines,select,$.enabledBaselines,,,,
ResetEnabledBaseline,/reset-enabled-baseline,POST,,,,enabledBaselineIdentifier,Re-enables an `EnabledBaseline` resource. For e...,enabled_baselines,reset_enabled_baseline,exec,,,,,
UpdateEnabledBaseline,/update-enabled-baseline,POST,,,,"baselineVersion,enabledBaselineIdentifier",Updates an `EnabledBaseline` resource's applied...,enabled_baselines,update_enabled_baseline,update,,,,,
GetEnabledControl,/get-enabled-control,POST,,,,,Retrieves details about an enabled control. For...,enabled_control,get_enabled_control,select,,,,,
DisableControl,/disable-control,POST,,,,,This API call turns off a control. It starts an...,enabled_controls,disable_control,exec,,,,,
EnableControl,/enable-control,POST,,,,"controlIdentifier,targetIdentifier",This API call activates a control. It starts an...,enabled_controls,enable_control,exec,,,,,
ListEnabledControls,/list-enabled-controls,POST,,,,,Lists the controls enabled by Amazon Web Servic...,enabled_controls,list_enabled_controls,select,$.enabledControls,,,,
ResetEnabledControl,/reset-enabled-control,POST,,,,,Resets an enabled control. Does not work for co...,enabled_controls,reset_enabled_control,exec,,,,,
UpdateEnabledControl,/update-enabled-control,POST,,,,"enabledControlIdentifier,parameters",Updates the configuration of an already enabled...,enabled_controls,update_enabled_control,update,,,,,
GetLandingZone,/get-landingzone,POST,,,,landingZoneIdentifier,Returns details about the landing zone. Display...,landing_zones,get_landing_zone,select,,,,,
GetLandingZoneOperation,/get-landingzone-operation,POST,,,,,Returns the status of the specified landing zon...,landing_zone_operation,get_landing_zone_operation,select,,,,,
ListLandingZoneOperations,/list-landingzone-operations,POST,,,,,Lists all landing zone operations from the past...,landing_zone_operations,list_landing_zone_operations,select,$.landingZoneOperations,,,,
CreateLandingZone,/create-landingzone,POST,,,,version,Creates a new landing zone. This API call start...,landing_zones,create_landing_zone,insert,,,,,
DeleteLandingZone,/delete-landingzone,POST,,,,landingZoneIdentifier,Decommissions a landing zone. This API call sta...,landing_zones,delete_landing_zone,delete,,,,,
ListLandingZones,/list-landingzones,POST,,,,,Returns the landing zone ARN for the landing zo...,landing_zones,list_landing_zones,select,$.landingZones,,,,
ResetLandingZone,/reset-landingzone,POST,,,,landingZoneIdentifier,This API call resets a landing zone. It starts ...,landing_zones,reset_landing_zone,exec,,,,,
UpdateLandingZone,/update-landingzone,POST,,,,"landingZoneIdentifier,version",This API call updates the landing zone. It star...,landing_zones,update_landing_zone,update,,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Returns a list of tags associated with the reso...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,version,"Applies tags to a resource. For usage examples,...",tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Removes tags from a resource. For usage example...,tags,untag_resource,exec,,,,,
