operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ActivatePipeline,/#X-Amz-Target=DataPipeline.ActivatePipeline,POST,,,,pipelineId,Validates the specified pipeline and starts pro...,pipelines,activate_pipeline,exec,,,,,
AddTags,/#X-Amz-Target=DataPipeline.AddTags,POST,,,,"pipelineId,tags",Adds or modifies tags for the specified pipeline.,tags,add_tags,exec,,,,,
CreatePipeline,/#X-Amz-Target=DataPipeline.CreatePipeline,POST,,,,"name,uniqueId","Creates a new, empty pipeline. Use PutPipelineD...",pipelines,create_pipeline,insert,,,,,
DeactivatePipeline,/#X-Amz-Target=DataPipeline.DeactivatePipeline,POST,,,,pipelineId,Deactivates the specified running pipeline. The...,pipelines,deactivate_pipeline,exec,,,,,
DeletePipeline,/#X-Amz-Target=DataPipeline.DeletePipeline,POST,,,,pipelineId,"Deletes a pipeline, its pipeline definition, an...",pipelines,delete_pipeline,delete,,,,,
DescribeObjects,/#X-Amz-Target=DataPipeline.DescribeObjects,POST,,,,"objectIds,pipelineId",Gets the object definitions for a set of object...,objects,describe_objects,select,$.pipelineObjects,,,,
DescribePipelines,/#X-Amz-Target=DataPipeline.DescribePipelines,POST,,,,pipelineIds,Retrieves metadata about one or more pipelines....,pipelines,describe_pipelines,select,,,,,
EvaluateExpression,/#X-Amz-Target=DataPipeline.EvaluateExpression,POST,,,,"expression,objectId,pipelineId",Task runners call `EvaluateExpression` to evalu...,expressions,evaluate_expression,exec,,,,,
GetPipelineDefinition,/#X-Amz-Target=DataPipeline.GetPipelineDefinition,POST,,,,pipelineId,Gets the definition of the specified pipeline. ...,pipeline_definitions,get_pipeline_definition,select,,,,,
ListPipelines,/#X-Amz-Target=DataPipeline.ListPipelines,POST,,,,"objectIds,pipelineId",Lists the pipeline identifiers for all active p...,pipelines,list_pipelines,select,$.pipelineIdList,,,,
PollForTask,/#X-Amz-Target=DataPipeline.PollForTask,POST,,,,workerGroup,Task runners call `PollForTask` to receive a ta...,tasks,poll_for_task,exec,,,,,
PutPipelineDefinition,/#X-Amz-Target=DataPipeline.PutPipelineDefinition,POST,,,,"pipelineId,pipelineObjects","Adds tasks, schedules, and preconditions to the...",pipeline_definitions,put_pipeline_definition,replace,,,,,
QueryObjects,/#X-Amz-Target=DataPipeline.QueryObjects,POST,,,,"pipelineId,sphere",Queries the specified pipeline for the names of...,objects,query_objects,exec,$.ids,,,,
RemoveTags,/#X-Amz-Target=DataPipeline.RemoveTags,POST,,,,"pipelineId,tagKeys",Removes existing tags from the specified pipeline.,tags,remove_tags,exec,,,,,
ReportTaskProgress,/#X-Amz-Target=DataPipeline.ReportTaskProgress,POST,,,,taskId,Task runners call `ReportTaskProgress` when ass...,tasks,report_task_progress,exec,,,,,
ReportTaskRunnerHeartbeat,/#X-Amz-Target=DataPipeline.ReportTaskRunnerHeartbeat,POST,,,,taskrunnerId,Task runners call `ReportTaskRunnerHeartbeat` e...,task_runners,report_task_runner_heartbeat,exec,,,,,
SetStatus,/#X-Amz-Target=DataPipeline.SetStatus,POST,,,,"objectIds,pipelineId,status",Requests that the status of the specified physi...,objects,set_status,exec,,,,,
SetTaskStatus,/#X-Amz-Target=DataPipeline.SetTaskStatus,POST,,,,"taskId,taskStatus",Task runners call `SetTaskStatus` to notify AWS...,tasks,set_task_status,exec,,,,,
ValidatePipelineDefinition,/#X-Amz-Target=DataPipeline.ValidatePipelineDefinition,POST,,,,"pipelineId,pipelineObjects",Validates the specified pipeline definition to ...,pipeline_definitions,validate_pipeline_definition,exec,,,,,
