operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchGetGraphMemberDatasources,/graph/datasources/get,POST,,,,"AccountIds,GraphArn",Gets data source package information for the be...,datasource_packages,batch_get_graph_member_datasources,exec,,,,,
BatchGetMembershipDatasources,/membership/datasources/get,POST,,,,GraphArns,Gets information on the data source package his...,datasource_packages,batch_get_membership_datasources,exec,,,,,
ListDatasourcePackages,/graph/datasources/list,POST,,,,GraphArn,Lists data source packages in the behavior graph.,datasource_packages,list_datasource_packages,select,,,,,
UpdateDatasourcePackages,/graph/datasources/update,POST,,,,"DatasourcePackages,GraphArn",Starts a data source package for the Detective ...,datasource_packages,update_datasource_packages,update,,,,,
CreateGraph,/graph,POST,,,,,Creates a new behavior graph for the calling ac...,graphs,create_graph,insert,,,,,
DeleteGraph,/graph/removal,POST,,,,GraphArn,Disables the specified behavior graph and queue...,graphs,delete_graph,delete,,,,,
ListGraphs,/graphs/list,POST,,,,GraphArn,Returns the list of behavior graphs that the ca...,graphs,list_graphs,select,,,,,
ListIndicators,/investigations/listIndicators,POST,,,,"GraphArn,InvestigationId",Gets the indicators from an investigation. You ...,indicators,list_indicators,select,,,,,
GetInvestigation,/investigations/getInvestigation,POST,,,,"GraphArn,InvestigationId",Detective investigations lets you investigate I...,investigations,get_investigation,select,,,,,
ListInvestigations,/investigations/listInvestigations,POST,,,,GraphArn,Detective investigations lets you investigate I...,investigations,list_investigations,select,,,,,
StartInvestigation,/investigations/startInvestigation,POST,,,,,Detective investigations lets you investigate I...,investigations,start_investigation,exec,,,,,
UpdateInvestigationState,/investigations/updateInvestigationState,POST,,,,,Updates the state of an investigation.,investigations,update_investigation_state,update,,,,,
AcceptInvitation,/invitation,PUT,,,,GraphArn,Accepts an invitation for the member account to...,invitations,accept_invitation,exec,,,,,
ListInvitations,/invitations/list,POST,,,,GraphArn,Retrieves the list of open and accepted behavio...,invitations,list_invitations,select,,,,,
RejectInvitation,/invitation/removal,POST,,,,GraphArn,Rejects an invitation to contribute the account...,invitations,reject_invitation,exec,,,,,
GetMembers,/graph/members/get,POST,,,,"AccountIds,GraphArn",Returns the membership details for specified me...,members,get_members,select,,,,,
CreateMembers,/graph/members,POST,,,,"Accounts,GraphArn",`CreateMembers` is used to send invitations to ...,members,create_members,insert,,,,,
DeleteMembers,/graph/members/removal,POST,,,,"AccountIds,GraphArn",Removes the specified member accounts from the ...,members,delete_members,delete,,,,,
ListMembers,/graph/members/list,POST,,,,GraphArn,Retrieves the list of member accounts for a beh...,members,list_members,select,,,,,
StartMonitoringMember,/graph/member/monitoringstate,POST,,,,,Sends a request to enable data ingest for a mem...,members,start_monitoring_member,exec,,,,,
DisassociateMembership,/membership/removal,POST,,,,GraphArn,Removes the member account from the specified b...,members,disassociate_membership,exec,,,,,
DisableOrganizationAdminAccount,/orgs/disableAdminAccount,POST,,,,,Removes the Detective administrator account in ...,organization_admin_accounts,disable_organization_admin_account,exec,,,,,
EnableOrganizationAdminAccount,/orgs/enableAdminAccount,POST,,,,"AccountId,EmailAddress",Designates the Detective administrator account ...,organization_admin_accounts,enable_organization_admin_account,exec,,,,,
ListOrganizationAdminAccounts,/orgs/adminAccountslist,POST,,,,GraphArn,Returns information about the Detective adminis...,organization_admin_accounts,list_organization_admin_accounts,select,,,,,
DescribeOrganizationConfiguration,/orgs/describeOrganizationConfiguration,POST,,,,GraphArn,Returns information about the configuration for...,organization_configuration,describe_organization_configuration,select,,,,,
UpdateOrganizationConfiguration,/orgs/updateOrganizationConfiguration,POST,,,,GraphArn,Updates the configuration for the Organizations...,organization_configuration,update_organization_configuration,update,,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Returns the tag values that are assigned to a b...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,,Applies tag values to a behavior graph.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Removes tags from a behavior graph.,tags,untag_resource,exec,,,,,
