operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeAccountAttributes,/#Action=DescribeAccountAttributes,GET,,,"Action,Version",,Describes attributes of your Amazon Web Service...,account_attributes,describe_account_attributes,select,,,,,
AcceptAddressTransfer,/#Action=AcceptAddressTransfer,GET,,,"Action,Address,Version",,Accepts an Elastic IP address transfer. For mor...,address_transfers,accept_address_transfer,exec,,,,,
DescribeAddressTransfers,/#Action=DescribeAddressTransfers,GET,,,"Action,Version",,Describes an Elastic IP address transfer. For m...,address_transfers,describe_address_transfers,select,$.AddressTransfers,,,,
DisableAddressTransfer,/#Action=DisableAddressTransfer,GET,,,"Action,AllocationId,Version",,Disables Elastic IP address transfer. For more ...,address_transfers,disable_address_transfer,exec,,,,,
EnableAddressTransfer,/#Action=EnableAddressTransfer,GET,,,"Action,AllocationId,TransferAccountId,Version",,Enables Elastic IP address transfer. For more i...,address_transfers,enable_address_transfer,exec,,,,,
AllocateAddress,/#Action=AllocateAddress,GET,,,"Action,Version",,Allocates an Elastic IP address to your Amazon ...,addresses,allocate_address,exec,,,,,
AssociateAddress,/#Action=AssociateAddress,GET,,,"Action,Version",,"Associates an Elastic IP address, or carrier IP...",addresses,associate_address,exec,,,,,
DescribeAddresses,/#Action=DescribeAddresses,GET,,,"Action,Version",,Describes the specified Elastic IP addresses or...,addresses,describe_addresses,select,,,,,
DisassociateAddress,/#Action=DisassociateAddress,GET,,,"Action,Version",,Disassociates an Elastic IP address from the in...,addresses,disassociate_address,exec,,,,,
ModifyAddressAttribute,/#Action=ModifyAddressAttribute,GET,,,"Action,AllocationId,Version",,Modifies an attribute of the specified Elastic ...,addresses,modify_address_attribute,exec,,,,,
MoveAddressToVpc,/#Action=MoveAddressToVpc,GET,,,"Action,Version,publicIp",,This action is deprecated. Moves an Elastic IP ...,addresses,move_address_to_vpc,exec,,,,,
ReleaseAddress,/#Action=ReleaseAddress,GET,,,"Action,Version",,Releases the specified Elastic IP address. [Def...,addresses,release_address,exec,,,,,
ResetAddressAttribute,/#Action=ResetAddressAttribute,GET,,,"Action,AllocationId,Attribute,Version",,Resets the attribute of the specified IP addres...,addresses,reset_address_attribute,exec,,,,,
RestoreAddressToClassic,/#Action=RestoreAddressToClassic,GET,,,"Action,Version,publicIp",,This action is deprecated. Restores an Elastic ...,addresses,restore_address_to_classic,exec,,,,,
DescribeAddressesAttribute,/#Action=DescribeAddressesAttribute,GET,,,"Action,Version",,Describes the attributes of the specified Elast...,addresses_attributes,describe_addresses_attribute,select,$.Addresses,,,,
DescribeAggregateIdFormat,/#Action=DescribeAggregateIdFormat,GET,,,"Action,Version",,Describes the longer ID format settings for all...,aggregate_id_format,describe_aggregate_id_format,select,,,,,
DisableAllowedImagesSettings,/#Action=DisableAllowedImagesSettings,GET,,,"Action,Version",,Disables Allowed AMIs for your account in the s...,allowed_images_settings,disable_allowed_images_settings,exec,,,,,
EnableAllowedImagesSettings,/#Action=EnableAllowedImagesSettings,GET,,,"Action,AllowedImagesSettingsState,Version",,Enables Allowed AMIs for your account in the sp...,allowed_images_settings,enable_allowed_images_settings,exec,,,,,
GetAllowedImagesSettings,/#Action=GetAllowedImagesSettings,GET,,,"Action,Version",,Gets the current state of the Allowed AMIs sett...,allowed_images_settings,get_allowed_images_settings,select,,,,,
ReplaceImageCriteriaInAllowedImagesSettings,/#Action=ReplaceImageCriteriaInAllowedImagesSettings,GET,,,"Action,Version",,Sets or replaces the criteria for Allowed AMIs....,allowed_images_settings,replace_image_criteria_in_allowed_images_settings,replace,,,,,
DescribeAvailabilityZones,/#Action=DescribeAvailabilityZones,GET,,,"Action,Version",,"Describes the Availability Zones, Local Zones, ...",availability_zones,describe_availability_zones,select,,,,,
ModifyAvailabilityZoneGroup,/#Action=ModifyAvailabilityZoneGroup,GET,,,"Action,GroupName,OptInStatus,Version",,Changes the opt-in status of the specified zone...,availability_zones,modify_availability_zone_group,exec,,,,,
GetAwsNetworkPerformanceData,/#Action=GetAwsNetworkPerformanceData,GET,,,"Action,Version",,Gets network performance data.,aws_network_performance_data,get_aws_network_performance_data,select,$.DataResponses,,,,
DescribeAwsNetworkPerformanceMetricSubscriptions,/#Action=DescribeAwsNetworkPerformanceMetricSubscriptions,GET,,,"Action,Version",,Describes the current Infrastructure Performanc...,aws_network_performance_metric_subscriptions,describe_aws_network_performance_metric_subscriptions,select,$.Subscriptions,,,,
DisableAwsNetworkPerformanceMetricSubscription,/#Action=DisableAwsNetworkPerformanceMetricSubscription,GET,,,"Action,Version",,Disables Infrastructure Performance metric subs...,aws_network_performance_metric_subscriptions,disable_aws_network_performance_metric_subscription,exec,,,,,
EnableAwsNetworkPerformanceMetricSubscription,/#Action=EnableAwsNetworkPerformanceMetricSubscription,GET,,,"Action,Version",,Enables Infrastructure Performance subscriptions.,aws_network_performance_metric_subscriptions,enable_aws_network_performance_metric_subscription,exec,,,,,
CancelBundleTask,/#Action=CancelBundleTask,GET,,,"Action,BundleId,Version",,Cancels a bundling operation for an instance st...,bundle_tasks,cancel_bundle_task,exec,,,,,
DescribeBundleTasks,/#Action=DescribeBundleTasks,GET,,,"Action,Version",,Describes the specified bundle tasks or all of ...,bundle_tasks,describe_bundle_tasks,select,,,,,
AdvertiseByoipCidr,/#Action=AdvertiseByoipCidr,GET,,,"Action,Cidr,Version",,Advertises an IPv4 or IPv6 address range that i...,byoip_cidrs,advertise_byoip_cidr,exec,,,,,
DeprovisionByoipCidr,/#Action=DeprovisionByoipCidr,GET,,,"Action,Cidr,Version",,Releases the specified address range that you p...,byoip_cidrs,deprovision_byoip_cidr,exec,,,,,
DescribeByoipCidrs,/#Action=DescribeByoipCidrs,GET,,,"Action,MaxResults,Version",,Describes the IP address ranges that were provi...,byoip_cidrs,describe_byoip_cidrs,select,$.ByoipCidrs,,,,
MoveByoipCidrToIpam,/#Action=MoveByoipCidrToIpam,GET,,,"Action,Cidr,IpamPoolId,IpamPoolOwner,Version",,Move a BYOIPv4 CIDR to IPAM from a public IPv4 ...,byoip_cidrs,move_byoip_cidr_to_ipam,exec,,,,,
ProvisionByoipCidr,/#Action=ProvisionByoipCidr,GET,,,"Action,Cidr,Version",,Provisions an IPv4 or IPv6 address range for us...,byoip_cidrs,provision_byoip_cidr,exec,,,,,
WithdrawByoipCidr,/#Action=WithdrawByoipCidr,GET,,,"Action,Cidr,Version",,Stops advertising an address range that is prov...,byoip_cidrs,withdraw_byoip_cidr,exec,,,,,
