operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchCheckLayerAvailability,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.BatchCheckLayerAvailability,POST,,,,"layerDigests,repositoryName",Checks the availability of one or more image la...,layers,batch_check_layer_availability,exec,,,,,
BatchDeleteImage,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.BatchDeleteImage,POST,,,,"imageIds,repositoryName",Deletes a list of specified images within a rep...,images,batch_delete_image,exec,,,,,
BatchGetImage,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.BatchGetImage,POST,,,,"imageIds,repositoryName",Gets detailed information for an image. Images ...,images,batch_get_image,exec,,,,,
BatchGetRepositoryScanningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.BatchGetRepositoryScanningConfiguration,POST,,,,repositoryNames,Gets the scanning configuration for one or more...,repositories,batch_get_repository_scanning_configuration,exec,,,,,
CompleteLayerUpload,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.CompleteLayerUpload,POST,,,,"layerDigests,repositoryName,uploadId",Informs Amazon ECR that the image layer upload ...,layers,complete_layer_upload,exec,,,,,
CreatePullThroughCacheRule,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.CreatePullThroughCacheRule,POST,,,,"ecrRepositoryPrefix,upstreamRegistryUrl",Creates a pull through cache rule. A pull throu...,pull_through_cache_rules,create_pull_through_cache_rule,insert,,,,,
CreateRepository,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.CreateRepository,POST,,,,repositoryName,"Creates a repository. For more information, see...",repositories,create_repository,insert,,,,,
CreateRepositoryCreationTemplate,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.CreateRepositoryCreationTemplate,POST,,,,"appliedFor,prefix",Creates a repository creation template. This te...,repository_creation_templates,create_repository_creation_template,insert,,,,,
DeleteLifecyclePolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeleteLifecyclePolicy,POST,,,,repositoryName,Deletes the lifecycle policy associated with th...,lifecycle_policies,delete_lifecycle_policy,delete,,,,,
DeletePullThroughCacheRule,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeletePullThroughCacheRule,POST,,,,ecrRepositoryPrefix,Deletes a pull through cache rule.,pull_through_cache_rules,delete_pull_through_cache_rule,delete,,,,,
DeleteRegistryPolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeleteRegistryPolicy,POST,,,,,Deletes the registry permissions policy.,registry_policies,delete_registry_policy,delete,,,,,
DeleteRepository,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeleteRepository,POST,,,,repositoryName,Deletes a repository. If the repository isn't e...,repositories,delete_repository,delete,,,,,
DeleteRepositoryCreationTemplate,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeleteRepositoryCreationTemplate,POST,,,,prefix,Deletes a repository creation template.,repository_creation_templates,delete_repository_creation_template,delete,,,,,
DeleteRepositoryPolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeleteRepositoryPolicy,POST,,,,repositoryName,Deletes the repository policy associated with t...,repository_policies,delete_repository_policy,delete,,,,,
DeleteSigningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeleteSigningConfiguration,POST,,,,,Deletes the registry's signing configuration. I...,signing_configurations,delete_signing_configuration,delete,,,,,
DeregisterPullTimeUpdateExclusion,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DeregisterPullTimeUpdateExclusion,POST,,,,principalArn,Removes a principal from the pull time update e...,pull_time_update_exclusions,deregister_pull_time_update_exclusion,exec,,,,,
DescribeImageReplicationStatus,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeImageReplicationStatus,POST,,,,"imageId,repositoryName",Returns the replication status for a specified ...,image_replication_statuses,describe_image_replication_status,select,,,,,
DescribeImageScanFindings,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeImageScanFindings,POST,,,,"imageId,repositoryName",Returns the scan findings for the specified image.,image_scans,describe_image_scan_findings,select,,,,,
DescribeImageSigningStatus,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeImageSigningStatus,POST,,,,"imageId,repositoryName",Returns the signing status for a specified imag...,image_signing_statuses,describe_image_signing_status,select,,,,,
DescribeImages,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeImages,POST,,,,repositoryName,Returns metadata about the images in a reposito...,images,describe_images,select,$.imageDetails,,,,
DescribePullThroughCacheRules,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribePullThroughCacheRules,POST,,,,,Returns the pull through cache rules for a regi...,pull_through_cache_rules,describe_pull_through_cache_rules,select,$.pullThroughCacheRules,,,,
DescribeRegistry,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeRegistry,POST,,,,,Describes the settings for a registry. The repl...,registries,describe_registry,select,,,,,
DescribeRepositories,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeRepositories,POST,,,,,Describes image repositories in a registry.,repositories,describe_repositories,select,$.repositories,,,,
DescribeRepositoryCreationTemplates,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.DescribeRepositoryCreationTemplates,POST,,,,,Returns details about the repository creation t...,repository_creation_templates,describe_repository_creation_templates,select,$.repositoryCreationTemplates,,,,
GetAccountSetting,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetAccountSetting,POST,,,,name,Retrieves the account setting value for the spe...,account_settings,get_account_setting,select,,,,,
GetAuthorizationToken,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetAuthorizationToken,POST,,,,,Retrieves an authorization token. An authorizat...,authorization_tokens,get_authorization_token,select,,,,,
GetDownloadUrlForLayer,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetDownloadUrlForLayer,POST,,,,"layerDigest,repositoryName",Retrieves the pre-signed Amazon S3 download URL...,layers,get_download_url_for_layer,select,,,,,
GetLifecyclePolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetLifecyclePolicy,POST,,,,repositoryName,Retrieves the lifecycle policy for the specifie...,lifecycle_policies,get_lifecycle_policy,select,,,,,
GetLifecyclePolicyPreview,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetLifecyclePolicyPreview,POST,,,,repositoryName,Retrieves the results of the lifecycle policy p...,lifecycle_policy_previews,get_lifecycle_policy_preview,select,$.previewResults,,,,
GetRegistryPolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetRegistryPolicy,POST,,,,,Retrieves the permissions policy for a registry.,registry_policies,get_registry_policy,select,,,,,
GetRegistryScanningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetRegistryScanningConfiguration,POST,,,,,Retrieves the scanning configuration for a regi...,registry_scanning_configurations,get_registry_scanning_configuration,select,,,,,
GetRepositoryPolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetRepositoryPolicy,POST,,,,repositoryName,Retrieves the repository policy for the specifi...,repository_policies,get_repository_policy,select,,,,,
GetSigningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.GetSigningConfiguration,POST,,,,,"Retrieves the registry's signing configuration,...",signing_configurations,get_signing_configuration,select,,,,,
InitiateLayerUpload,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.InitiateLayerUpload,POST,,,,repositoryName,Notifies Amazon ECR that you intend to upload a...,layers,initiate_layer_upload,exec,,,,,
ListImageReferrers,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.ListImageReferrers,POST,,,,"repositoryName,subjectId",Lists the artifacts associated with a specified...,image_referrers,list_image_referrers,select,,,,,
ListImages,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.ListImages,POST,,,,repositoryName,Lists all the image IDs for the specified repos...,image_ids,list_images,select,$.imageIds,,,,
ListPullTimeUpdateExclusions,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.ListPullTimeUpdateExclusions,POST,,,,"imageId,repositoryName",Lists the IAM principals that are excluded from...,pull_time_update_exclusions,list_pull_time_update_exclusions,select,,,,,
ListTagsForResource,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.ListTagsForResource,POST,,,,resourceArn,List the tags for an Amazon ECR resource.,tags,list_tags_for_resource,select,,,,,
PutAccountSetting,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutAccountSetting,POST,,,,"name,value",Allows you to change the basic scan type versio...,account_settings,put_account_setting,replace,,,,,
PutImage,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutImage,POST,,,,"imageManifest,repositoryName",Creates or updates the image manifest and tags ...,images,put_image,replace,,,,,
PutImageScanningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutImageScanningConfiguration,POST,,,,"imageScanningConfiguration,repositoryName",The `PutImageScanningConfiguration` API is bein...,image_scans,put_image_scanning_configuration,exec,,,,,
PutImageTagMutability,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutImageTagMutability,POST,,,,"imageTagMutability,repositoryName",Updates the image tag mutability settings for t...,image_tag_mutability,put_image_tag_mutability,replace,,,,,
PutLifecyclePolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutLifecyclePolicy,POST,,,,"lifecyclePolicyText,repositoryName",Creates or updates the lifecycle policy for the...,lifecycle_policies,put_lifecycle_policy,replace,,,,,
PutRegistryPolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutRegistryPolicy,POST,,,,policyText,Creates or updates the permissions policy for y...,registry_policies,put_registry_policy,replace,,,,,
PutRegistryScanningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutRegistryScanningConfiguration,POST,,,,,Creates or updates the scanning configuration f...,registry_scanning_configurations,put_registry_scanning_configuration,replace,,,,,
PutReplicationConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutReplicationConfiguration,POST,,,,replicationConfiguration,Creates or updates the replication configuratio...,replication_configurations,put_replication_configuration,replace,,,,,
PutSigningConfiguration,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.PutSigningConfiguration,POST,,,,signingConfiguration,Creates or updates the registry's signing confi...,signing_configurations,put_signing_configuration,replace,,,,,
RegisterPullTimeUpdateExclusion,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.RegisterPullTimeUpdateExclusion,POST,,,,principalArn,Adds an IAM principal to the pull time update e...,pull_time_update_exclusions,register_pull_time_update_exclusion,exec,,,,,
SetRepositoryPolicy,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.SetRepositoryPolicy,POST,,,,"policyText,repositoryName",Applies a repository policy to the specified re...,repository_policies,set_repository_policy,exec,,,,,
StartImageScan,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.StartImageScan,POST,,,,"imageId,repositoryName",Starts a basic image vulnerability scan. A basi...,image_scans,start_image_scan,exec,,,,,
StartLifecyclePolicyPreview,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.StartLifecyclePolicyPreview,POST,,,,repositoryName,Starts a preview of a lifecycle policy for the ...,lifecycle_policy_previews,start_lifecycle_policy_preview,exec,,,,,
TagResource,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.TagResource,POST,,,,"resourceArn,tags",Adds specified tags to a resource with the spec...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.UntagResource,POST,,,,"resourceArn,tagKeys",Deletes specified tags from a resource.,tags,untag_resource,exec,,,,,
UpdateImageStorageClass,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.UpdateImageStorageClass,POST,,,,"imageId,repositoryName,targetStorageClass",Transitions an image between storage classes. Y...,images,update_image_storage_class,update,,,,,
UpdatePullThroughCacheRule,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.UpdatePullThroughCacheRule,POST,,,,ecrRepositoryPrefix,Updates an existing pull through cache rule.,pull_through_cache_rules,update_pull_through_cache_rule,update,,,,,
UpdateRepositoryCreationTemplate,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.UpdateRepositoryCreationTemplate,POST,,,,prefix,Updates an existing repository creation template.,repository_creation_templates,update_repository_creation_template,update,,,,,
UploadLayerPart,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.UploadLayerPart,POST,,,,"layerPartBlob,partFirstByte,partLastByte,repositoryName,uploadId",Uploads an image layer part to Amazon ECR. When...,layers,upload_layer_part,exec,,,,,
ValidatePullThroughCacheRule,/#X-Amz-Target=AmazonEC2ContainerRegistry_V20150921.ValidatePullThroughCacheRule,POST,,,,ecrRepositoryPrefix,Validates an existing pull through cache rule f...,pull_through_cache_rules,validate_pull_through_cache_rule,exec,,,,,
