operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddInstanceFleet,/#X-Amz-Target=ElasticMapReduce.AddInstanceFleet,POST,Adds an instance fleet to a running cluster. Th...,instance_fleets,add_instance_fleet,exec,,,,,
AddInstanceGroups,/#X-Amz-Target=ElasticMapReduce.AddInstanceGroups,POST,Adds one or more instance groups to a running c...,instance_groups,add_instance_groups,exec,,,,,
AddJobFlowSteps,/#X-Amz-Target=ElasticMapReduce.AddJobFlowSteps,POST,AddJobFlowSteps adds new steps to a running clu...,steps,add_job_flow_steps,exec,,,,,
AddTags,/#X-Amz-Target=ElasticMapReduce.AddTags,POST,"Adds tags to an Amazon EMR resource, such as a ...",tags,add_tags,exec,,,,,
CancelSteps,/#X-Amz-Target=ElasticMapReduce.CancelSteps,POST,Cancels a pending step or steps in a running cl...,steps,cancel_steps,exec,,,,,
CreatePersistentAppUI,/#X-Amz-Target=ElasticMapReduce.CreatePersistentAppUI,POST,Creates a persistent application user interface.,persistent_app_uis,create_persistent_app_ui,insert,,,,,
CreateSecurityConfiguration,/#X-Amz-Target=ElasticMapReduce.CreateSecurityConfiguration,POST,"Creates a security configuration, which is stor...",security_configurations,create_security_configuration,insert,,,,,
CreateStudio,/#X-Amz-Target=ElasticMapReduce.CreateStudio,POST,Creates a new Amazon EMR Studio.,studios,create_studio,insert,,,,,
CreateStudioSessionMapping,/#X-Amz-Target=ElasticMapReduce.CreateStudioSessionMapping,POST,Maps a user or group to the Amazon EMR Studio s...,studio_session_mappings,create_studio_session_mapping,insert,,,,,
DeleteSecurityConfiguration,/#X-Amz-Target=ElasticMapReduce.DeleteSecurityConfiguration,POST,Deletes a security configuration.,security_configurations,delete_security_configuration,delete,,,,,
DeleteStudio,/#X-Amz-Target=ElasticMapReduce.DeleteStudio,POST,Removes an Amazon EMR Studio from the Studio me...,studios,delete_studio,delete,,,,,
DeleteStudioSessionMapping,/#X-Amz-Target=ElasticMapReduce.DeleteStudioSessionMapping,POST,Removes a user or group from an Amazon EMR Studio.,studio_session_mappings,delete_studio_session_mapping,delete,,,,,
DescribeCluster,/#X-Amz-Target=ElasticMapReduce.DescribeCluster,POST,Provides cluster-level details including status...,clusters,describe_cluster,select,,,,,
DescribeJobFlows,/#X-Amz-Target=ElasticMapReduce.DescribeJobFlows,POST,This API is no longer supported and will eventu...,job_flows,describe_job_flows,select,,,,,
DescribeNotebookExecution,/#X-Amz-Target=ElasticMapReduce.DescribeNotebookExecution,POST,Provides details of a notebook execution.,notebook_executions,describe_notebook_execution,select,,,,,
DescribePersistentAppUI,/#X-Amz-Target=ElasticMapReduce.DescribePersistentAppUI,POST,Describes a persistent application user interface.,persistent_app_uis,describe_persistent_app_ui,select,,,,,
DescribeReleaseLabel,/#X-Amz-Target=ElasticMapReduce.DescribeReleaseLabel,POST,"Provides Amazon EMR release label details, such...",release_label,describe_release_label,select,,,,,
DescribeSecurityConfiguration,/#X-Amz-Target=ElasticMapReduce.DescribeSecurityConfiguration,POST,Provides the details of a security configuratio...,security_configuration,describe_security_configuration,select,,,,,
DescribeStep,/#X-Amz-Target=ElasticMapReduce.DescribeStep,POST,Provides more detail about the cluster step.,steps,describe_step,select,,,,,
DescribeStudio,/#X-Amz-Target=ElasticMapReduce.DescribeStudio,POST,Returns details for the specified Amazon EMR St...,studios,describe_studio,select,,,,,
GetAutoTerminationPolicy,/#X-Amz-Target=ElasticMapReduce.GetAutoTerminationPolicy,POST,Returns the auto-termination policy for an Amaz...,auto_termination_policies,get_auto_termination_policy,select,,,,,
GetBlockPublicAccessConfiguration,/#X-Amz-Target=ElasticMapReduce.GetBlockPublicAccessConfiguration,POST,Returns the Amazon EMR block public access conf...,block_public_access_configurations,get_block_public_access_configuration,select,,,,,
