operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetAdminAccount,/#X-Amz-Target=AWSFMS_20180101.GetAdminAccount,POST,,,,,Returns the Organizations account that is assoc...,admin_accounts,get_admin_account,select,,,,,
AssociateAdminAccount,/#X-Amz-Target=AWSFMS_20180101.AssociateAdminAccount,POST,,,,AdminAccount,Sets a Firewall Manager default administrator a...,admin_accounts,associate_admin_account,exec,,,,,
DisassociateAdminAccount,/#X-Amz-Target=AWSFMS_20180101.DisassociateAdminAccount,POST,,,,,Disassociates an Firewall Manager administrator...,admin_accounts,disassociate_admin_account,exec,,,,,
PutAdminAccount,/#X-Amz-Target=AWSFMS_20180101.PutAdminAccount,POST,,,,AdminAccount,Creates or updates an Firewall Manager administ...,admin_accounts,put_admin_account,replace,,,,,
ListAdminAccountsForOrganization,/#X-Amz-Target=AWSFMS_20180101.ListAdminAccountsForOrganization,POST,,,,PolicyId,Returns a `AdminAccounts` object that lists the...,admin_accounts,list_admin_accounts_for_organization,select,$.AdminAccounts,,,,
GetAdminScope,/#X-Amz-Target=AWSFMS_20180101.GetAdminScope,POST,,,,AdminAccount,Returns information about the specified account...,admin_scope,get_admin_scope,exec,,,,,
ListAdminsManagingAccount,/#X-Amz-Target=AWSFMS_20180101.ListAdminsManagingAccount,POST,,,,PolicyId,Lists the accounts that are managing the specif...,admins_managing_account,list_admins_managing_account,select,$.AdminAccounts,,,,
GetAppsList,/#X-Amz-Target=AWSFMS_20180101.GetAppsList,POST,,,,ListId,Returns information about the specified Firewal...,apps_lists,get_apps_list,select,,,,,
DeleteAppsList,/#X-Amz-Target=AWSFMS_20180101.DeleteAppsList,POST,,,,ListId,Permanently deletes an Firewall Manager applica...,apps_lists,delete_apps_list,delete,,,,,
ListAppsLists,/#X-Amz-Target=AWSFMS_20180101.ListAppsLists,POST,,,,MaxResults,Returns an array of `AppsListDataSummary` objects.,apps_lists,list_apps_lists,select,$.AppsLists,,,,
PutAppsList,/#X-Amz-Target=AWSFMS_20180101.PutAppsList,POST,,,,AppsList,Creates an Firewall Manager applications list.,apps_lists,put_apps_list,replace,,,,,
GetComplianceDetail,/#X-Amz-Target=AWSFMS_20180101.GetComplianceDetail,POST,,,,"MemberAccount,PolicyId",Returns detailed compliance information about t...,compliance,get_compliance_detail,select,,,,,
ListComplianceStatus,/#X-Amz-Target=AWSFMS_20180101.ListComplianceStatus,POST,,,,PolicyId,Returns an array of `PolicyComplianceStatus` ob...,compliance,list_compliance_status,select,$.PolicyComplianceStatusList,,,,
ListDiscoveredResources,/#X-Amz-Target=AWSFMS_20180101.ListDiscoveredResources,POST,,,,"MemberAccountIds,ResourceType",Returns an array of resources in the organizati...,discovered_resources,list_discovered_resources,select,,,,,
ListMemberAccounts,/#X-Amz-Target=AWSFMS_20180101.ListMemberAccounts,POST,,,,PolicyId,Returns a `MemberAccounts` object that lists th...,member_accounts,list_member_accounts,select,$.MemberAccounts,,,,
DeleteNotificationChannel,/#X-Amz-Target=AWSFMS_20180101.DeleteNotificationChannel,POST,,,,,Deletes an Firewall Manager association with th...,notification_channels,delete_notification_channel,delete,,,,,
GetNotificationChannel,/#X-Amz-Target=AWSFMS_20180101.GetNotificationChannel,POST,,,,,Information about the Amazon Simple Notificatio...,notification_channels,get_notification_channel,select,,,,,
PutNotificationChannel,/#X-Amz-Target=AWSFMS_20180101.PutNotificationChannel,POST,,,,"SnsRoleName,SnsTopicArn",Designates the IAM role and Amazon Simple Notif...,notification_channels,put_notification_channel,replace,,,,,
DeletePolicy,/#X-Amz-Target=AWSFMS_20180101.DeletePolicy,POST,,,,PolicyId,Permanently deletes an Firewall Manager policy.,policies,delete_policy,delete,,,,,
ListPolicies,/#X-Amz-Target=AWSFMS_20180101.ListPolicies,POST,,,,PolicyId,Returns an array of `PolicySummary` objects.,policies,list_policies,select,$.PolicyList,,,,
PutPolicy,/#X-Amz-Target=AWSFMS_20180101.PutPolicy,POST,,,,Policy,Creates an Firewall Manager policy. A Firewall ...,policies,put_policy,replace,,,,,
GetPolicy,/#X-Amz-Target=AWSFMS_20180101.GetPolicy,POST,,,,PolicyId,Returns information about the specified Firewal...,policies,get_policy,select,,,,,
GetProtectionStatus,/#X-Amz-Target=AWSFMS_20180101.GetProtectionStatus,POST,,,,PolicyId,"If you created a Shield Advanced policy, return...",protection_status,get_protection_status,select,,,,,
GetProtocolsList,/#X-Amz-Target=AWSFMS_20180101.GetProtocolsList,POST,,,,ListId,Returns information about the specified Firewal...,protocols_lists,get_protocols_list,select,,,,,
DeleteProtocolsList,/#X-Amz-Target=AWSFMS_20180101.DeleteProtocolsList,POST,,,,ListId,Permanently deletes an Firewall Manager protoco...,protocols_lists,delete_protocols_list,delete,,,,,
ListProtocolsLists,/#X-Amz-Target=AWSFMS_20180101.ListProtocolsLists,POST,,,,MaxResults,Returns an array of `ProtocolsListDataSummary` ...,protocols_lists,list_protocols_lists,select,$.ProtocolsLists,,,,
