operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeDatasetGroup,/#X-Amz-Target=AmazonForecast.DescribeDatasetGroup,POST,,,,DatasetGroupArn,Describes a dataset group created using the [Cr...,dataset_groups,describe_dataset_group,select,,,,,
CreateDatasetGroup,/#X-Amz-Target=AmazonForecast.CreateDatasetGroup,POST,,,,"DatasetGroupName,Domain","Creates a dataset group, which holds a collecti...",dataset_groups,create_dataset_group,insert,,,,,
DeleteDatasetGroup,/#X-Amz-Target=AmazonForecast.DeleteDatasetGroup,POST,,,,DatasetGroupArn,Deletes a dataset group created using the [Crea...,dataset_groups,delete_dataset_group,delete,,,,,
ListDatasetGroups,/#X-Amz-Target=AmazonForecast.ListDatasetGroups,POST,,,,,Returns a list of dataset groups created using ...,dataset_groups,list_dataset_groups,select,$.DatasetGroups,,,,
UpdateDatasetGroup,/#X-Amz-Target=AmazonForecast.UpdateDatasetGroup,POST,,,,"DatasetArns,DatasetGroupArn",Replaces the datasets in a dataset group with t...,dataset_groups,update_dataset_group,update,,,,,
DescribeDatasetImportJob,/#X-Amz-Target=AmazonForecast.DescribeDatasetImportJob,POST,,,,DatasetImportJobArn,Describes a dataset import job created using th...,dataset_import_jobs,describe_dataset_import_job,select,,,,,
CreateDatasetImportJob,/#X-Amz-Target=AmazonForecast.CreateDatasetImportJob,POST,,,,"DataSource,DatasetArn,DatasetImportJobName",Imports your training data to an Amazon Forecas...,dataset_import_jobs,create_dataset_import_job,insert,,,,,
DeleteDatasetImportJob,/#X-Amz-Target=AmazonForecast.DeleteDatasetImportJob,POST,,,,DatasetImportJobArn,Deletes a dataset import job created using the ...,dataset_import_jobs,delete_dataset_import_job,delete,,,,,
ListDatasetImportJobs,/#X-Amz-Target=AmazonForecast.ListDatasetImportJobs,POST,,,,,Returns a list of dataset import jobs created u...,dataset_import_jobs,list_dataset_import_jobs,select,$.DatasetImportJobs,,,,
DescribeDataset,/#X-Amz-Target=AmazonForecast.DescribeDataset,POST,,,,DatasetArn,Describes an Amazon Forecast dataset created us...,datasets,describe_dataset,select,,,,,
CreateDataset,/#X-Amz-Target=AmazonForecast.CreateDataset,POST,,,,"DatasetName,DatasetType,Domain,Schema",Creates an Amazon Forecast dataset. The informa...,datasets,create_dataset,insert,,,,,
DeleteDataset,/#X-Amz-Target=AmazonForecast.DeleteDataset,POST,,,,DatasetArn,Deletes an Amazon Forecast dataset that was cre...,datasets,delete_dataset,delete,,,,,
ListDatasets,/#X-Amz-Target=AmazonForecast.ListDatasets,POST,,,,,Returns a list of datasets created using the [C...,datasets,list_datasets,select,$.Datasets,,,,
CreateExplainability,/#X-Amz-Target=AmazonForecast.CreateExplainability,POST,,,,"ExplainabilityConfig,ExplainabilityName,ResourceArn",Explainability is only available for Forecasts ...,explainabilities,create_explainability,insert,,,,,
DeleteExplainability,/#X-Amz-Target=AmazonForecast.DeleteExplainability,POST,,,,ExplainabilityArn,Deletes an Explainability resource. You can del...,explainabilities,delete_explainability,delete,,,,,
ListExplainabilities,/#X-Amz-Target=AmazonForecast.ListExplainabilities,POST,,,,,Returns a list of Explainability resources crea...,explainabilities,list_explainabilities,select,$.Explainabilities,,,,
DescribeExplainability,/#X-Amz-Target=AmazonForecast.DescribeExplainability,POST,,,,ExplainabilityArn,Describes an Explainability resource created us...,explainabilities,describe_explainability,select,,,,,
DescribeExplainabilityExport,/#X-Amz-Target=AmazonForecast.DescribeExplainabilityExport,POST,,,,ExplainabilityExportArn,Describes an Explainability export created usin...,explainability_exports,describe_explainability_export,select,,,,,
CreateExplainabilityExport,/#X-Amz-Target=AmazonForecast.CreateExplainabilityExport,POST,,,,"Destination,ExplainabilityArn,ExplainabilityExportName",Exports an Explainability resource created by t...,explainability_exports,create_explainability_export,insert,,,,,
DeleteExplainabilityExport,/#X-Amz-Target=AmazonForecast.DeleteExplainabilityExport,POST,,,,ExplainabilityExportArn,Deletes an Explainability export.,explainability_exports,delete_explainability_export,delete,,,,,
ListExplainabilityExports,/#X-Amz-Target=AmazonForecast.ListExplainabilityExports,POST,,,,,Returns a list of Explainability exports create...,explainability_exports,list_explainability_exports,select,$.ExplainabilityExports,,,,
DescribeForecastExportJob,/#X-Amz-Target=AmazonForecast.DescribeForecastExportJob,POST,,,,ForecastExportJobArn,Describes a forecast export job created using t...,forecast_export_jobs,describe_forecast_export_job,select,,,,,
CreateForecastExportJob,/#X-Amz-Target=AmazonForecast.CreateForecastExportJob,POST,,,,"Destination,ForecastArn,ForecastExportJobName",Exports a forecast created by the CreateForecas...,forecast_export_jobs,create_forecast_export_job,insert,,,,,
DeleteForecastExportJob,/#X-Amz-Target=AmazonForecast.DeleteForecastExportJob,POST,,,,ForecastExportJobArn,Deletes a forecast export job created using the...,forecast_export_jobs,delete_forecast_export_job,delete,,,,,
ListForecastExportJobs,/#X-Amz-Target=AmazonForecast.ListForecastExportJobs,POST,,,,,Returns a list of forecast export jobs created ...,forecast_export_jobs,list_forecast_export_jobs,select,$.ForecastExportJobs,,,,
DescribeForecast,/#X-Amz-Target=AmazonForecast.DescribeForecast,POST,,,,ForecastArn,Describes a forecast created using the CreateFo...,forecasts,describe_forecast,select,,,,,
CreateForecast,/#X-Amz-Target=AmazonForecast.CreateForecast,POST,,,,"ForecastName,PredictorArn",Creates a forecast for each item in the `TARGET...,forecasts,create_forecast,insert,,,,,
DeleteForecast,/#X-Amz-Target=AmazonForecast.DeleteForecast,POST,,,,ForecastArn,Deletes a forecast created using the CreateFore...,forecasts,delete_forecast,delete,,,,,
ListForecasts,/#X-Amz-Target=AmazonForecast.ListForecasts,POST,,,,,Returns a list of forecasts created using the C...,forecasts,list_forecasts,select,$.Forecasts,,,,
DescribeMonitor,/#X-Amz-Target=AmazonForecast.DescribeMonitor,POST,,,,MonitorArn,Describes a monitor resource. In addition to li...,monitors,describe_monitor,select,,,,,
ListMonitors,/#X-Amz-Target=AmazonForecast.ListMonitors,POST,,,,,Returns a list of monitors created with the Cre...,monitors,list_monitors,select,$.Monitors,,,,
CreateMonitor,/#X-Amz-Target=AmazonForecast.CreateMonitor,POST,,,,"MonitorName,ResourceArn",Creates a predictor monitor resource for an exi...,monitors,create_monitor,insert,,,,,
DeleteMonitor,/#X-Amz-Target=AmazonForecast.DeleteMonitor,POST,,,,MonitorArn,Deletes a monitor resource. You can only delete...,monitors,delete_monitor,delete,,,,,
ListMonitorEvaluations,/#X-Amz-Target=AmazonForecast.ListMonitorEvaluations,POST,,,,MonitorArn,Returns a list of the monitoring evaluation res...,monitors,list_monitor_evaluations,select,$.PredictorMonitorEvaluations,,,,
DescribePredictorBacktestExportJob,/#X-Amz-Target=AmazonForecast.DescribePredictorBacktestExportJob,POST,,,,PredictorBacktestExportJobArn,Describes a predictor backtest export job creat...,predictor_backtest_export_jobs,describe_predictor_backtest_export_job,select,,,,,
CreatePredictorBacktestExportJob,/#X-Amz-Target=AmazonForecast.CreatePredictorBacktestExportJob,POST,,,,"Destination,PredictorArn,PredictorBacktestExportJobName",Exports backtest forecasts and accuracy metrics...,predictor_backtest_export_jobs,create_predictor_backtest_export_job,insert,,,,,
DeletePredictorBacktestExportJob,/#X-Amz-Target=AmazonForecast.DeletePredictorBacktestExportJob,POST,,,,PredictorBacktestExportJobArn,Deletes a predictor backtest export job.,predictor_backtest_export_jobs,delete_predictor_backtest_export_job,delete,,,,,
ListPredictorBacktestExportJobs,/#X-Amz-Target=AmazonForecast.ListPredictorBacktestExportJobs,POST,,,,,Returns a list of predictor backtest export job...,predictor_backtest_export_jobs,list_predictor_backtest_export_jobs,select,$.PredictorBacktestExportJobs,,,,
