operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AcceptMatch,/#X-Amz-Target=GameLift.AcceptMatch,POST,,,,"AcceptanceType,PlayerIds,TicketId",**This API works with the following fleet types...,matchmaking,accept_match,exec,,,,,
ClaimGameServer,/#X-Amz-Target=GameLift.ClaimGameServer,POST,,,,GameServerGroupName,**This API works with the following fleet types...,game_servers,claim_game_server,exec,,,,,
CreateAlias,/#X-Amz-Target=GameLift.CreateAlias,POST,,,,"Name,RoutingStrategy",**This API works with the following fleet types...,aliases,create_alias,insert,,,,,
CreateBuild,/#X-Amz-Target=GameLift.CreateBuild,POST,,,,,**This API works with the following fleet types...,builds,create_build,insert,,,,,
CreateContainerFleet,/#X-Amz-Target=GameLift.CreateContainerFleet,POST,,,,FleetRoleArn,**This API works with the following fleet types...,container_fleets,create_container_fleet,insert,,,,,
CreateContainerGroupDefinition,/#X-Amz-Target=GameLift.CreateContainerGroupDefinition,POST,,,,"Name,OperatingSystem,TotalMemoryLimitMebibytes,TotalVcpuLimit",**This API works with the following fleet types...,container_group_definitions,create_container_group_definition,insert,,,,,
CreateFleet,/#X-Amz-Target=GameLift.CreateFleet,POST,,,,Name,**This API works with the following fleet types...,fleets,create_fleet,insert,,,,,
CreateFleetLocations,/#X-Amz-Target=GameLift.CreateFleetLocations,POST,,,,"FleetId,Locations",**This API works with the following fleet types...,fleet_locations,create_fleet_locations,insert,,,,,
CreateGameServerGroup,/#X-Amz-Target=GameLift.CreateGameServerGroup,POST,,,,"GameServerGroupName,InstanceDefinitions,LaunchTemplate,MaxSize,MinSize,RoleArn",**This API works with the following fleet types...,game_server_groups,create_game_server_group,insert,,,,,
CreateGameSession,/#X-Amz-Target=GameLift.CreateGameSession,POST,,,,MaximumPlayerSessionCount,**This API works with the following fleet types...,game_sessions,create_game_session,insert,,,,,
CreateGameSessionQueue,/#X-Amz-Target=GameLift.CreateGameSessionQueue,POST,,,,Name,**This API works with the following fleet types...,game_session_queues,create_game_session_queue,insert,,,,,
CreateLocation,/#X-Amz-Target=GameLift.CreateLocation,POST,,,,LocationName,**This API works with the following fleet types...,locations,create_location,insert,,,,,
CreateMatchmakingConfiguration,/#X-Amz-Target=GameLift.CreateMatchmakingConfiguration,POST,,,,"AcceptanceRequired,Name,RequestTimeoutSeconds,RuleSetName",**This API works with the following fleet types...,matchmaking_configurations,create_matchmaking_configuration,insert,,,,,
CreateMatchmakingRuleSet,/#X-Amz-Target=GameLift.CreateMatchmakingRuleSet,POST,,,,"Name,RuleSetBody",**This API works with the following fleet types...,matchmaking_rule_sets,create_matchmaking_rule_set,insert,,,,,
CreatePlayerSession,/#X-Amz-Target=GameLift.CreatePlayerSession,POST,,,,"GameSessionId,PlayerId",**This API works with the following fleet types...,player_sessions,create_player_session,insert,,,,,
CreatePlayerSessions,/#X-Amz-Target=GameLift.CreatePlayerSessions,POST,,,,"GameSessionId,PlayerIds",**This API works with the following fleet types...,player_sessions,create_player_sessions,insert,,,,,
