operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddStreamGroupLocations,/streamgroups/{Identifier}/locations,POST,Add locations that can host stream sessions. To...,,add_stream_group_locations,exec,,,,,
AssociateApplications,/streamgroups/{Identifier}/associations,POST,"When you associate, or link, an application wit...",,associate_applications,exec,,,,,
CreateApplication,/applications,POST,Creates an application resource in Amazon GameL...,,create_application,insert,,,,,
CreateStreamGroup,/streamgroups,POST,Stream groups manage how Amazon GameLift Stream...,,create_stream_group,insert,,,,,
CreateStreamSessionConnection,/streamgroups/{Identifier}/streamsessions/{StreamSessionIdentifier}/connections,POST,Enables clients to reconnect to a stream sessio...,,create_stream_session_connection,insert,,,,,
DeleteApplication,/applications/{Identifier},DELETE,Permanently deletes an Amazon GameLift Streams ...,,delete_application,delete,,,,,
DeleteStreamGroup,/streamgroups/{Identifier},DELETE,Permanently deletes all compute resources and i...,,delete_stream_group,delete,,,,,
DisassociateApplications,/streamgroups/{Identifier}/disassociations,POST,"When you disassociate, or unlink, an applicatio...",,disassociate_applications,exec,,,,,
ExportStreamSessionFiles,/streamgroups/{Identifier}/streamsessions/{StreamSessionIdentifier}/exportfiles,PUT,Export the files that your application modifies...,,export_stream_session_files,exec,,,,,
GetApplication,/applications/{Identifier},GET,Retrieves properties for an Amazon GameLift Str...,,get_application,select,,,,,
GetStreamGroup,/streamgroups/{Identifier},GET,Retrieves properties for a Amazon GameLift Stre...,,get_stream_group,select,,,,,
GetStreamSession,/streamgroups/{Identifier}/streamsessions/{StreamSessionIdentifier},GET,Retrieves properties for a Amazon GameLift Stre...,,get_stream_session,select,,,,,
ListApplications,/applications,GET,Retrieves a list of all Amazon GameLift Streams...,,list_applications,select,$.Items,,,,
ListStreamGroups,/streamgroups,GET,Retrieves a list of all Amazon GameLift Streams...,,list_stream_groups,select,$.Items,,,,
ListStreamSessions,/streamgroups/{Identifier}/streamsessions,GET,Retrieves a list of Amazon GameLift Streams str...,,list_stream_sessions,select,$.Items,,,,
ListStreamSessionsByAccount,/streamsessions,GET,Retrieves a list of Amazon GameLift Streams str...,,list_stream_sessions_by_account,select,$.Items,,,,
ListTagsForResource,/tags/{ResourceArn},GET,Retrieves all tags assigned to a Amazon GameLif...,,list_tags_for_resource,select,,,,,
RemoveStreamGroupLocations,/streamgroups/{Identifier}/locations,DELETE,Removes a set of remote locations from this str...,,remove_stream_group_locations,delete,,,,,
StartStreamSession,/streamgroups/{Identifier}/streamsessions,POST,This action initiates a new stream session and ...,,start_stream_session,exec,,,,,
TagResource,/tags/{ResourceArn},POST,Assigns one or more tags to a Amazon GameLift S...,,tag_resource,exec,,,,,
TerminateStreamSession,/streamgroups/{Identifier}/streamsessions/{StreamSessionIdentifier},DELETE,Permanently terminates an active stream session...,,terminate_stream_session,delete,,,,,
UntagResource,/tags/{ResourceArn},DELETE,Removes one or more tags from a Amazon GameLift...,,untag_resource,delete,,,,,
UpdateApplication,/applications/{Identifier},PATCH,Updates the mutable configuration settings for ...,,update_application,update,,,,,
UpdateStreamGroup,/streamgroups/{Identifier},PATCH,Updates the configuration settings for an Amazo...,,update_stream_group,update,,,,,
