operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteArchive,/{accountId}/vaults/{vaultName}/archives/{archiveId},DELETE,"accountId,archiveId,vaultName",,,,This operation deletes an archive from a vault....,archives,delete_archive,delete,,,,,
UploadArchive,/{accountId}/vaults/{vaultName}/archives,POST,"accountId,vaultName",,,,This operation adds an archive to a vault. This...,archives,upload_archive,exec,,,,,
GetDataRetrievalPolicy,/{accountId}/policies/data-retrieval,GET,accountId,,,,This operation returns the current data retriev...,data_retrieval_policies,get_data_retrieval_policy,select,,,,,
SetDataRetrievalPolicy,/{accountId}/policies/data-retrieval,PUT,accountId,,,,This operation sets and then enacts a data retr...,data_retrieval_policies,set_data_retrieval_policy,exec,,,,,
DescribeJob,/{accountId}/vaults/{vaultName}/jobs/{jobId},GET,"accountId,jobId,vaultName",,,,This operation returns information about a job ...,jobs,describe_job,select,,,,,
GetJobOutput,/{accountId}/vaults/{vaultName}/jobs/{jobId}/output,GET,"accountId,jobId,vaultName",,,,This operation downloads the output of the job ...,job_output,get_job_output,select,,,,,
InitiateJob,/{accountId}/vaults/{vaultName}/jobs,POST,"accountId,vaultName",,,"accountId,vaultName",This operation initiates a job of the specified...,jobs,initiate_job,exec,,,,,
ListJobs,/{accountId}/vaults/{vaultName}/jobs,GET,"accountId,vaultName",,,,"This operation lists jobs for a vault, includin...",jobs,list_jobs,select,$.JobList,,,,
AbortMultipartUpload,/{accountId}/vaults/{vaultName}/multipart-uploads/{uploadId},DELETE,"accountId,uploadId,vaultName",,,,This operation aborts a multipart upload identi...,multipart_uploads,abort_multipart_upload,delete,,,,,
CompleteMultipartUpload,/{accountId}/vaults/{vaultName}/multipart-uploads/{uploadId},POST,"accountId,uploadId,vaultName",,,,You call this operation to inform Amazon S3 Gla...,multipart_uploads,complete_multipart_upload,exec,,,,,
InitiateMultipartUpload,/{accountId}/vaults/{vaultName}/multipart-uploads,POST,"accountId,vaultName",,,,This operation initiates a multipart upload. Am...,multipart_uploads,initiate_multipart_upload,exec,,,,,
ListMultipartUploads,/{accountId}/vaults/{vaultName}/multipart-uploads,GET,"accountId,vaultName",,,,This operation lists in-progress multipart uplo...,multipart_uploads,list_multipart_uploads,select,$.UploadsList,,,,
ListParts,/{accountId}/vaults/{vaultName}/multipart-uploads/{uploadId},GET,"accountId,uploadId,vaultName",,,,This operation lists the parts of an archive th...,multipart_uploads,list_parts,select,$.Parts,,,,
UploadMultipartPart,/{accountId}/vaults/{vaultName}/multipart-uploads/{uploadId},PUT,"accountId,uploadId,vaultName",,,,This operation uploads a part of an archive. Yo...,multipart_uploads,upload_multipart_part,exec,,,,,
ListProvisionedCapacity,/{accountId}/provisioned-capacity,GET,accountId,,,,This operation lists the provisioned capacity u...,provisioned_capacity,list_provisioned_capacity,select,,,,,
PurchaseProvisionedCapacity,/{accountId}/provisioned-capacity,POST,accountId,,,,This operation purchases a provisioned capacity...,provisioned_capacity,purchase_provisioned_capacity,exec,,,,,
DeleteVaultAccessPolicy,/{accountId}/vaults/{vaultName}/access-policy,DELETE,"accountId,vaultName",,,,This operation deletes the access policy associ...,vault_access_policies,delete_vault_access_policy,delete,,,,,
GetVaultAccessPolicy,/{accountId}/vaults/{vaultName}/access-policy,GET,"accountId,vaultName",,,,This operation retrieves the `access-policy` su...,vault_access_policies,get_vault_access_policy,select,,,,,
SetVaultAccessPolicy,/{accountId}/vaults/{vaultName}/access-policy,PUT,"accountId,vaultName",,,,This operation configures an access policy for ...,vault_access_policies,set_vault_access_policy,exec,,,,,
AbortVaultLock,/{accountId}/vaults/{vaultName}/lock-policy,DELETE,"accountId,vaultName",,,,This operation aborts the vault locking process...,vault_locks,abort_vault_lock,delete,,,,,
CompleteVaultLock,/{accountId}/vaults/{vaultName}/lock-policy/{lockId},POST,"accountId,lockId,vaultName",,,,This operation completes the vault locking proc...,vault_locks,complete_vault_lock,exec,,,,,
GetVaultLock,/{accountId}/vaults/{vaultName}/lock-policy,GET,"accountId,vaultName",,,,This operation retrieves the following attribut...,vault_locks,get_vault_lock,select,,,,,
InitiateVaultLock,/{accountId}/vaults/{vaultName}/lock-policy,POST,"accountId,vaultName",,,,This operation initiates the vault locking proc...,vault_locks,initiate_vault_lock,exec,,,,,
DeleteVaultNotifications,/{accountId}/vaults/{vaultName}/notification-configuration,DELETE,"accountId,vaultName",,,,This operation deletes the notification configu...,vault_notifications,delete_vault_notifications,delete,,,,,
GetVaultNotifications,/{accountId}/vaults/{vaultName}/notification-configuration,GET,"accountId,vaultName",,,,This operation retrieves the `notification-conf...,vault_notifications,get_vault_notifications,select,,,,,
SetVaultNotifications,/{accountId}/vaults/{vaultName}/notification-configuration,PUT,"accountId,vaultName",,,,This operation configures notifications that wi...,vault_notifications,set_vault_notifications,exec,,,,,
AddTagsToVault,/{accountId}/vaults/{vaultName}/tags?operation=add,POST,"accountId,vaultName",,,"accountId,vaultName",This operation adds the specified tags to a vau...,vault_tags,add_tags_to_vault,exec,,,,,
ListTagsForVault,/{accountId}/vaults/{vaultName}/tags,GET,"accountId,vaultName",,,,This operation lists all the tags attached to a...,vault_tags,list_tags_for_vault,select,,,,,
RemoveTagsFromVault,/{accountId}/vaults/{vaultName}/tags?operation=remove,POST,"accountId,vaultName",,,"accountId,vaultName",This operation removes one or more tags from th...,vault_tags,remove_tags_from_vault,exec,,,,,
CreateVault,/{accountId}/vaults/{vaultName},PUT,"accountId,vaultName",,,,This operation creates a new vault with the spe...,vaults,create_vault,insert,,,,,
DeleteVault,/{accountId}/vaults/{vaultName},DELETE,"accountId,vaultName",,,,This operation deletes a vault. Amazon S3 Glaci...,vaults,delete_vault,delete,,,,,
DescribeVault,/{accountId}/vaults/{vaultName},GET,"accountId,vaultName",,,,This operation returns information about a vaul...,vaults,describe_vault,select,,,,,
ListVaults,/{accountId}/vaults,GET,accountId,,,,This operation lists all vaults owned by the ca...,vaults,list_vaults,select,$.VaultList,,,,
