operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateRoleToGroup,/greengrass/groups/{GroupId}/role,PUT,GroupId,,,"GroupId,RoleArn",Associates a role with a group. Your Greengrass...,group_roles,associate_role_to_group,exec,,,,,
AssociateServiceRoleToAccount,/greengrass/servicerole,PUT,,,,"GroupId,RoleArn",Associates a role with your account. AWS IoT Gr...,service_roles,associate_service_role_to_account,exec,,,,,
CreateConnectorDefinition,/greengrass/definition/connectors,POST,,,,,Creates a connector definition. You may provide...,connector_definitions,create_connector_definition,insert,,,,,
CreateConnectorDefinitionVersion,/greengrass/definition/connectors/{ConnectorDefinitionId}/versions,POST,ConnectorDefinitionId,,,,Creates a version of a connector definition whi...,connector_definition_versions,create_connector_definition_version,insert,,,,,
CreateCoreDefinition,/greengrass/definition/cores,POST,,,,,Creates a core definition. You may provide the ...,core_definitions,create_core_definition,insert,,,,,
CreateCoreDefinitionVersion,/greengrass/definition/cores/{CoreDefinitionId}/versions,POST,CoreDefinitionId,,,,Creates a version of a core definition that has...,core_definition_versions,create_core_definition_version,insert,,,,,
CreateDeployment,/greengrass/groups/{GroupId}/deployments,POST,GroupId,,,"DeploymentType,GroupId",Creates a deployment. ''CreateDeployment'' requ...,deployments,create_deployment,insert,,,,,
CreateDeviceDefinition,/greengrass/definition/devices,POST,,,,,Creates a device definition. You may provide th...,device_definitions,create_device_definition,insert,,,,,
CreateDeviceDefinitionVersion,/greengrass/definition/devices/{DeviceDefinitionId}/versions,POST,DeviceDefinitionId,,,DeviceDefinitionId,Creates a version of a device definition that h...,device_definition_versions,create_device_definition_version,insert,,,,,
CreateFunctionDefinition,/greengrass/definition/functions,POST,,,,,Creates a Lambda function definition which cont...,function_definitions,create_function_definition,insert,,,,,
CreateFunctionDefinitionVersion,/greengrass/definition/functions/{FunctionDefinitionId}/versions,POST,FunctionDefinitionId,,,FunctionDefinitionId,Creates a version of a Lambda function definiti...,function_definition_versions,create_function_definition_version,insert,,,,,
CreateGroup,/greengrass/groups,POST,,,,,Creates a group. You may provide the initial ve...,groups,create_group,insert,,,,,
CreateGroupCertificateAuthority,/greengrass/groups/{GroupId}/certificateauthorities,POST,GroupId,,,,Creates a CA for the group. If a CA already exi...,group_certificate_authorities,create_group_certificate_authority,insert,,,,,
CreateGroupVersion,/greengrass/groups/{GroupId}/versions,POST,GroupId,,,GroupId,Creates a version of a group which has already ...,group_versions,create_group_version,insert,,,,,
CreateLoggerDefinition,/greengrass/definition/loggers,POST,,,,,Creates a logger definition. You may provide th...,logger_definitions,create_logger_definition,insert,,,,,
CreateLoggerDefinitionVersion,/greengrass/definition/loggers/{LoggerDefinitionId}/versions,POST,LoggerDefinitionId,,,LoggerDefinitionId,Creates a version of a logger definition that h...,logger_definition_versions,create_logger_definition_version,insert,,,,,
CreateResourceDefinition,/greengrass/definition/resources,POST,,,,,Creates a resource definition which contains a ...,resource_definitions,create_resource_definition,insert,,,,,
CreateResourceDefinitionVersion,/greengrass/definition/resources/{ResourceDefinitionId}/versions,POST,ResourceDefinitionId,,,ResourceDefinitionId,Creates a version of a resource definition that...,resource_definition_versions,create_resource_definition_version,insert,,,,,
CreateSoftwareUpdateJob,/greengrass/updates,POST,,,,"S3UrlSignerRole,SoftwareToUpdate,UpdateTargets,UpdateTargetsArchitecture,UpdateTargetsOperatingSystem",Creates a software update for a core or group o...,software_update_jobs,create_software_update_job,insert,,,,,
