operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateAccessKey,/#Action=CreateAccessKey,GET,,,"Action,Version",,Creates a new Amazon Web Services secret access...,access_keys,create_access_key,insert,,,,,
DeleteAccessKey,/#Action=DeleteAccessKey,GET,,,"AccessKeyId,Action,Version",,Deletes the access key pair associated with the...,access_keys,delete_access_key,delete,,,,,
UpdateAccessKey,/#Action=UpdateAccessKey,GET,,,"AccessKeyId,Action,Status,Version",,Changes the status of the specified access key ...,access_keys,update_access_key,update,,,,,
ListAccessKeys,/#Action=ListAccessKeys,GET,,,"Action,Version",,Returns information about the access key IDs as...,access_keys,list_access_keys,select,$.AccessKeyMetadata,,,,
GetAccessKeyLastUsed,/#Action=GetAccessKeyLastUsed,GET,,,"AccessKeyId,Action,Version",,Retrieves information about when the specified ...,access_keys_last_used,get_access_key_last_used,select,,,,,
CreateAccountAlias,/#Action=CreateAccountAlias,GET,,,"AccountAlias,Action,Version",,Creates an alias for your Amazon Web Services a...,account_aliases,create_account_alias,insert,,,,,
DeleteAccountAlias,/#Action=DeleteAccountAlias,GET,,,"AccountAlias,Action,Version",,Deletes the specified Amazon Web Services accou...,account_aliases,delete_account_alias,delete,,,,,
ListAccountAliases,/#Action=ListAccountAliases,GET,,,"Action,Version",,Lists the account alias associated with the Ama...,account_aliases,list_account_aliases,select,$.AccountAliases,,,,
GetAccountAuthorizationDetails,/#Action=GetAccountAuthorizationDetails,GET,,,"Action,Version",,"Retrieves information about all IAM users, grou...",account_authorization_details,get_account_authorization_details,select,,,,,
DeleteAccountPasswordPolicy,/#Action=DeleteAccountPasswordPolicy,GET,,,"Action,Version",,Deletes the password policy for the Amazon Web ...,account_password_policies,delete_account_password_policy,delete,,,,,
GetAccountPasswordPolicy,/#Action=GetAccountPasswordPolicy,GET,,,"Action,Version",,Retrieves the password policy for the Amazon We...,account_password_policies,get_account_password_policy,select,,,,,
UpdateAccountPasswordPolicy,/#Action=UpdateAccountPasswordPolicy,GET,,,"Action,Version",,Updates the password policy settings for the Am...,account_password_policies,update_account_password_policy,update,,,,,
GetAccountSummary,/#Action=GetAccountSummary,GET,,,"Action,Version",,Retrieves information about IAM entity usage an...,account_summaries,get_account_summary,select,,,,,
ListAttachedGroupPolicies,/#Action=ListAttachedGroupPolicies,GET,,,"Action,GroupName,Version",,Lists all managed policies that are attached to...,attached_group_policies,list_attached_group_policies,select,$.AttachedPolicies,,,,
ListAttachedRolePolicies,/#Action=ListAttachedRolePolicies,GET,,,"Action,RoleName,Version",,Lists all managed policies that are attached to...,attached_role_policies,list_attached_role_policies,select,$.AttachedPolicies,,,,
ListAttachedUserPolicies,/#Action=ListAttachedUserPolicies,GET,,,"Action,UserName,Version",,Lists all managed policies that are attached to...,attached_user_policies,list_attached_user_policies,select,$.AttachedPolicies,,,,
GetContextKeysForCustomPolicy,/#Action=GetContextKeysForCustomPolicy,GET,,,"Action,PolicyInputList,Version",,Gets a list of all of the context keys referenc...,context_keys_for_custom_policies,get_context_keys_for_custom_policy,select,,,,,
GetContextKeysForPrincipalPolicy,/#Action=GetContextKeysForPrincipalPolicy,GET,,,"Action,PolicySourceArn,Version",,Gets a list of all of the context keys referenc...,context_keys_for_principal_policies,get_context_keys_for_principal_policy,select,,,,,
GetCredentialReport,/#Action=GetCredentialReport,GET,,,"Action,Version",,Retrieves a credential report for the Amazon We...,credential_reports,get_credential_report,select,,,,,
GenerateCredentialReport,/#Action=GenerateCredentialReport,GET,,,"Action,Version",,Generates a credential report for the Amazon We...,credential_reports,generate_credential_report,exec,,,,,
GetDelegationRequest,/#Action=GetDelegationRequest,GET,,,"Action,DelegationRequestId,Version",,Retrieves information about a specific delegati...,delegation_requests,get_delegation_request,select,,,,,
AcceptDelegationRequest,/#Action=AcceptDelegationRequest,GET,,,"Action,DelegationRequestId,Version",,"Accepts a delegation request, granting the requ...",delegation_requests,accept_delegation_request,exec,,,,,
AssociateDelegationRequest,/#Action=AssociateDelegationRequest,GET,,,"Action,DelegationRequestId,Version",,Associates a delegation request with the curren...,delegation_requests,associate_delegation_request,exec,,,,,
CreateDelegationRequest,/#Action=CreateDelegationRequest,GET,,,"Action,Description,NotificationChannel,Permissions,RequestorWorkflowId,SessionDuration,Version",,Creates an IAM delegation request for temporary...,delegation_requests,create_delegation_request,insert,,,,,
ListDelegationRequests,/#Action=ListDelegationRequests,GET,,,"Action,Version",,Lists delegation requests based on the specifie...,delegation_requests,list_delegation_requests,select,,,,,
UpdateDelegationRequest,/#Action=UpdateDelegationRequest,GET,,,"Action,DelegationRequestId,Version",,Updates an existing delegation request with add...,delegation_requests,update_delegation_request,update,,,,,
RejectDelegationRequest,/#Action=RejectDelegationRequest,GET,,,"Action,DelegationRequestId,Version",,"Rejects a delegation request, denying the reque...",delegation_requests,reject_delegation_request,exec,,,,,
SendDelegationToken,/#Action=SendDelegationToken,GET,,,"Action,DelegationRequestId,Version",,Sends the exchange token for an accepted delega...,delegation_requests,send_delegation_token,exec,,,,,
ListEntitiesForPolicy,/#Action=ListEntitiesForPolicy,GET,,,"Action,PolicyArn,Version",,"Lists all IAM users, groups, and roles that the...",entities_for_policies,list_entities_for_policy,select,,,,,
GetGroup,/#Action=GetGroup,GET,,,"Action,GroupName,Version",,Returns a list of IAM users that are in the spe...,groups,get_group,select,$.Users,,,,
AttachGroupPolicy,/#Action=AttachGroupPolicy,GET,,,"Action,GroupName,PolicyArn,Version",,Attaches the specified managed policy to the sp...,group_policies,attach_group_policy,exec,,,,,
DeleteGroupPolicy,/#Action=DeleteGroupPolicy,GET,,,"Action,GroupName,PolicyName,Version",,Deletes the specified inline policy that is emb...,group_policies,delete_group_policy,delete,,,,,
DetachGroupPolicy,/#Action=DetachGroupPolicy,GET,,,"Action,GroupName,PolicyArn,Version",,Removes the specified managed policy from the s...,group_policies,detach_group_policy,exec,,,,,
ListGroupPolicies,/#Action=ListGroupPolicies,GET,,,"Action,GroupName,Version",,Lists the names of the inline policies that are...,group_policies,list_group_policies,select,$.PolicyNames,,,,
PutGroupPolicy,/#Action=PutGroupPolicy,GET,,,"Action,GroupName,PolicyDocument,PolicyName,Version",,Adds or updates an inline policy document that ...,group_policies,put_group_policy,replace,,,,,
GetGroupPolicy,/#Action=GetGroupPolicy,GET,,,"Action,GroupName,PolicyName,Version",,Retrieves the specified inline policy document ...,group_policies,get_group_policy,select,,,,,
CreateGroup,/#Action=CreateGroup,GET,,,"Action,GroupName,Version",,Creates a new group. For information about the ...,groups,create_group,insert,,,,,
DeleteGroup,/#Action=DeleteGroup,GET,,,"Action,GroupName,Version",,Deletes the specified IAM group. The group must...,groups,delete_group,delete,,,,,
ListGroups,/#Action=ListGroups,GET,,,"Action,Version",,Lists the IAM groups that have the specified pa...,groups,list_groups,select,$.Groups,,,,
UpdateGroup,/#Action=UpdateGroup,GET,,,"Action,GroupName,Version",,Updates the name and/or the path of the specifi...,groups,update_group,update,,,,,
ListGroupsForUser,/#Action=ListGroupsForUser,GET,,,"Action,UserName,Version",,Lists the IAM groups that the specified IAM use...,groups_for_users,list_groups_for_user,select,$.Groups,,,,
GetHumanReadableSummary,/#Action=GetHumanReadableSummary,GET,,,"Action,EntityArn,Version",,Retrieves a human readable summary for a given ...,human_readable_summaries,get_human_readable_summary,select,,,,,
GetInstanceProfile,/#Action=GetInstanceProfile,GET,,,"Action,InstanceProfileName,Version",,Retrieves information about the specified insta...,instance_profiles,get_instance_profile,select,,,,,
ListInstanceProfileTags,/#Action=ListInstanceProfileTags,GET,,,"Action,InstanceProfileName,Version",,Lists the tags that are attached to the specifi...,instance_profile_tags,list_instance_profile_tags,select,$.Tags,,,,
TagInstanceProfile,/#Action=TagInstanceProfile,GET,,,"Action,InstanceProfileName,Tags,Version",,Adds one or more tags to an IAM instance profil...,instance_profile_tags,tag_instance_profile,exec,,,,,
CreateInstanceProfile,/#Action=CreateInstanceProfile,GET,,,"Action,InstanceProfileName,Version",,Creates a new instance profile. For information...,instance_profiles,create_instance_profile,insert,,,,,
DeleteInstanceProfile,/#Action=DeleteInstanceProfile,GET,,,"Action,InstanceProfileName,Version",,Deletes the specified instance profile. The ins...,instance_profiles,delete_instance_profile,delete,,,,,
