operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateDestination,/destinations,POST,Creates a new destination that maps a device me...,destinations,create_destination,insert,,,,,
DeleteDestination,/destinations/{Name},DELETE,Deletes a destination.,destinations,delete_destination,delete,,,,,
GetDestination,/destinations/{Name},GET,Gets information about a destination.,destinations,get_destination,select,,,,,
ListDestinations,/destinations,GET,Lists the destinations registered to your AWS a...,destinations,list_destinations,select,,,,,
UpdateDestination,/destinations/{Name},PATCH,Updates properties of a destination.,destinations,update_destination,update,,,,,
CreateDeviceProfile,/device-profiles,POST,Creates a new device profile.,device_profiles,create_device_profile,insert,,,,,
DeleteDeviceProfile,/device-profiles/{Id},DELETE,Deletes a device profile.,device_profiles,delete_device_profile,delete,,,,,
GetDeviceProfile,/device-profiles/{Id},GET,Gets information about a device profile.,device_profiles,get_device_profile,select,,,,,
ListDeviceProfiles,/device-profiles,GET,Lists the device profiles registered to your AW...,device_profiles,list_device_profiles,select,,,,,
GetEventConfigurationByResourceTypes,/event-configurations-resource-types,GET,Get the event configuration based on resource t...,event_configurations,get_event_configuration_by_resource_types,select,,,,,
GetResourceEventConfiguration,/event-configurations/{Identifier},GET,Get the event configuration for a particular re...,event_configurations,get_resource_event_configuration,select,,,,,
ListEventConfigurations,/event-configurations,GET,List event configurations where at least one ev...,event_configurations,list_event_configurations,select,,,,,
UpdateEventConfigurationByResourceTypes,/event-configurations-resource-types,PATCH,Update the event configuration based on resourc...,event_configurations,update_event_configuration_by_resource_types,update,,,,,
UpdateResourceEventConfiguration,/event-configurations/{Identifier},PATCH,Update the event configuration for a particular...,event_configurations,update_resource_event_configuration,update,,,,,
AssociateMulticastGroupWithFuotaTask,/fuota-tasks/{Id}/multicast-group,PUT,Associate a multicast group with a FUOTA task.,fuota_tasks,associate_multicast_group_with_fuota_task,exec,,,,,
AssociateWirelessDeviceWithFuotaTask,/fuota-tasks/{Id}/wireless-device,PUT,Associate a wireless device with a FUOTA task.,fuota_tasks,associate_wireless_device_with_fuota_task,exec,,,,,
CreateFuotaTask,/fuota-tasks,POST,Creates a FUOTA task.,fuota_tasks,create_fuota_task,insert,,,,,
DeleteFuotaTask,/fuota-tasks/{Id},DELETE,Deletes a FUOTA task.,fuota_tasks,delete_fuota_task,delete,,,,,
DisassociateMulticastGroupFromFuotaTask,/fuota-tasks/{Id}/multicast-groups/{MulticastGroupId},DELETE,Disassociates a multicast group from a FUOTA task.,fuota_tasks,disassociate_multicast_group_from_fuota_task,delete,,,,,
DisassociateWirelessDeviceFromFuotaTask,/fuota-tasks/{Id}/wireless-devices/{WirelessDeviceId},DELETE,Disassociates a wireless device from a FUOTA task.,fuota_tasks,disassociate_wireless_device_from_fuota_task,delete,,,,,
GetFuotaTask,/fuota-tasks/{Id},GET,Gets information about a FUOTA task.,fuota_tasks,get_fuota_task,select,,,,,
ListFuotaTasks,/fuota-tasks,GET,Lists the FUOTA tasks registered to your AWS ac...,fuota_tasks,list_fuota_tasks,select,,,,,
StartFuotaTask,/fuota-tasks/{Id},PUT,Starts a FUOTA task.,fuota_tasks,start_fuota_task,exec,,,,,
UpdateFuotaTask,/fuota-tasks/{Id},PATCH,Updates properties of a FUOTA task.,fuota_tasks,update_fuota_task,update,,,,,
GetLogLevelsByResourceTypes,/log-levels,GET,Returns current default log levels or log level...,log_levels,get_log_levels_by_resource_types,select,,,,,
GetResourceLogLevel,/log-levels/{ResourceIdentifier},GET,"Fetches the log-level override, if any, for a g...",log_levels,get_resource_log_level,select,,,,,
PutResourceLogLevel,/log-levels/{ResourceIdentifier},PUT,Sets the log-level override for a resource ID a...,log_levels,put_resource_log_level,replace,,,,,
ResetAllResourceLogLevels,/log-levels,DELETE,Removes the log-level overrides for all resourc...,log_levels,reset_all_resource_log_levels,delete,,,,,
ResetResourceLogLevel,/log-levels/{ResourceIdentifier},DELETE,"Removes the log-level override, if any, for a s...",log_levels,reset_resource_log_level,delete,,,,,
UpdateLogLevelsByResourceTypes,/log-levels,POST,"Set default log level, or log levels by resourc...",log_levels,update_log_levels_by_resource_types,update,,,,,
GetMetrics,/metrics,POST,Get the summary metrics for this AWS account.,metric_configuration,get_metrics,select,,,,,
GetMetricConfiguration,/metric-configuration,GET,Get the metric configuration status for this AW...,metric_configurations,get_metric_configuration,select,,,,,
UpdateMetricConfiguration,/metric-configuration,PUT,Update the summary metric configuration.,metric_configurations,update_metric_configuration,update,,,,,
CancelMulticastGroupSession,/multicast-groups/{Id}/session,DELETE,Cancels an existing multicast group session.,multicast_group_sessions,cancel_multicast_group_session,delete,,,,,
GetMulticastGroupSession,/multicast-groups/{Id}/session,GET,Gets information about a multicast group session.,multicast_group_sessions,get_multicast_group_session,select,,,,,
StartMulticastGroupSession,/multicast-groups/{Id}/session,PUT,Starts a multicast group session.,multicast_group_sessions,start_multicast_group_session,exec,,,,,
AssociateWirelessDeviceWithMulticastGroup,/multicast-groups/{Id}/wireless-device,PUT,Associates a wireless device with a multicast g...,multicast_groups,associate_wireless_device_with_multicast_group,exec,,,,,
CreateMulticastGroup,/multicast-groups,POST,Creates a multicast group.,multicast_groups,create_multicast_group,insert,,,,,
DeleteMulticastGroup,/multicast-groups/{Id},DELETE,Deletes a multicast group if it is not in use b...,multicast_groups,delete_multicast_group,delete,,,,,
DisassociateWirelessDeviceFromMulticastGroup,/multicast-groups/{Id}/wireless-devices/{WirelessDeviceId},DELETE,Disassociates a wireless device from a multicas...,multicast_groups,disassociate_wireless_device_from_multicast_group,delete,,,,,
GetMulticastGroup,/multicast-groups/{Id},GET,Gets information about a multicast group.,multicast_groups,get_multicast_group,select,,,,,
ListMulticastGroups,/multicast-groups,GET,Lists the multicast groups registered to your A...,multicast_groups,list_multicast_groups,select,,,,,
ListMulticastGroupsByFuotaTask,/fuota-tasks/{Id}/multicast-groups,GET,List all multicast groups associated with a FUO...,multicast_groups,list_multicast_groups_by_fuota_task,select,,,,,
SendDataToMulticastGroup,/multicast-groups/{Id}/data,POST,Sends the specified data to a multicast group.,multicast_groups,send_data_to_multicast_group,exec,,,,,
StartBulkAssociateWirelessDeviceWithMulticastGroup,/multicast-groups/{Id}/bulk,PATCH,Starts a bulk association of all qualifying wir...,multicast_groups,start_bulk_associate_wireless_device_with_multicast_group,exec,,,,,
StartBulkDisassociateWirelessDeviceFromMulticastGroup,/multicast-groups/{Id}/bulk,POST,Starts a bulk disassociatin of all qualifying w...,multicast_groups,start_bulk_disassociate_wireless_device_from_multicast_group,exec,,,,,
UpdateMulticastGroup,/multicast-groups/{Id},PATCH,Updates properties of a multicast group session.,multicast_groups,update_multicast_group,update,,,,,
CreateNetworkAnalyzerConfiguration,/network-analyzer-configurations,POST,Creates a new network analyzer configuration.,network_analyzer_configurations,create_network_analyzer_configuration,insert,,,,,
DeleteNetworkAnalyzerConfiguration,/network-analyzer-configurations/{ConfigurationName},DELETE,Deletes a network analyzer configuration.,network_analyzer_configurations,delete_network_analyzer_configuration,delete,,,,,
GetNetworkAnalyzerConfiguration,/network-analyzer-configurations/{ConfigurationName},GET,Get network analyzer configuration.,network_analyzer_configurations,get_network_analyzer_configuration,select,,,,,
ListNetworkAnalyzerConfigurations,/network-analyzer-configurations,GET,Lists the network analyzer configurations.,network_analyzer_configurations,list_network_analyzer_configurations,select,,,,,
UpdateNetworkAnalyzerConfiguration,/network-analyzer-configurations/{ConfigurationName},PATCH,Update network analyzer configuration.,network_analyzer_configurations,update_network_analyzer_configuration,update,,,,,
AssociateAwsAccountWithPartnerAccount,/partner-accounts,POST,Associates a partner account with your AWS acco...,partner_accounts,associate_aws_account_with_partner_account,exec,,,,,
DisassociateAwsAccountFromPartnerAccount,/partner-accounts/{PartnerAccountId},DELETE,Disassociates your AWS account from a partner a...,partner_accounts,disassociate_aws_account_from_partner_account,delete,,,,,
GetPartnerAccount,/partner-accounts/{PartnerAccountId},GET,Gets information about a partner account. If `P...,partner_accounts,get_partner_account,select,,,,,
ListPartnerAccounts,/partner-accounts,GET,Lists the partner accounts associated with your...,partner_accounts,list_partner_accounts,select,,,,,
UpdatePartnerAccount,/partner-accounts/{PartnerAccountId},PATCH,Updates properties of a partner account.,partner_accounts,update_partner_account,update,,,,,
UpdateResourcePosition,/resource-positions/{ResourceIdentifier},PATCH,Update the position information of a given wire...,positions,update_resource_position,exec,,,,,
GetPositionConfiguration,/position-configurations/{ResourceIdentifier},GET,Get position configuration for a given resource...,position_configurations,get_position_configuration,select,,,,,
ListPositionConfigurations,/position-configurations,GET,List position configurations for a given resour...,position_configurations,list_position_configurations,select,,,,,
PutPositionConfiguration,/position-configurations/{ResourceIdentifier},PUT,Put position configuration for a given resource...,position_configurations,put_position_configuration,replace,,,,,
GetPosition,/positions/{ResourceIdentifier},GET,Get the position information for a given resour...,positions,get_position,select,,,,,
GetPositionEstimate,/position-estimate,POST,Get estimated position information as a payload...,positions,get_position_estimate,select,,,,,
GetResourcePosition,/resource-positions/{ResourceIdentifier},GET,Get the position information for a given wirele...,positions,get_resource_position,select,,,,,
UpdatePosition,/positions/{ResourceIdentifier},PATCH,Update the position information of a resource. ...,positions,update_position,update,,,,,
DeleteQueuedMessages,/wireless-devices/{Id}/data,DELETE,Remove queued messages from the downlink queue.,queued_messages,delete_queued_messages,delete,,,,,
ListQueuedMessages,/wireless-devices/{Id}/data,GET,List queued messages in the downlink queue.,queued_messages,list_queued_messages,select,,,,,
GetServiceEndpoint,/service-endpoint,GET,Gets the account-specific endpoint for Configur...,service_endpoints,get_service_endpoint,select,,,,,
CreateServiceProfile,/service-profiles,POST,Creates a new service profile.,service_profiles,create_service_profile,insert,,,,,
DeleteServiceProfile,/service-profiles/{Id},DELETE,Deletes a service profile.,service_profiles,delete_service_profile,delete,,,,,
GetServiceProfile,/service-profiles/{Id},GET,Gets information about a service profile.,service_profiles,get_service_profile,select,,,,,
ListServiceProfiles,/service-profiles,GET,Lists the service profiles registered to your A...,service_profiles,list_service_profiles,select,,,,,
ListTagsForResource,/tags,GET,Lists the tags (metadata) you have assigned to ...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags,POST,Adds a tag to a resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags,DELETE,Removes one or more tags from a resource.,tags,untag_resource,exec,,,,,
DeleteWirelessDeviceImportTask,/wireless_device_import_task/{Id},DELETE,Delete an import task.,wireless_device_import_tasks,delete_wireless_device_import_task,delete,,,,,
