operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchPutMessage,/messages/batch,POST,,,,"channelName,messages",Sends messages to a channel.,channels,batch_put_message,exec,,,,,
CancelPipelineReprocessing,/pipelines/{pipelineName}/reprocessing/{reprocessingId},DELETE,"pipelineName,reprocessingId",,,,Cancels the reprocessing of data through the pi...,pipelines,cancel_pipeline_reprocessing,exec,,,,,
CreateChannel,/channels,POST,,,,channelName,Used to create a channel. A channel collects da...,channels,create_channel,insert,,,,,
CreateDataset,/datasets,POST,,,,"actions,datasetName",Used to create a dataset. A dataset stores data...,datasets,create_dataset,insert,,,,,
CreateDatasetContent,/datasets/{datasetName}/content,POST,datasetName,,,datasetName,Creates the content of a dataset by applying a ...,dataset_contents,create_dataset_content,insert,,,,,
CreateDatastore,/datastores,POST,,,,datastoreName,"Creates a data store, which is a repository for...",datastores,create_datastore,insert,,,,,
CreatePipeline,/pipelines,POST,,,,"pipelineActivities,pipelineName",Creates a pipeline. A pipeline consumes message...,pipelines,create_pipeline,insert,,,,,
DeleteChannel,/channels/{channelName},DELETE,channelName,,,,Deletes the specified channel.,channels,delete_channel,delete,,,,,
DeleteDataset,/datasets/{datasetName},DELETE,datasetName,,,,Deletes the specified dataset. You do not have ...,datasets,delete_dataset,delete,,,,,
DeleteDatasetContent,/datasets/{datasetName}/content,DELETE,datasetName,,,,Deletes the content of the specified dataset.,dataset_contents,delete_dataset_content,delete,,,,,
DeleteDatastore,/datastores/{datastoreName},DELETE,datastoreName,,,,Deletes the specified data store.,datastores,delete_datastore,delete,,,,,
DeletePipeline,/pipelines/{pipelineName},DELETE,pipelineName,,,,Deletes the specified pipeline.,pipelines,delete_pipeline,delete,,,,,
DescribeChannel,/channels/{channelName},GET,channelName,,,,Retrieves information about a channel.,channels,describe_channel,select,,,,,
DescribeDataset,/datasets/{datasetName},GET,datasetName,,,,Retrieves information about a dataset.,datasets,describe_dataset,select,,,,,
DescribeDatastore,/datastores/{datastoreName},GET,datastoreName,,,,Retrieves information about a data store.,datastores,describe_datastore,select,,,,,
DescribeLoggingOptions,/logging,GET,,,,,Retrieves the current settings of the IoT Analy...,logging_options,describe_logging_options,select,,,,,
DescribePipeline,/pipelines/{pipelineName},GET,pipelineName,,,,Retrieves information about a pipeline.,pipelines,describe_pipeline,select,,,,,
GetDatasetContent,/datasets/{datasetName}/content,GET,datasetName,,,,Retrieves the contents of a dataset as presigne...,dataset_content,get_dataset_content,select,,,,,
ListChannels,/channels,GET,,,,,Retrieves a list of channels.,channels,list_channels,select,,,,,
ListDatasetContents,/datasets/{datasetName}/contents,GET,datasetName,,,,Lists information about dataset contents that h...,dataset_contents,list_dataset_contents,select,,,,,
ListDatasets,/datasets,GET,,,,,Retrieves information about datasets.,datasets,list_datasets,select,,,,,
ListDatastores,/datastores,GET,,,,,Retrieves a list of data stores.,datastores,list_datastores,select,,,,,
ListPipelines,/pipelines,GET,,,,,Retrieves a list of pipelines.,pipelines,list_pipelines,select,,,,,
ListTagsForResource,/tags,GET,,,resourceArn,,Lists the tags (metadata) that you have assigne...,tags,list_tags_for_resource,select,,,,,
PutLoggingOptions,/logging,PUT,,,,,Sets or updates the IoT Analytics logging optio...,logging_options,put_logging_options,replace,,,,,
RunPipelineActivity,/pipelineactivities/run,POST,,,,"payloads,pipelineActivity",Simulates the results of running a pipeline act...,pipelines,run_pipeline_activity,exec,,,,,
SampleChannelData,/channels/{channelName}/sample,GET,channelName,,,,Retrieves a sample of messages from the specifi...,channels,sample_channel_data,exec,,,,,
StartPipelineReprocessing,/pipelines/{pipelineName}/reprocessing,POST,pipelineName,,,pipelineName,Starts the reprocessing of raw message data thr...,pipelines,start_pipeline_reprocessing,exec,,,,,
TagResource,/tags,POST,,,resourceArn,channelName,Adds to or modifies the tags of the given resou...,tags,tag_resource,exec,,,,,
UntagResource,/tags,DELETE,,,"resourceArn,tagKeys",,Removes the given tags (metadata) from the reso...,tags,untag_resource,exec,,,,,
UpdateChannel,/channels/{channelName},PUT,channelName,,,channelName,Used to update the settings of a channel.,channels,update_channel,update,,,,,
UpdateDataset,/datasets/{datasetName},PUT,datasetName,,,"actions,datasetName",Updates the settings of a dataset.,datasets,update_dataset,update,,,,,
UpdateDatastore,/datastores/{datastoreName},PUT,datastoreName,,,datastoreName,Used to update the settings of a data store.,datastores,update_datastore,update,,,,,
UpdatePipeline,/pipelines/{pipelineName},PUT,pipelineName,,,"pipelineActivities,pipelineName",Updates the settings of a pipeline. You must sp...,pipelines,update_pipeline,update,,,,,
