operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateSuiteDefinition,/suiteDefinitions,POST,,,,suiteDefinitionConfiguration,Creates a Device Advisor test suite. Requires p...,suite_definitions,create_suite_definition,insert,,,,,
DeleteSuiteDefinition,/suiteDefinitions/{suiteDefinitionId},DELETE,suiteDefinitionId,,,,Deletes a Device Advisor test suite. Requires p...,suite_definitions,delete_suite_definition,delete,,,,,
GetEndpoint,/endpoint,GET,,,,,Gets information about an Device Advisor endpoint.,endpoints,get_endpoint,select,,,,,
GetSuiteDefinition,/suiteDefinitions/{suiteDefinitionId},GET,suiteDefinitionId,,,,Gets information about a Device Advisor test su...,suite_definitions,get_suite_definition,select,,,,,
GetSuiteRun,/suiteDefinitions/{suiteDefinitionId}/suiteRuns/{suiteRunId},GET,"suiteDefinitionId,suiteRunId",,,,Gets information about a Device Advisor test su...,suite_runs,get_suite_run,select,,,,,
GetSuiteRunReport,/suiteDefinitions/{suiteDefinitionId}/suiteRuns/{suiteRunId}/report,GET,"suiteDefinitionId,suiteRunId",,,,Gets a report download link for a successful De...,suite_run_reports,get_suite_run_report,select,,,,,
ListSuiteDefinitions,/suiteDefinitions,GET,,,,,Lists the Device Advisor test suites you have c...,suite_definitions,list_suite_definitions,select,,,,,
ListSuiteRuns,/suiteRuns,GET,,,,,Lists runs of the specified Device Advisor test...,suite_runs,list_suite_runs,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,Lists the tags attached to an IoT Device Adviso...,tags,list_tags_for_resource,select,,,,,
StartSuiteRun,/suiteDefinitions/{suiteDefinitionId}/suiteRuns,POST,suiteDefinitionId,,,,Starts a Device Advisor test suite run. Require...,suite_runs,start_suite_run,exec,,,,,
StopSuiteRun,/suiteDefinitions/{suiteDefinitionId}/suiteRuns/{suiteRunId}/stop,POST,"suiteDefinitionId,suiteRunId",,,,Stops a Device Advisor test suite run that is c...,suite_runs,stop_suite_run,exec,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,suiteDefinitionConfiguration,Adds to and modifies existing tags of an IoT De...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Removes tags from an IoT Device Advisor resourc...,tags,untag_resource,exec,,,,,
UpdateSuiteDefinition,/suiteDefinitions/{suiteDefinitionId},PATCH,suiteDefinitionId,,,suiteDefinitionConfiguration,Updates a Device Advisor test suite. Requires p...,suite_definitions,update_suite_definition,update,,,,,
