operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateAssets,/assets/{assetId}/associate,POST,assetId,,,"assetId,childAssetId,hierarchyId",Associates a child asset with the given parent ...,assets,associate_assets,exec,,,,,
AssociateTimeSeriesToAssetProperty,/timeseries/associate,POST,,,"alias,assetId,propertyId","assetId,childAssetId,hierarchyId",Associates a time series (data stream) with an ...,time_series,associate_time_series_to_asset_property,exec,,,,,
BatchAssociateProjectAssets,/projects/{projectId}/assets/associate,POST,projectId,,,"assetIds,projectId",Associates a group (batch) of assets with an Io...,projects,batch_associate_project_assets,exec,,,,,
BatchDisassociateProjectAssets,/projects/{projectId}/assets/disassociate,POST,projectId,,,"assetIds,projectId",Disassociates a group (batch) of assets from an...,projects,batch_disassociate_project_assets,exec,,,,,
BatchGetAssetPropertyAggregates,/properties/batch/aggregates,POST,,,,entries,"Gets aggregated values (for example, average, m...",asset_properties,batch_get_asset_property_aggregates,exec,,nextToken,body,nextToken,body
BatchGetAssetPropertyValue,/properties/batch/latest,POST,,,,entries,Gets the current value for one or more asset pr...,asset_properties,batch_get_asset_property_value,exec,,nextToken,body,nextToken,body
BatchGetAssetPropertyValueHistory,/properties/batch/history,POST,,,,entries,Gets the historical values for one or more asse...,asset_properties,batch_get_asset_property_value_history,exec,,nextToken,body,nextToken,body
BatchPutAssetPropertyValue,/properties,POST,,,,entries,Sends a list of asset property values to IoT Si...,asset_properties,batch_put_asset_property_value,exec,,,,,
CreateAccessPolicy,/access-policies,POST,,,,"accessPolicyIdentity,accessPolicyPermission,accessPolicyResource",Creates an access policy that grants the specif...,access_policies,create_access_policy,insert,,,,,
CreateAsset,/assets,POST,,,,"assetModelId,assetName",Creates an asset from an existing asset model. ...,assets,create_asset,insert,,,,,
CreateAssetModel,/asset-models,POST,,,,assetModelName,Creates an asset model from specified property ...,asset_models,create_asset_model,insert,,,,,
CreateAssetModelCompositeModel,/asset-models/{assetModelId}/composite-models,POST,assetModelId,,,"assetModelCompositeModelName,assetModelCompositeModelType,assetModelId",Creates a custom composite model from specified...,asset_model_composite_models,create_asset_model_composite_model,insert,,,,,
CreateBulkImportJob,/jobs,POST,,,,"errorReportLocation,files,jobConfiguration,jobName,jobRoleArn",Defines a job to ingest data to IoT SiteWise fr...,bulk_import_jobs,create_bulk_import_job,insert,,,,,
CreateComputationModel,/computation-models,POST,,,,"computationModelConfiguration,computationModelDataBinding,computationModelName",Create a computation model with a configuration...,computation_models,create_computation_model,insert,,,,,
CreateDashboard,/dashboards,POST,,,,"dashboardDefinition,dashboardName,projectId",Creates a dashboard in an IoT SiteWise Monitor ...,dashboards,create_dashboard,insert,,,,,
CreateDataset,/datasets,POST,,,,"datasetName,datasetSource",Creates a dataset to connect an external dataso...,datasets,create_dataset,insert,,,,,
CreateGateway,/20200301/gateways,POST,,,,"gatewayName,gatewayPlatform","Creates a gateway, which is a virtual or edge d...",gateways,create_gateway,insert,,,,,
CreatePortal,/portals,POST,,,,"portalContactEmail,portalName,roleArn","Creates a portal, which can contain projects an...",portals,create_portal,insert,,,,,
CreateProject,/projects,POST,,,,"portalId,projectName",Creates a project in the specified portal. Make...,projects,create_project,insert,,,,,
DeleteAccessPolicy,/access-policies/{accessPolicyId},DELETE,accessPolicyId,,,,Deletes an access policy that grants the specif...,access_policies,delete_access_policy,delete,,,,,
DeleteAsset,/assets/{assetId},DELETE,assetId,,,,Deletes an asset. This action can't be undone. ...,assets,delete_asset,delete,,,,,
DeleteAssetModel,/asset-models/{assetModelId},DELETE,assetModelId,,,,Deletes an asset model. This action can't be un...,asset_models,delete_asset_model,delete,,,,,
DeleteAssetModelCompositeModel,/asset-models/{assetModelId}/composite-models/{assetModelCompositeModelId},DELETE,"assetModelCompositeModelId,assetModelId",,,,Deletes a composite model. This action can't be...,asset_model_composite_models,delete_asset_model_composite_model,delete,,,,,
DeleteAssetModelInterfaceRelationship,/asset-models/{assetModelId}/interface/{interfaceAssetModelId}/asset-model-interface-relationship,DELETE,"assetModelId,interfaceAssetModelId",,,,Deletes an interface relationship between an as...,asset_model_interface_relationships,delete_asset_model_interface_relationship,delete,,,,,
DeleteComputationModel,/computation-models/{computationModelId},DELETE,computationModelId,,,,Deletes a computation model. This action can't ...,computation_models,delete_computation_model,delete,,,,,
