operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateEntityToThing,/#X-Amz-Target=IotThingsGraphFrontEndService.AssociateEntityToThing,POST,Associates a device with a concrete thing that ...,entities,associate_entity_to_thing,exec,,,,,
CreateFlowTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.CreateFlowTemplate,POST,Creates a workflow template. Workflows can be c...,flow_templates,create_flow_template,insert,,,,,
CreateSystemInstance,/#X-Amz-Target=IotThingsGraphFrontEndService.CreateSystemInstance,POST,Creates a system instance. This action validate...,system_instances,create_system_instance,insert,,,,,
CreateSystemTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.CreateSystemTemplate,POST,Creates a system. The system is validated again...,system_templates,create_system_template,insert,,,,,
DeleteFlowTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.DeleteFlowTemplate,POST,Deletes a workflow. Any new system or deploymen...,flow_templates,delete_flow_template,delete,,,,,
DeleteNamespace,/#X-Amz-Target=IotThingsGraphFrontEndService.DeleteNamespace,POST,Deletes the specified namespace. This action de...,namespaces,delete_namespace,delete,,,,,
DeleteSystemInstance,/#X-Amz-Target=IotThingsGraphFrontEndService.DeleteSystemInstance,POST,Deletes a system instance. Only system instance...,system_instances,delete_system_instance,delete,,,,,
DeleteSystemTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.DeleteSystemTemplate,POST,Deletes a system. New deployments can't contain...,system_templates,delete_system_template,delete,,,,,
DeploySystemInstance,/#X-Amz-Target=IotThingsGraphFrontEndService.DeploySystemInstance,POST,**Greengrass and Cloud Deployments** Deploys th...,system_instances,deploy_system_instance,exec,,,,,
DeprecateFlowTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.DeprecateFlowTemplate,POST,Deprecates the specified workflow. This action ...,flow_templates,deprecate_flow_template,exec,,,,,
DeprecateSystemTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.DeprecateSystemTemplate,POST,Deprecates the specified system.,system_templates,deprecate_system_template,exec,,,,,
DescribeNamespace,/#X-Amz-Target=IotThingsGraphFrontEndService.DescribeNamespace,POST,Gets the latest version of the user's namespace...,namespaces,describe_namespace,select,,,,,
DissociateEntityFromThing,/#X-Amz-Target=IotThingsGraphFrontEndService.DissociateEntityFromThing,POST,Dissociates a device entity from a concrete thi...,entities,dissociate_entity_from_thing,exec,,,,,
GetEntities,/#X-Amz-Target=IotThingsGraphFrontEndService.GetEntities,POST,Gets definitions of the specified entities. Use...,entities,get_entities,select,,,,,
GetFlowTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.GetFlowTemplate,POST,Gets the latest version of the `DefinitionDocum...,flow_templates,get_flow_template,select,,,,,
GetFlowTemplateRevisions,/#X-Amz-Target=IotThingsGraphFrontEndService.GetFlowTemplateRevisions,POST,Gets revisions of the specified workflow. Only ...,flow_template_revisions,get_flow_template_revisions,select,$.summaries,,,,
GetNamespaceDeletionStatus,/#X-Amz-Target=IotThingsGraphFrontEndService.GetNamespaceDeletionStatus,POST,Gets the status of a namespace deletion task.,namespace_deletion_status,get_namespace_deletion_status,select,,,,,
GetSystemInstance,/#X-Amz-Target=IotThingsGraphFrontEndService.GetSystemInstance,POST,Gets a system instance.,system_instances,get_system_instance,select,,,,,
GetSystemTemplate,/#X-Amz-Target=IotThingsGraphFrontEndService.GetSystemTemplate,POST,Gets a system.,system_templates,get_system_template,select,,,,,
GetSystemTemplateRevisions,/#X-Amz-Target=IotThingsGraphFrontEndService.GetSystemTemplateRevisions,POST,Gets revisions made to the specified system tem...,system_template_revisions,get_system_template_revisions,select,$.summaries,,,,
GetUploadStatus,/#X-Amz-Target=IotThingsGraphFrontEndService.GetUploadStatus,POST,Gets the status of the specified upload.,uploads,get_upload_status,select,,,,,
ListFlowExecutionMessages,/#X-Amz-Target=IotThingsGraphFrontEndService.ListFlowExecutionMessages,POST,Returns a list of objects that contain informat...,flow_executions,list_flow_execution_messages,select,$.messages,,,,
ListTagsForResource,/#X-Amz-Target=IotThingsGraphFrontEndService.ListTagsForResource,POST,Lists all tags on an AWS IoT Things Graph resou...,tags,list_tags_for_resource,select,$.tags,,,,
SearchEntities,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchEntities,POST,Searches for entities of the specified type. Yo...,entities,search_entities,exec,$.descriptions,,,,
SearchFlowExecutions,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchFlowExecutions,POST,Searches for AWS IoT Things Graph workflow exec...,flow_executions,search_flow_executions,exec,$.summaries,,,,
SearchFlowTemplates,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchFlowTemplates,POST,Searches for summary information about workflows.,flow_templates,search_flow_templates,exec,$.summaries,,,,
SearchSystemInstances,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchSystemInstances,POST,Searches for system instances in the user's acc...,system_instances,search_system_instances,exec,$.summaries,,,,
SearchSystemTemplates,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchSystemTemplates,POST,Searches for summary information about systems ...,system_templates,search_system_templates,exec,$.summaries,,,,
SearchThings,/#X-Amz-Target=IotThingsGraphFrontEndService.SearchThings,POST,Searches for things associated with the specifi...,things,search_things,exec,$.things,,,,
