operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateComponentType,/workspaces/{workspaceId}/component-types/{componentTypeId},POST,"componentTypeId,workspaceId",,,"componentTypeId,workspaceId",Creates a component type.,component_types,create_component_type,insert,,,,,
DeleteComponentType,/workspaces/{workspaceId}/component-types/{componentTypeId},DELETE,"componentTypeId,workspaceId",,,,Deletes a component type.,component_types,delete_component_type,delete,,,,,
GetComponentType,/workspaces/{workspaceId}/component-types/{componentTypeId},GET,"componentTypeId,workspaceId",,,,Retrieves information about a component type.,component_types,get_component_type,select,,,,,
ListComponentTypes,/workspaces/{workspaceId}/component-types-list,POST,workspaceId,,,workspaceId,Lists all component types in a workspace.,component_types,list_component_types,select,,,,,
UpdateComponentType,/workspaces/{workspaceId}/component-types/{componentTypeId},PUT,"componentTypeId,workspaceId",,,"componentTypeId,workspaceId",Updates information in a component type.,component_types,update_component_type,update,,,,,
ListComponents,/workspaces/{workspaceId}/entities/{entityId}/components-list,POST,"entityId,workspaceId",,,"selectedProperties,workspaceId",This API lists the components of an entity.,components,list_components,select,,,,,
CreateEntity,/workspaces/{workspaceId}/entities,POST,workspaceId,,,"entityName,workspaceId",Creates an entity.,entities,create_entity,insert,,,,,
DeleteEntity,/workspaces/{workspaceId}/entities/{entityId},DELETE,"entityId,workspaceId",,,,Deletes an entity.,entities,delete_entity,delete,,,,,
GetEntity,/workspaces/{workspaceId}/entities/{entityId},GET,"entityId,workspaceId",,,,Retrieves information about an entity.,entities,get_entity,select,,,,,
ListEntities,/workspaces/{workspaceId}/entities-list,POST,workspaceId,,,workspaceId,Lists all entities in a workspace.,entities,list_entities,select,,,,,
UpdateEntity,/workspaces/{workspaceId}/entities/{entityId},PUT,"entityId,workspaceId",,,"entityId,workspaceId",Updates an entity.,entities,update_entity,update,,,,,
CancelMetadataTransferJob,/metadata-transfer-jobs/{metadataTransferJobId}/cancel,PUT,metadataTransferJobId,,,,Cancels the metadata transfer job.,metadata_transfer_jobs,cancel_metadata_transfer_job,exec,,,,,
CreateMetadataTransferJob,/metadata-transfer-jobs,POST,,,,"destination,sources",Creates a new metadata transfer job.,metadata_transfer_jobs,create_metadata_transfer_job,insert,,,,,
GetMetadataTransferJob,/metadata-transfer-jobs/{metadataTransferJobId},GET,metadataTransferJobId,,,,Gets a nmetadata transfer job.,metadata_transfer_jobs,get_metadata_transfer_job,select,,,,,
