operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetComposition,/GetComposition,POST,,,,"arn,destinations,layout,stageArn,state",Get information about the specified Composition...,compositions,get_composition,select,,,,,
ListCompositions,/ListCompositions,POST,,,,,Gets summary information about all Compositions...,compositions,list_compositions,select,,,,,
StartComposition,/StartComposition,POST,,,,"destinations,stageArn",Starts a Composition from a stage based on the ...,compositions,start_composition,exec,,,,,
StopComposition,/StopComposition,POST,,,,"arn,destinations,layout,stageArn,state",Stops and deletes a Composition resource. Any b...,compositions,stop_composition,exec,,,,,
GetEncoderConfiguration,/GetEncoderConfiguration,POST,,,,"arn,destinations,layout,stageArn,state",Gets information about the specified EncoderCon...,encoder_configurations,get_encoder_configuration,select,,,,,
CreateEncoderConfiguration,/CreateEncoderConfiguration,POST,,,,,Creates an EncoderConfiguration object.,encoder_configurations,create_encoder_configuration,insert,,,,,
DeleteEncoderConfiguration,/DeleteEncoderConfiguration,POST,,,,"arn,destinations,layout,stageArn,state",Deletes an EncoderConfiguration resource. Ensur...,encoder_configurations,delete_encoder_configuration,delete,,,,,
ListEncoderConfigurations,/ListEncoderConfigurations,POST,,,,,Gets summary information about all EncoderConfi...,encoder_configurations,list_encoder_configurations,select,,,,,
GetIngestConfiguration,/GetIngestConfiguration,POST,,,,"arn,destinations,layout,stageArn,state",Gets information about the specified IngestConf...,ingest_configurations,get_ingest_configuration,select,,,,,
CreateIngestConfiguration,/CreateIngestConfiguration,POST,,,,ingestProtocol,"Creates a new IngestConfiguration resource, use...",ingest_configurations,create_ingest_configuration,insert,,,,,
DeleteIngestConfiguration,/DeleteIngestConfiguration,POST,,,,arn,"Deletes a specified IngestConfiguration, so it ...",ingest_configurations,delete_ingest_configuration,delete,,,,,
ListIngestConfigurations,/ListIngestConfigurations,POST,,,,,"Lists all IngestConfigurations in your account,...",ingest_configurations,list_ingest_configurations,select,$.ingestConfigurations,,,,
