operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateChatToken,/CreateChatToken,POST,Creates an encrypted token that is used by a ch...,chat_tokens,create_chat_token,insert,,,,,
CreateLoggingConfiguration,/CreateLoggingConfiguration,POST,Creates a logging configuration that allows cli...,logging_configurations,create_logging_configuration,insert,,,,,
CreateRoom,/CreateRoom,POST,Creates a room that allows clients to connect a...,rooms,create_room,insert,,,,,
DeleteLoggingConfiguration,/DeleteLoggingConfiguration,POST,Deletes the specified logging configuration.,logging_configurations,delete_logging_configuration,delete,,,,,
DeleteMessage,/DeleteMessage,POST,Sends an event to a specific room which directs...,messages,delete_message,delete,,,,,
DeleteRoom,/DeleteRoom,POST,Deletes the specified room.,rooms,delete_room,delete,,,,,
DisconnectUser,/DisconnectUser,POST,Disconnects all connections using a specified u...,users,disconnect_user,exec,,,,,
GetLoggingConfiguration,/GetLoggingConfiguration,POST,Gets the specified logging configuration.,logging_configuration,get_logging_configuration,select,,,,,
GetRoom,/GetRoom,POST,Gets the specified room.,room,get_room,select,,,,,
ListLoggingConfigurations,/ListLoggingConfigurations,POST,Gets summary information about all your logging...,logging_configurations,list_logging_configurations,select,,,,,
ListRooms,/ListRooms,POST,Gets summary information about all your rooms i...,rooms,list_rooms,select,,,,,
ListTagsForResource,/tags/{resourceArn},GET,Gets information about AWS tags for the specifi...,tags,list_tags_for_resource,select,,,,,
SendEvent,/SendEvent,POST,Sends an event to a room. Use this within your ...,events,send_event,exec,,,,,
TagResource,/tags/{resourceArn},POST,Adds or updates tags for the AWS resource with ...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes tags from the resource with the specifi...,tags,untag_resource,delete,,,,,
UpdateLoggingConfiguration,/UpdateLoggingConfiguration,POST,Updates a specified logging configuration.,logging_configurations,update_logging_configuration,update,,,,,
UpdateRoom,/UpdateRoom,POST,Updates a room's configuration.,rooms,update_room,update,,,,,
