operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateSignalingChannel,/createSignalingChannel,POST,,,,ChannelName,Creates a signaling channel. `CreateSignalingCh...,signaling_channels,create_signaling_channel,insert,,,,,
CreateStream,/createStream,POST,,,,StreamName,Creates a new Kinesis video stream. When you cr...,streams,create_stream,insert,,,,,
DeleteEdgeConfiguration,/deleteEdgeConfiguration,POST,,,,,An asynchronous API that deletes a stream’s exi...,edge_configurations,delete_edge_configuration,delete,,,,,
DeleteSignalingChannel,/deleteSignalingChannel,POST,,,,ChannelARN,Deletes a specified signaling channel. `DeleteS...,signaling_channels,delete_signaling_channel,delete,,,,,
DeleteStream,/deleteStream,POST,,,,StreamARN,Deletes a Kinesis video stream and the data con...,streams,delete_stream,delete,,,,,
DescribeEdgeConfiguration,/describeEdgeConfiguration,POST,,,,,Describes a stream’s edge configuration that wa...,edge_configurations,describe_edge_configuration,select,,,,,
DescribeImageGenerationConfiguration,/describeImageGenerationConfiguration,POST,,,,,Gets the `ImageGenerationConfiguration` for a g...,image_generation_configurations,describe_image_generation_configuration,select,,,,,
DescribeMappedResourceConfiguration,/describeMappedResourceConfiguration,POST,,,,,Returns the most current information about the ...,mapped_resource_configurations,describe_mapped_resource_configuration,select,$.MappedResourceConfigurationList,,,,
DescribeMediaStorageConfiguration,/describeMediaStorageConfiguration,POST,,,,,Returns the most current information about the ...,media_storage_configurations,describe_media_storage_configuration,select,,,,,
DescribeNotificationConfiguration,/describeNotificationConfiguration,POST,,,,,Gets the `NotificationConfiguration` for a give...,notification_configurations,describe_notification_configuration,select,,,,,
DescribeSignalingChannel,/describeSignalingChannel,POST,,,,,Returns the most current information about the ...,signaling_channel,describe_signaling_channel,select,,,,,
DescribeStream,/describeStream,POST,,,,,Returns the most current information about the ...,stream,describe_stream,select,,,,,
DescribeStreamStorageConfiguration,/describeStreamStorageConfiguration,POST,,,,,Retrieves the current storage configuration for...,stream_storage_configurations,describe_stream_storage_configuration,select,,,,,
GetDataEndpoint,/getDataEndpoint,POST,,,,APIName,Gets an endpoint for a specified stream for eit...,data_endpoints,get_data_endpoint,select,,,,,
GetSignalingChannelEndpoint,/getSignalingChannelEndpoint,POST,,,,ChannelARN,Provides an endpoint for the specified signalin...,signaling_channel_endpoints,get_signaling_channel_endpoint,select,,,,,
ListEdgeAgentConfigurations,/listEdgeAgentConfigurations,POST,,,,HubDeviceArn,Returns an array of edge configurations associa...,edge_agent_configurations,list_edge_agent_configurations,select,$.EdgeConfigs,,,,
ListSignalingChannels,/listSignalingChannels,POST,,,,,Returns an array of `ChannelInfo` objects. Each...,signaling_channels,list_signaling_channels,select,$.ChannelInfoList,,,,
ListStreams,/listStreams,POST,,,,,Returns an array of `StreamInfo` objects. Each ...,streams,list_streams,select,$.StreamInfoList,,,,
ListTagsForResource,/ListTagsForResource,POST,,,,ResourceARN,Returns a list of tags associated with the spec...,tags,list_tags_for_resource,select,,,,,
ListTagsForStream,/listTagsForStream,POST,,,,,Returns a list of tags associated with the spec...,stream_tags,list_tags_for_stream,select,,,,,
StartEdgeConfigurationUpdate,/startEdgeConfigurationUpdate,POST,,,,,An asynchronous API that updates a stream’s exi...,edge_configurations,start_edge_configuration_update,exec,,,,,
TagResource,/TagResource,POST,,,,"ResourceARN,Tags",Adds one or more tags to a signaling channel. A...,tags,tag_resource,exec,,,,,
TagStream,/tagStream,POST,,,,Tags,Adds one or more tags to a stream. A _tag_ is a...,stream_tags,tag_stream,exec,,,,,
UntagResource,/UntagResource,POST,,,,"ResourceARN,TagKeyList",Removes one or more tags from a signaling chann...,tags,untag_resource,exec,,,,,
UntagStream,/untagStream,POST,,,,TagKeyList,Removes one or more tags from a stream. In the ...,stream_tags,untag_stream,exec,,,,,
UpdateDataRetention,/updateDataRetention,POST,,,,"CurrentVersion,DataRetentionChangeInHours,Operation",Increases or decreases the stream's data retent...,stream,update_data_retention,update,,,,,
UpdateImageGenerationConfiguration,/updateImageGenerationConfiguration,POST,,,,,Updates the `StreamInfo` and `ImageProcessingCo...,image_generation_configurations,update_image_generation_configuration,update,,,,,
UpdateMediaStorageConfiguration,/updateMediaStorageConfiguration,POST,,,,"ChannelARN,MediaStorageConfiguration",Associates a `SignalingChannel` to a stream to ...,media_storage_configurations,update_media_storage_configuration,update,,,,,
UpdateNotificationConfiguration,/updateNotificationConfiguration,POST,,,,,Updates the notification information for a stream.,notification_configurations,update_notification_configuration,update,,,,,
UpdateSignalingChannel,/updateSignalingChannel,POST,,,,"ChannelARN,CurrentVersion",Updates the existing signaling channel. This is...,signaling_channels,update_signaling_channel,update,,,,,
UpdateStream,/updateStream,POST,,,,CurrentVersion,"Updates stream metadata, such as the device nam...",streams,update_stream,update,,,,,
UpdateStreamStorageConfiguration,/updateStreamStorageConfiguration,POST,,,,"CurrentVersion,StreamStorageConfiguration",Updates the storage configuration for an existi...,stream_storage_configurations,update_stream_storage_configuration,update,,,,,
