operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddLFTagsToResource,/AddLFTagsToResource,POST,,,,"LFTags,Resource",Attaches one or more LF-tags to an existing res...,lf_tags,add_lf_tags_to_resource,exec,,,,,
AssumeDecoratedRoleWithSAML,/AssumeDecoratedRoleWithSAML,POST,,,,"PrincipalArn,RoleArn,SAMLAssertion",Allows a caller to assume an IAM role decorated...,decorated_roles,assume_decorated_role_with_saml,exec,,,,,
BatchGrantPermissions,/BatchGrantPermissions,POST,,,,Entries,Batch operation to grant permissions to the pri...,permissions,batch_grant_permissions,exec,,,,,
BatchRevokePermissions,/BatchRevokePermissions,POST,,,,Entries,Batch operation to revoke permissions from the ...,permissions,batch_revoke_permissions,exec,,,,,
CancelTransaction,/CancelTransaction,POST,,,,TransactionId,Attempts to cancel the specified transaction. R...,transactions,cancel_transaction,exec,,,,,
CommitTransaction,/CommitTransaction,POST,,,,TransactionId,Attempts to commit the specified transaction. R...,transactions,commit_transaction,exec,,,,,
CreateDataCellsFilter,/CreateDataCellsFilter,POST,,,,TableData,Creates a data cell filter to allow one to gran...,data_cells_filters,create_data_cells_filter,insert,,,,,
CreateLFTag,/CreateLFTag,POST,,,,"TagKey,TagValues",Creates an LF-tag with the specified name and v...,lf_tags,create_lf_tag,insert,,,,,
CreateLFTagExpression,/CreateLFTagExpression,POST,,,,"Expression,Name",Creates a new LF-Tag expression with the provid...,lf_tag_expressions,create_lf_tag_expression,insert,,,,,
CreateLakeFormationIdentityCenterConfiguration,/CreateLakeFormationIdentityCenterConfiguration,POST,,,,,Creates an IAM Identity Center connection with ...,lake_formation_identity_center_configurations,create_lake_formation_identity_center_configuration,insert,,,,,
CreateLakeFormationOptIn,/CreateLakeFormationOptIn,POST,,,,Id,Enforce Lake Formation permissions for the give...,lake_formation_opt_ins,create_lake_formation_opt_in,insert,,,,,
DeleteDataCellsFilter,/DeleteDataCellsFilter,POST,,,,"DatabaseName,Name,TableCatalogId,TableName",Deletes a data cell filter.,data_cells_filters,delete_data_cells_filter,delete,,,,,
DeleteLFTag,/DeleteLFTag,POST,,,,"TagKey,TagValues",Deletes an LF-tag by its key name. The operatio...,lf_tags,delete_lf_tag,delete,,,,,
DeleteLFTagExpression,/DeleteLFTagExpression,POST,,,,"Expression,Name",Deletes the LF-Tag expression. The caller must ...,lf_tag_expressions,delete_lf_tag_expression,delete,,,,,
DeleteLakeFormationIdentityCenterConfiguration,/DeleteLakeFormationIdentityCenterConfiguration,POST,,,,"LFTags,Resource",Deletes an IAM Identity Center connection with ...,lake_formation_identity_center_configurations,delete_lake_formation_identity_center_configuration,delete,,,,,
