operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetAccountSettings,/2016-08-19/account-settings,GET,,,,,Retrieves details about your account's [limits]...,account_settings,get_account_settings,select,,,,,
CreateAlias,/2015-03-31/functions/{FunctionName}/aliases,POST,FunctionName,,,,Creates an [alias](https://docs.aws.amazon.com/...,aliases,create_alias,insert,,,,,
DeleteAlias,/2015-03-31/functions/{FunctionName}/aliases/{Name},DELETE,"FunctionName,Name",,,,Deletes a Lambda function [alias](https://docs....,aliases,delete_alias,delete,,,,,
GetAlias,/2015-03-31/functions/{FunctionName}/aliases/{Name},GET,"FunctionName,Name",,,,Returns details about a Lambda function [alias]...,aliases,get_alias,select,,,,,
ListAliases,/2015-03-31/functions/{FunctionName}/aliases,GET,FunctionName,,,,Returns a list of [aliases](https://docs.aws.am...,aliases,list_aliases,select,$.Aliases,,body,,body
UpdateAlias,/2015-03-31/functions/{FunctionName}/aliases/{Name},PUT,"FunctionName,Name",,,,Updates the configuration of a Lambda function ...,aliases,update_alias,update,,,,,
CreateCapacityProvider,/2025-11-30/capacity-providers,POST,,,,"CapacityProviderName,PermissionsConfig,VpcConfig",Creates a capacity provider that manages comput...,capacity_providers,create_capacity_provider,insert,,,,,
DeleteCapacityProvider,/2025-11-30/capacity-providers/{CapacityProviderName},DELETE,CapacityProviderName,,,,Deletes a capacity provider. You cannot delete ...,capacity_providers,delete_capacity_provider,delete,,,,,
GetCapacityProvider,/2025-11-30/capacity-providers/{CapacityProviderName},GET,CapacityProviderName,,,,Retrieves information about a specific capacity...,capacity_providers,get_capacity_provider,select,,,,,
ListCapacityProviders,/2025-11-30/capacity-providers,GET,,,,,Returns a list of capacity providers in your ac...,capacity_providers,list_capacity_providers,select,$.CapacityProviders,,body,,body
UpdateCapacityProvider,/2025-11-30/capacity-providers/{CapacityProviderName},PUT,CapacityProviderName,,,"CapacityProviderArn,PermissionsConfig,State,VpcConfig",Updates the configuration of an existing capaci...,capacity_providers,update_capacity_provider,update,,,,,
CreateCodeSigningConfig,/2020-04-22/code-signing-configs,POST,,,,AllowedPublishers,Creates a code signing configuration. A [code s...,code_signing_configs,create_code_signing_config,insert,,,,,
DeleteCodeSigningConfig,/2020-04-22/code-signing-configs/{CodeSigningConfigArn},DELETE,CodeSigningConfigArn,,,,Deletes the code signing configuration. You can...,code_signing_configs,delete_code_signing_config,delete,,,,,
GetCodeSigningConfig,/2020-04-22/code-signing-configs/{CodeSigningConfigArn},GET,CodeSigningConfigArn,,,,Returns information about the specified code si...,code_signing_configs,get_code_signing_config,select,,,,,
ListCodeSigningConfigs,/2020-04-22/code-signing-configs,GET,,,,,Returns a list of [code signing configurations]...,code_signing_configs,list_code_signing_configs,select,$.CodeSigningConfigs,,body,,body
UpdateCodeSigningConfig,/2020-04-22/code-signing-configs/{CodeSigningConfigArn},PUT,CodeSigningConfigArn,,,"AllowedPublishers,CodeSigningConfigArn,CodeSigningConfigId,CodeSigningPolicies,LastModified",Update the code signing configuration. Changes ...,code_signing_configs,update_code_signing_config,update,,,,,
GetDurableExecution,/2025-12-01/durable-executions/{DurableExecutionArn},GET,DurableExecutionArn,,,,Retrieves detailed information about a specific...,durable_executions,get_durable_execution,select,,,,,
SendDurableExecutionCallbackFailure,/2025-12-01/durable-execution-callbacks/{CallbackId}/fail,POST,CallbackId,,,,Sends a failure response for a callback operati...,durable_executions,send_durable_execution_callback_failure,exec,,,,,
SendDurableExecutionCallbackHeartbeat,/2025-12-01/durable-execution-callbacks/{CallbackId}/heartbeat,POST,CallbackId,,,,Sends a heartbeat signal for a long-running cal...,durable_executions,send_durable_execution_callback_heartbeat,exec,,,,,
