operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateDeployment,/createDeployment,POST,Creates a deployment for the given workload. De...,,create_deployment,insert,,,,,
DeleteDeployment,/deleteDeployment,POST,Deletes a deployment.,,delete_deployment,delete,,,,,
GetDeployment,/getDeployment,POST,Returns information about the deployment.,,get_deployment,select,,,,,
GetWorkload,/getWorkload,POST,Returns information about a workload.,,get_workload,select,,,,,
GetWorkloadDeploymentPattern,/getWorkloadDeploymentPattern,POST,Returns details for a given workload and deploy...,,get_workload_deployment_pattern,select,,,,,
ListDeploymentEvents,/listDeploymentEvents,POST,Lists the events of a deployment.,,list_deployment_events,select,$.deploymentEvents,,,,
ListDeployments,/listDeployments,POST,Lists the deployments that have been created.,,list_deployments,select,$.deployments,,,,
ListTagsForResource,/tags/{resourceArn},GET,Lists the tags associated with a specified reso...,,list_tags_for_resource,select,,,,,
ListWorkloadDeploymentPatterns,/listWorkloadDeploymentPatterns,POST,Lists the workload deployment patterns for a gi...,,list_workload_deployment_patterns,select,$.workloadDeploymentPatterns,,,,
ListWorkloads,/listWorkloads,POST,Lists the available workload names. You can use...,,list_workloads,select,$.workloads,,,,
TagResource,/tags/{resourceArn},POST,Adds the specified tags to the given resource.,,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes the specified tags from the given resou...,,untag_resource,delete,,,,,
