operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateUser,/user/AssociateUser,POST,,,,"IdentityProvider,InstanceId,Username",Associates the user to an EC2 instance to utili...,user_associations,associate_user,exec,,,,,
CreateLicenseServerEndpoint,/license-server/CreateLicenseServerEndpoint,POST,,,,"IdentityProviderArn,LicenseServerSettings",Creates a network endpoint for the Remote Deskt...,license_server_endpoints,create_license_server_endpoint,insert,,,,,
DeleteLicenseServerEndpoint,/license-server/DeleteLicenseServerEndpoint,POST,,,,"LicenseServerEndpointArn,ServerType",Deletes a `LicenseServerEndpoint` resource.,license_server_endpoints,delete_license_server_endpoint,delete,,,,,
DeregisterIdentityProvider,/identity-provider/DeregisterIdentityProvider,POST,,,,,Deregisters the Active Directory identity provi...,identity_providers,deregister_identity_provider,exec,,,,,
DisassociateUser,/user/DisassociateUser,POST,,,,,Disassociates the user from an EC2 instance pro...,user_associations,disassociate_user,exec,,,,,
ListIdentityProviders,/identity-provider/ListIdentityProviders,POST,,,,,Lists the Active Directory identity providers f...,identity_providers,list_identity_providers,select,$.IdentityProviderSummaries,,,,
ListInstances,/instance/ListInstances,POST,,,,,Lists the EC2 instances providing user-based su...,instances,list_instances,select,$.InstanceSummaries,,,,
ListLicenseServerEndpoints,/license-server/ListLicenseServerEndpoints,POST,,,,,List the Remote Desktop Services (RDS) License ...,license_server_endpoints,list_license_server_endpoints,select,$.LicenseServerEndpoints,,,,
ListProductSubscriptions,/user/ListProductSubscriptions,POST,,,,IdentityProvider,Lists the user-based subscription products avai...,product_subscriptions,list_product_subscriptions,select,$.ProductUserSummaries,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Returns the list of tags for the specified reso...,tags,list_tags_for_resource,select,,,,,
ListUserAssociations,/user/ListUserAssociations,POST,,,,"IdentityProvider,InstanceId",Lists user associations for an identity provider.,user_associations,list_user_associations,select,$.InstanceUserSummaries,,,,
RegisterIdentityProvider,/identity-provider/RegisterIdentityProvider,POST,,,,"IdentityProvider,Product",Registers an identity provider for user-based s...,identity_providers,register_identity_provider,exec,,,,,
StartProductSubscription,/user/StartProductSubscription,POST,,,,"IdentityProvider,Product,Username",Starts a product subscription for a user with t...,product_subscriptions,start_product_subscription,exec,,,,,
StopProductSubscription,/user/StopProductSubscription,POST,,,,"IdentityProvider,Product,Status,Username",Stops a product subscription for a user with th...,product_subscriptions,stop_product_subscription,exec,,,,,
TagResource,/tags/{ResourceArn},PUT,ResourceArn,,,"IdentityProvider,InstanceId,Username",Adds tags to a resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Removes tags from a resource.,tags,untag_resource,exec,,,,,
UpdateIdentityProviderSettings,/identity-provider/UpdateIdentityProviderSettings,POST,,,,UpdateSettings,Updates additional product configuration settin...,identity_providers,update_identity_provider_settings,update,,,,,
