operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateTrackerConsumer,/tracking/v0/trackers/{TrackerName}/consumers,POST,TrackerName,,,"ConsumerArn,TrackerName",Creates an association between a geofence colle...,tracker_consumers,associate_tracker_consumer,exec,,,,,
BatchDeleteDevicePositionHistory,/tracking/v0/trackers/{TrackerName}/delete-positions,POST,TrackerName,,,"DeviceIds,TrackerName",Deletes the position history of one or more dev...,device_position_histories,batch_delete_device_position_history,exec,,,,,
BatchDeleteGeofence,/geofencing/v0/collections/{CollectionName}/delete-geofences,POST,CollectionName,,,"CollectionName,GeofenceIds",Deletes a batch of geofences from a geofence co...,geofences,batch_delete_geofence,exec,,,,,
BatchEvaluateGeofences,/geofencing/v0/collections/{CollectionName}/positions,POST,CollectionName,,,"CollectionName,DevicePositionUpdates",Evaluates device positions against the geofence...,geofences,batch_evaluate_geofences,exec,,,,,
BatchGetDevicePosition,/tracking/v0/trackers/{TrackerName}/get-positions,POST,TrackerName,,,"DeviceIds,TrackerName",Lists the latest device positions for requested...,device_positions,batch_get_device_position,exec,,,,,
BatchPutGeofence,/geofencing/v0/collections/{CollectionName}/put-geofences,POST,CollectionName,,,"CollectionName,Entries",A batch request for storing geofence geometries...,geofences,batch_put_geofence,exec,,,,,
BatchUpdateDevicePosition,/tracking/v0/trackers/{TrackerName}/positions,POST,TrackerName,,,"TrackerName,Updates",Uploads position update data for one or more de...,device_positions,batch_update_device_position,exec,,,,,
CalculateRoute,/routes/v0/calculators/{CalculatorName}/calculate/route,POST,CalculatorName,,,"CalculatorName,DeparturePosition,DestinationPosition",This operation is no longer current and may be ...,routes,calculate_route,exec,,,,,
CalculateRouteMatrix,/routes/v0/calculators/{CalculatorName}/calculate/route-matrix,POST,CalculatorName,,,"CalculatorName,DeparturePositions,DestinationPositions",This operation is no longer current and may be ...,route_matrices,calculate_route_matrix,exec,,,,,
CreateGeofenceCollection,/geofencing/v0/collections,POST,,,,CollectionName,"Creates a geofence collection, which manages an...",geofence_collections,create_geofence_collection,insert,,,,,
CreateKey,/metadata/v0/keys,POST,,,,"KeyName,Restrictions",Creates an API key resource in your Amazon Web ...,keys,create_key,insert,,,,,
CreateMap,/maps/v0/maps,POST,,,,"Configuration,MapName",This operation is no longer current and may be ...,maps,create_map,insert,,,,,
CreatePlaceIndex,/places/v0/indexes,POST,,,,"DataSource,IndexName",This operation is no longer current and may be ...,place_indexes,create_place_index,insert,,,,,
CreateRouteCalculator,/routes/v0/calculators,POST,,,,"CalculatorName,DataSource",This operation is no longer current and may be ...,route_calculators,create_route_calculator,insert,,,,,
CreateTracker,/tracking/v0/trackers,POST,,,,TrackerName,Creates a tracker resource in your Amazon Web S...,trackers,create_tracker,insert,,,,,
DeleteGeofenceCollection,/geofencing/v0/collections/{CollectionName},DELETE,CollectionName,,,,Deletes a geofence collection from your Amazon ...,geofence_collections,delete_geofence_collection,delete,,,,,
DeleteKey,/metadata/v0/keys/{KeyName},DELETE,KeyName,,,,Deletes the specified API key. The API key must...,keys,delete_key,delete,,,,,
DeleteMap,/maps/v0/maps/{MapName},DELETE,MapName,,,,This operation is no longer current and may be ...,maps,delete_map,delete,,,,,
DeletePlaceIndex,/places/v0/indexes/{IndexName},DELETE,IndexName,,,,This operation is no longer current and may be ...,place_indexes,delete_place_index,delete,,,,,
DeleteRouteCalculator,/routes/v0/calculators/{CalculatorName},DELETE,CalculatorName,,,,This operation is no longer current and may be ...,route_calculators,delete_route_calculator,delete,,,,,
DeleteTracker,/tracking/v0/trackers/{TrackerName},DELETE,TrackerName,,,,Deletes a tracker resource from your Amazon Web...,trackers,delete_tracker,delete,,,,,
DescribeGeofenceCollection,/geofencing/v0/collections/{CollectionName},GET,CollectionName,,,,Retrieves the geofence collection details.,geofence_collections,describe_geofence_collection,select,,,,,
DescribeKey,/metadata/v0/keys/{KeyName},GET,KeyName,,,,Retrieves the API key resource details. For mor...,keys,describe_key,select,,,,,
DescribeMap,/maps/v0/maps/{MapName},GET,MapName,,,,This operation is no longer current and may be ...,maps,describe_map,select,,,,,
DescribePlaceIndex,/places/v0/indexes/{IndexName},GET,IndexName,,,,This operation is no longer current and may be ...,place_indexes,describe_place_index,select,,,,,
DescribeRouteCalculator,/routes/v0/calculators/{CalculatorName},GET,CalculatorName,,,,This operation is no longer current and may be ...,route_calculators,describe_route_calculator,select,,,,,
DescribeTracker,/tracking/v0/trackers/{TrackerName},GET,TrackerName,,,,Retrieves the tracker resource details.,trackers,describe_tracker,select,,,,,
DisassociateTrackerConsumer,/tracking/v0/trackers/{TrackerName}/consumers/{ConsumerArn},DELETE,"ConsumerArn,TrackerName",,,,Removes the association between a tracker resou...,tracker_consumers,disassociate_tracker_consumer,delete,,,,,
ForecastGeofenceEvents,/geofencing/v0/collections/{CollectionName}/forecast-geofence-events,POST,CollectionName,,,"CollectionName,DeviceState",This action forecasts future geofence events th...,geofence_events,forecast_geofence_events,exec,$.ForecastedEvents,,,,
GetDevicePosition,/tracking/v0/trackers/{TrackerName}/devices/{DeviceId}/positions/latest,GET,"DeviceId,TrackerName",,,,Retrieves a device's most recent position accor...,device_positions,get_device_position,select,,,,,
GetDevicePositionHistory,/tracking/v0/trackers/{TrackerName}/devices/{DeviceId}/list-positions,POST,"DeviceId,TrackerName",,,"DeviceId,TrackerName",Retrieves the device position history from a tr...,device_position_histories,get_device_position_history,select,$.DevicePositions,,,,
