operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddTags,/#X-Amz-Target=AmazonML_20141212.AddTags,POST,,,,"ResourceId,ResourceType,Tags","Adds one or more tags to an object, up to a lim...",tags,add_tags,exec,,,,,
CreateBatchPrediction,/#X-Amz-Target=AmazonML_20141212.CreateBatchPrediction,POST,,,,"BatchPredictionDataSourceId,BatchPredictionId,MLModelId,OutputUri",Generates predictions for a group of observatio...,batch_predictions,create_batch_prediction,insert,,,,,
CreateDataSourceFromRDS,/#X-Amz-Target=AmazonML_20141212.CreateDataSourceFromRDS,POST,,,,"DataSourceId,RDSData,RoleARN",Creates a `DataSource` object from an [ Amazon ...,data_sources,create_data_source_from_rds,exec,,,,,
CreateDataSourceFromRedshift,/#X-Amz-Target=AmazonML_20141212.CreateDataSourceFromRedshift,POST,,,,"DataSourceId,DataSpec,RoleARN",Creates a `DataSource` from a database hosted o...,data_sources,create_data_source_from_redshift,exec,,,,,
CreateDataSourceFromS3,/#X-Amz-Target=AmazonML_20141212.CreateDataSourceFromS3,POST,,,,"DataSourceId,DataSpec",Creates a `DataSource` object. A `DataSource` r...,data_sources,create_data_source_from_s3,insert,,,,,
CreateEvaluation,/#X-Amz-Target=AmazonML_20141212.CreateEvaluation,POST,,,,"EvaluationDataSourceId,EvaluationId,MLModelId",Creates a new `Evaluation` of an `MLModel`. An ...,evaluations,create_evaluation,insert,,,,,
CreateMLModel,/#X-Amz-Target=AmazonML_20141212.CreateMLModel,POST,,,,"MLModelId,MLModelType,TrainingDataSourceId",Creates a new `MLModel` using the `DataSource` ...,ml_models,create_ml_model,insert,,,,,
CreateRealtimeEndpoint,/#X-Amz-Target=AmazonML_20141212.CreateRealtimeEndpoint,POST,,,,MLModelId,Creates a real-time endpoint for the `MLModel`....,ml_models,create_realtime_endpoint,exec,,,,,
DeleteBatchPrediction,/#X-Amz-Target=AmazonML_20141212.DeleteBatchPrediction,POST,,,,BatchPredictionId,Assigns the DELETED status to a `BatchPredictio...,batch_predictions,delete_batch_prediction,delete,,,,,
DeleteDataSource,/#X-Amz-Target=AmazonML_20141212.DeleteDataSource,POST,,,,DataSourceId,"Assigns the DELETED status to a `DataSource`, r...",data_sources,delete_data_source,delete,,,,,
DeleteEvaluation,/#X-Amz-Target=AmazonML_20141212.DeleteEvaluation,POST,,,,EvaluationId,Assigns the `DELETED` status to an `Evaluation`...,evaluations,delete_evaluation,delete,,,,,
DeleteMLModel,/#X-Amz-Target=AmazonML_20141212.DeleteMLModel,POST,,,,MLModelId,"Assigns the `DELETED` status to an `MLModel`, r...",ml_models,delete_ml_model,delete,,,,,
DeleteRealtimeEndpoint,/#X-Amz-Target=AmazonML_20141212.DeleteRealtimeEndpoint,POST,,,,MLModelId,Deletes a real time endpoint of an `MLModel`.,ml_models,delete_realtime_endpoint,exec,,,,,
DeleteTags,/#X-Amz-Target=AmazonML_20141212.DeleteTags,POST,,,,"ResourceId,ResourceType,TagKeys",Deletes the specified tags associated with an M...,tags,delete_tags,exec,,,,,
