operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AddBridgeOutputs,/v1/bridges/{BridgeArn}/outputs,POST,BridgeArn,,,"BridgeArn,Outputs",Adds outputs to an existing bridge.,bridge_outputs,add_bridge_outputs,exec,,,,,
AddBridgeSources,/v1/bridges/{BridgeArn}/sources,POST,BridgeArn,,,"BridgeArn,Sources",Adds sources to an existing bridge.,bridge_sources,add_bridge_sources,exec,,,,,
AddFlowMediaStreams,/v1/flows/{FlowArn}/mediaStreams,POST,FlowArn,,,"FlowArn,MediaStreams",Adds media streams to an existing flow. After y...,flow_media_streams,add_flow_media_streams,exec,,,,,
AddFlowOutputs,/v1/flows/{FlowArn}/outputs,POST,FlowArn,,,"BridgeArn,Outputs",Adds outputs to an existing flow. You can creat...,flow_outputs,add_flow_outputs,exec,,,,,
AddFlowSources,/v1/flows/{FlowArn}/source,POST,FlowArn,,,"BridgeArn,Sources",Adds sources to a flow.,flow_sources,add_flow_sources,insert,,,,,
AddFlowVpcInterfaces,/v1/flows/{FlowArn}/vpcInterfaces,POST,FlowArn,,,"FlowArn,VpcInterfaces",Adds VPC interfaces to a flow.,flow_vpc_interfaces,add_flow_vpc_interfaces,exec,,,,,
BatchGetRouterInput,/v1/routerInputs,GET,,,arns,,Retrieves information about multiple router inp...,router_inputs,batch_get_router_input,exec,,,,,
BatchGetRouterNetworkInterface,/v1/routerNetworkInterfaces,GET,,,arns,,Retrieves information about multiple router net...,router_network_interfaces,batch_get_router_network_interface,exec,,,,,
BatchGetRouterOutput,/v1/routerOutputs,GET,,,arns,,Retrieves information about multiple router out...,router_outputs,batch_get_router_output,exec,,,,,
CreateBridge,/v1/bridges,POST,,,,"BridgeArn,BridgeState,Name,PlacementArn",Creates a new bridge. The request must include ...,bridges,create_bridge,insert,,,,,
CreateFlow,/v1/flows,POST,,,,Name,Creates a new flow. The request must include on...,flows,create_flow,insert,,,,,
CreateGateway,/v1/gateways,POST,,,,"EgressCidrBlocks,Name,Networks",Creates a new gateway. The request must include...,gateways,create_gateway,insert,,,,,
CreateRouterInput,/v1/routerInput,POST,,,,"Configuration,MaximumBitrate,Name,RoutingScope,Tier",Creates a new router input in AWS Elemental Med...,router_inputs,create_router_input,insert,,,,,
CreateRouterNetworkInterface,/v1/routerNetworkInterface,POST,,,,"Configuration,MaximumBitrate,Name,RoutingScope,Tier",Creates a new router network interface in AWS E...,router_network_interfaces,create_router_network_interface,insert,,,,,
CreateRouterOutput,/v1/routerOutput,POST,,,,"Configuration,MaximumBitrate,Name,RoutingScope,Tier",Creates a new router output in AWS Elemental Me...,router_outputs,create_router_output,insert,,,,,
DeleteBridge,/v1/bridges/{BridgeArn},DELETE,BridgeArn,,,,Deletes a bridge. Before you can delete a bridg...,bridges,delete_bridge,delete,,,,,
DeleteFlow,/v1/flows/{FlowArn},DELETE,FlowArn,,,,"Deletes a flow. Before you can delete a flow, y...",flows,delete_flow,delete,,,,,
DeleteGateway,/v1/gateways/{GatewayArn},DELETE,GatewayArn,,,,Deletes a gateway. Before you can delete a gate...,gateways,delete_gateway,delete,,,,,
DeleteRouterInput,/v1/routerInput/{Arn},DELETE,Arn,,,,Deletes a router input from AWS Elemental Media...,router_inputs,delete_router_input,delete,,,,,
DeleteRouterNetworkInterface,/v1/routerNetworkInterface/{Arn},DELETE,Arn,,,,Deletes a router network interface from AWS Ele...,router_network_interfaces,delete_router_network_interface,delete,,,,,
