operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DescribeApplicationState,/#X-Amz-Target=AWSMigrationHub.DescribeApplicationState,POST,,,,ApplicationId,Gets the migration status of an application.,application_states,describe_application_state,select,,,,,
ListApplicationStates,/#X-Amz-Target=AWSMigrationHub.ListApplicationStates,POST,,,,,Lists all the migration statuses for your appli...,application_states,list_application_states,select,$.ApplicationStateList,,,,
NotifyApplicationState,/#X-Amz-Target=AWSMigrationHub.NotifyApplicationState,POST,,,,"ApplicationId,Status",Sets the migration state of an application. For...,application_states,notify_application_state,exec,,,,,
AssociateCreatedArtifact,/#X-Amz-Target=AWSMigrationHub.AssociateCreatedArtifact,POST,,,,"CreatedArtifact,MigrationTaskName,ProgressUpdateStream",Associates a created artifact of an AWS cloud r...,created_artifacts,associate_created_artifact,exec,,,,,
DisassociateCreatedArtifact,/#X-Amz-Target=AWSMigrationHub.DisassociateCreatedArtifact,POST,,,,"CreatedArtifactName,MigrationTaskName,ProgressUpdateStream",Disassociates a created artifact of an AWS reso...,created_artifacts,disassociate_created_artifact,exec,,,,,
ListCreatedArtifacts,/#X-Amz-Target=AWSMigrationHub.ListCreatedArtifacts,POST,,,,"MigrationTaskName,ProgressUpdateStream",Lists the created artifacts attached to a given...,created_artifacts,list_created_artifacts,select,$.CreatedArtifactList,,,,
AssociateDiscoveredResource,/#X-Amz-Target=AWSMigrationHub.AssociateDiscoveredResource,POST,,,,"DiscoveredResource,MigrationTaskName,ProgressUpdateStream",Associates a discovered resource ID from Applic...,discovered_resources,associate_discovered_resource,exec,,,,,
DisassociateDiscoveredResource,/#X-Amz-Target=AWSMigrationHub.DisassociateDiscoveredResource,POST,,,,"ConfigurationId,MigrationTaskName,ProgressUpdateStream",Disassociate an Application Discovery Service d...,discovered_resources,disassociate_discovered_resource,exec,,,,,
ListDiscoveredResources,/#X-Amz-Target=AWSMigrationHub.ListDiscoveredResources,POST,,,,"MigrationTaskName,ProgressUpdateStream",Lists discovered resources associated with the ...,discovered_resources,list_discovered_resources,select,$.DiscoveredResourceList,,,,
DescribeMigrationTask,/#X-Amz-Target=AWSMigrationHub.DescribeMigrationTask,POST,,,,"MigrationTaskName,ProgressUpdateStream",Retrieves a list of all attributes associated w...,migration_tasks,describe_migration_task,select,,,,,
ListMigrationTaskUpdates,/#X-Amz-Target=AWSMigrationHub.ListMigrationTaskUpdates,POST,,,,"MigrationTaskName,ProgressUpdateStream",This is a paginated API that returns all the mi...,migration_task_updates,list_migration_task_updates,select,$.MigrationTaskUpdateList,,,,
ImportMigrationTask,/#X-Amz-Target=AWSMigrationHub.ImportMigrationTask,POST,,,,"MigrationTaskName,ProgressUpdateStream",Registers a new migration task which represents...,migration_tasks,import_migration_task,exec,,,,,
ListMigrationTasks,/#X-Amz-Target=AWSMigrationHub.ListMigrationTasks,POST,,,,,"Lists all, or filtered by resource name, migrat...",migration_tasks,list_migration_tasks,select,$.MigrationTaskSummaryList,,,,
NotifyMigrationTaskState,/#X-Amz-Target=AWSMigrationHub.NotifyMigrationTaskState,POST,,,,"MigrationTaskName,NextUpdateSeconds,ProgressUpdateStream,Task,UpdateDateTime","Notifies Migration Hub of the current status, p...",migration_tasks,notify_migration_task_state,exec,,,,,
CreateProgressUpdateStream,/#X-Amz-Target=AWSMigrationHub.CreateProgressUpdateStream,POST,,,,ProgressUpdateStreamName,Creates a progress update stream which is an AW...,progress_update_streams,create_progress_update_stream,insert,,,,,
DeleteProgressUpdateStream,/#X-Amz-Target=AWSMigrationHub.DeleteProgressUpdateStream,POST,,,,ProgressUpdateStreamName,"Deletes a progress update stream, including all...",progress_update_streams,delete_progress_update_stream,delete,,,,,
ListProgressUpdateStreams,/#X-Amz-Target=AWSMigrationHub.ListProgressUpdateStreams,POST,,,,,Lists progress update streams associated with t...,progress_update_streams,list_progress_update_streams,select,$.ProgressUpdateStreamSummaryList,,,,
PutResourceAttributes,/#X-Amz-Target=AWSMigrationHub.PutResourceAttributes,POST,,,,"MigrationTaskName,ProgressUpdateStream,ResourceAttributeList",Provides identifying details of the resource be...,migration_tasks,put_resource_attributes,exec,,,,,
AssociateSourceResource,/#X-Amz-Target=AWSMigrationHub.AssociateSourceResource,POST,,,,"MigrationTaskName,ProgressUpdateStream,SourceResource",Associates a source resource with a migration t...,source_resources,associate_source_resource,exec,,,,,
DisassociateSourceResource,/#X-Amz-Target=AWSMigrationHub.DisassociateSourceResource,POST,,,,"MigrationTaskName,ProgressUpdateStream,SourceResourceName",Removes the association between a source resour...,source_resources,disassociate_source_resource,exec,,,,,
ListSourceResources,/#X-Amz-Target=AWSMigrationHub.ListSourceResources,POST,,,,"MigrationTaskName,ProgressUpdateStream",Lists all the source resource that are associat...,source_resources,list_source_resources,select,$.SourceResourceList,,,,
