operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateApplication,/environments/{EnvironmentIdentifier}/applications,POST,EnvironmentIdentifier,,,"EnvironmentIdentifier,Name,ProxyType,VpcId",Creates an Amazon Web Services Migration Hub Re...,applications,create_application,insert,,,,,
CreateEnvironment,/environments,POST,,,,"Name,NetworkFabricType",Creates an Amazon Web Services Migration Hub Re...,environments,create_environment,insert,,,,,
CreateRoute,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/routes,POST,"ApplicationIdentifier,EnvironmentIdentifier",,,"ApplicationIdentifier,EnvironmentIdentifier,RouteType,ServiceIdentifier",Creates an Amazon Web Services Migration Hub Re...,routes,create_route,insert,,,,,
CreateService,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/services,POST,"ApplicationIdentifier,EnvironmentIdentifier",,,"ApplicationIdentifier,EndpointType,EnvironmentIdentifier,Name",Creates an Amazon Web Services Migration Hub Re...,services,create_service,insert,,,,,
DeleteApplication,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier},DELETE,"ApplicationIdentifier,EnvironmentIdentifier",,,,Deletes an Amazon Web Services Migration Hub Re...,applications,delete_application,delete,,,,,
DeleteEnvironment,/environments/{EnvironmentIdentifier},DELETE,EnvironmentIdentifier,,,,Deletes an Amazon Web Services Migration Hub Re...,environments,delete_environment,delete,,,,,
DeleteResourcePolicy,/resourcepolicy/{Identifier},DELETE,Identifier,,,,Deletes the resource policy set for the environ...,resource_policies,delete_resource_policy,delete,,,,,
DeleteRoute,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/routes/{RouteIdentifier},DELETE,"ApplicationIdentifier,EnvironmentIdentifier,RouteIdentifier",,,,Deletes an Amazon Web Services Migration Hub Re...,routes,delete_route,delete,,,,,
DeleteService,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/services/{ServiceIdentifier},DELETE,"ApplicationIdentifier,EnvironmentIdentifier,ServiceIdentifier",,,,Deletes an Amazon Web Services Migration Hub Re...,services,delete_service,delete,,,,,
GetApplication,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier},GET,"ApplicationIdentifier,EnvironmentIdentifier",,,,Gets an Amazon Web Services Migration Hub Refac...,applications,get_application,select,,,,,
GetEnvironment,/environments/{EnvironmentIdentifier},GET,EnvironmentIdentifier,,,,Gets an Amazon Web Services Migration Hub Refac...,environments,get_environment,select,,,,,
GetResourcePolicy,/resourcepolicy/{Identifier},GET,Identifier,,,,Gets the resource-based permission policy that ...,resource_policies,get_resource_policy,select,,,,,
GetRoute,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/routes/{RouteIdentifier},GET,"ApplicationIdentifier,EnvironmentIdentifier,RouteIdentifier",,,,Gets an Amazon Web Services Migration Hub Refac...,routes,get_route,select,,,,,
GetService,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/services/{ServiceIdentifier},GET,"ApplicationIdentifier,EnvironmentIdentifier,ServiceIdentifier",,,,Gets an Amazon Web Services Migration Hub Refac...,services,get_service,select,,,,,
ListApplications,/environments/{EnvironmentIdentifier}/applications,GET,EnvironmentIdentifier,,,,Lists all the Amazon Web Services Migration Hub...,applications,list_applications,select,$.ApplicationSummaryList,,,,
ListEnvironmentVpcs,/environments/{EnvironmentIdentifier}/vpcs,GET,EnvironmentIdentifier,,,,Lists all Amazon Web Services Migration Hub Ref...,environment_vpcs,list_environment_vpcs,select,$.EnvironmentVpcList,,,,
ListEnvironments,/environments,GET,,,,,Lists Amazon Web Services Migration Hub Refacto...,environments,list_environments,select,$.EnvironmentSummaryList,,,,
ListRoutes,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/routes,GET,"ApplicationIdentifier,EnvironmentIdentifier",,,,Lists all the Amazon Web Services Migration Hub...,routes,list_routes,select,$.RouteSummaryList,,,,
ListServices,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/services,GET,"ApplicationIdentifier,EnvironmentIdentifier",,,,Lists all the Amazon Web Services Migration Hub...,services,list_services,select,$.ServiceSummaryList,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Lists the tags of a resource. The caller accoun...,tags,list_tags_for_resource,select,,,,,
PutResourcePolicy,/resourcepolicy,PUT,,,,"Policy,ResourceArn",Attaches a resource-based permission policy to ...,resource_policies,put_resource_policy,replace,,,,,
TagResource,/tags/{ResourceArn},POST,ResourceArn,,,,Removes the tags of a given resource. Tags are ...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Adds to or modifies the tags of the given resou...,tags,untag_resource,exec,,,,,
UpdateRoute,/environments/{EnvironmentIdentifier}/applications/{ApplicationIdentifier}/routes/{RouteIdentifier},PATCH,"ApplicationIdentifier,EnvironmentIdentifier,RouteIdentifier",,,,Updates an Amazon Web Services Migration Hub Re...,routes,update_route,update,,,,,
