operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateTemplate,/template,POST,Creates a migration workflow template.,,create_template,insert,,,,,
CreateWorkflow,/migrationworkflow/,POST,Create a workflow to orchestrate your migrations.,,create_workflow,insert,,,,,
CreateWorkflowStep,/workflowstep,POST,Create a step in the migration workflow.,,create_workflow_step,insert,,,,,
CreateWorkflowStepGroup,/workflowstepgroups,POST,Create a step group in a migration workflow.,,create_workflow_step_group,insert,,,,,
DeleteTemplate,/template/{id},DELETE,Deletes a migration workflow template.,,delete_template,delete,,,,,
DeleteWorkflow,/migrationworkflow/{id},DELETE,Delete a migration workflow. You must pause a r...,,delete_workflow,delete,,,,,
DeleteWorkflowStep,/workflowstep/{id},DELETE,Delete a step in a migration workflow. Pause th...,,delete_workflow_step,delete,,,,,
DeleteWorkflowStepGroup,/workflowstepgroup/{id},DELETE,Delete a step group in a migration workflow.,,delete_workflow_step_group,delete,,,,,
GetTemplate,/migrationworkflowtemplate/{id},GET,Get the template you want to use for creating a...,,get_template,select,,,,,
GetTemplateStep,/templatestep/{id},GET,Get a specific step in a template.,,get_template_step,select,,,,,
GetTemplateStepGroup,/templates/{templateId}/stepgroups/{id},GET,Get a step group in a template.,,get_template_step_group,select,,,,,
GetWorkflow,/migrationworkflow/{id},GET,Get migration workflow.,,get_workflow,select,,,,,
GetWorkflowStep,/workflowstep/{id},GET,Get a step in the migration workflow.,,get_workflow_step,select,,,,,
GetWorkflowStepGroup,/workflowstepgroup/{id},GET,Get the step group of a migration workflow.,,get_workflow_step_group,select,,,,,
ListPlugins,/plugins,GET,List AWS Migration Hub Orchestrator plugins.,,list_plugins,select,$.plugins,,,,
ListTagsForResource,/tags/{resourceArn},GET,List the tags added to a resource.,,list_tags_for_resource,select,,,,,
ListTemplateStepGroups,/templatestepgroups/{templateId},GET,List the step groups in a template.,,list_template_step_groups,select,$.templateStepGroupSummary,,,,
ListTemplateSteps,/templatesteps,GET,List the steps in a template.,,list_template_steps,select,$.templateStepSummaryList,,,,
ListTemplates,/migrationworkflowtemplates,GET,List the templates available in Migration Hub O...,,list_templates,select,$.templateSummary,,,,
ListWorkflowStepGroups,/workflowstepgroups,GET,List the step groups in a migration workflow.,,list_workflow_step_groups,select,$.workflowStepGroupsSummary,,,,
ListWorkflowSteps,/workflow/{workflowId}/workflowstepgroups/{stepGroupId}/workflowsteps,GET,List the steps in a workflow.,,list_workflow_steps,select,$.workflowStepsSummary,,,,
ListWorkflows,/migrationworkflows,GET,List the migration workflows.,,list_workflows,select,$.migrationWorkflowSummary,,,,
RetryWorkflowStep,/retryworkflowstep/{id},POST,Retry a failed step in a migration workflow.,,retry_workflow_step,exec,,,,,
StartWorkflow,/migrationworkflow/{id}/start,POST,Start a migration workflow.,,start_workflow,exec,,,,,
StopWorkflow,/migrationworkflow/{id}/stop,POST,Stop an ongoing migration workflow.,,stop_workflow,exec,,,,,
TagResource,/tags/{resourceArn},POST,Tag a resource by specifying its Amazon Resourc...,,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Deletes the tags for a resource.,,untag_resource,delete,,,,,
UpdateTemplate,/template/{id},POST,Updates a migration workflow template.,,update_template,update,,,,,
UpdateWorkflow,/migrationworkflow/{id},POST,Update a migration workflow.,,update_workflow,update,,,,,
UpdateWorkflowStep,/workflowstep/{id},POST,Update a step in a migration workflow.,,update_workflow_step,update,,,,,
UpdateWorkflowStepGroup,/workflowstepgroup/{id},POST,Update the step group in a migration workflow.,,update_workflow_step_group,update,,,,,
