operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AcceptNetworkFirewallTransitGatewayAttachment,/#X-Amz-Target=NetworkFirewall_20201112.AcceptNetworkFirewallTransitGatewayAttachment,POST,Accepts a transit gateway attachment request fo...,network_firewall_transit_gateway_attachments,accept_network_firewall_transit_gateway_attachment,exec,,,,,
AssociateAvailabilityZones,/#X-Amz-Target=NetworkFirewall_20201112.AssociateAvailabilityZones,POST,Associates the specified Availability Zones wit...,availability_zones,associate_availability_zones,exec,,,,,
AssociateFirewallPolicy,/#X-Amz-Target=NetworkFirewall_20201112.AssociateFirewallPolicy,POST,Associates a FirewallPolicy to a Firewall. A fi...,firewalls,associate_firewall_policy,exec,,,,,
AssociateSubnets,/#X-Amz-Target=NetworkFirewall_20201112.AssociateSubnets,POST,Associates the specified subnets in the Amazon ...,subnets,associate_subnets,exec,,,,,
AttachRuleGroupsToProxyConfiguration,/#X-Amz-Target=NetworkFirewall_20201112.AttachRuleGroupsToProxyConfiguration,POST,Attaches ProxyRuleGroup resources to a ProxyCon...,proxy_configurations,attach_rule_groups_to_proxy_configuration,exec,,,,,
CreateFirewall,/#X-Amz-Target=NetworkFirewall_20201112.CreateFirewall,POST,Creates an Network Firewall Firewall and accomp...,firewalls,create_firewall,insert,,,,,
CreateFirewallPolicy,/#X-Amz-Target=NetworkFirewall_20201112.CreateFirewallPolicy,POST,Creates the firewall policy for the firewall ac...,firewall_policies,create_firewall_policy,insert,,,,,
CreateProxy,/#X-Amz-Target=NetworkFirewall_20201112.CreateProxy,POST,Creates an Network Firewall Proxy Attaches a Pr...,proxies,create_proxy,insert,,,,,
CreateProxyConfiguration,/#X-Amz-Target=NetworkFirewall_20201112.CreateProxyConfiguration,POST,Creates an Network Firewall ProxyConfiguration ...,proxy_configurations,create_proxy_configuration,insert,,,,,
CreateProxyRuleGroup,/#X-Amz-Target=NetworkFirewall_20201112.CreateProxyRuleGroup,POST,Creates an Network Firewall ProxyRuleGroup Coll...,proxy_rule_groups,create_proxy_rule_group,insert,,,,,
CreateProxyRules,/#X-Amz-Target=NetworkFirewall_20201112.CreateProxyRules,POST,Creates Network Firewall ProxyRule resources. A...,proxy_rules,create_proxy_rules,insert,,,,,
CreateRuleGroup,/#X-Amz-Target=NetworkFirewall_20201112.CreateRuleGroup,POST,Creates the specified stateless or stateful rul...,rule_groups,create_rule_group,insert,,,,,
CreateTLSInspectionConfiguration,/#X-Amz-Target=NetworkFirewall_20201112.CreateTLSInspectionConfiguration,POST,Creates an Network Firewall TLS inspection conf...,tls_inspection_configurations,create_tls_inspection_configuration,insert,,,,,
CreateVpcEndpointAssociation,/#X-Amz-Target=NetworkFirewall_20201112.CreateVpcEndpointAssociation,POST,Creates a firewall endpoint for an Network Fire...,vpc_endpoint_associations,create_vpc_endpoint_association,insert,,,,,
DeleteFirewall,/#X-Amz-Target=NetworkFirewall_20201112.DeleteFirewall,POST,Deletes the specified Firewall and its Firewall...,firewalls,delete_firewall,delete,,,,,
DeleteFirewallPolicy,/#X-Amz-Target=NetworkFirewall_20201112.DeleteFirewallPolicy,POST,Deletes the specified FirewallPolicy.,firewall_policies,delete_firewall_policy,delete,,,,,
DeleteNetworkFirewallTransitGatewayAttachment,/#X-Amz-Target=NetworkFirewall_20201112.DeleteNetworkFirewallTransitGatewayAttachment,POST,Deletes a transit gateway attachment from a Net...,network_firewall_transit_gateway_attachments,delete_network_firewall_transit_gateway_attachment,delete,,,,,
DeleteProxy,/#X-Amz-Target=NetworkFirewall_20201112.DeleteProxy,POST,Deletes the specified Proxy. Detaches a Proxy c...,proxies,delete_proxy,delete,,,,,
