operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AssociateChannel,/channels/associate/{arn},POST,Associates a delivery [Channel](https://docs.aw...,channels,associate_channel,exec,,,,,
AssociateManagedNotificationAccountContact,/contacts/associate-managed-notification/{contactIdentifier},PUT,Associates an Account Contact with a particular...,managed_notification_account_contacts,associate_managed_notification_account_contact,exec,,,,,
AssociateManagedNotificationAdditionalChannel,/channels/associate-managed-notification/{channelArn},PUT,Associates an additional Channel with a particu...,managed_notification_additional_channels,associate_managed_notification_additional_channel,exec,,,,,
AssociateOrganizationalUnit,/organizational-units/associate/{organizationalUnitId},POST,Associates an organizational unit with a notifi...,organizational_units,associate_organizational_unit,exec,,,,,
CreateEventRule,/event-rules,POST,Creates an [ `EventRule` ](https://docs.aws.ama...,event_rules,create_event_rule,insert,,,,,
CreateNotificationConfiguration,/notification-configurations,POST,Creates a new `NotificationConfiguration`.,notification_configurations,create_notification_configuration,insert,,,,,
DeleteEventRule,/event-rules/{arn},DELETE,Deletes an `EventRule`.,event_rules,delete_event_rule,delete,,,,,
DeleteNotificationConfiguration,/notification-configurations/{arn},DELETE,Deletes a `NotificationConfiguration`.,notification_configurations,delete_notification_configuration,delete,,,,,
DeregisterNotificationHub,/notification-hubs/{notificationHubRegion},DELETE,Deregisters a `NotificationConfiguration` in th...,notification_hubs,deregister_notification_hub,delete,,,,,
DisableNotificationsAccessForOrganization,/organization/access,DELETE,Disables service trust between User Notificatio...,notifications_access_for_organization,disable_notifications_access_for_organization,delete,,,,,
DisassociateChannel,/channels/disassociate/{arn},POST,Disassociates a Channel from a specified `Notif...,channels,disassociate_channel,exec,,,,,
DisassociateManagedNotificationAccountContact,/contacts/disassociate-managed-notification/{contactIdentifier},PUT,Disassociates an Account Contact with a particu...,managed_notification_account_contacts,disassociate_managed_notification_account_contact,exec,,,,,
DisassociateManagedNotificationAdditionalChannel,/channels/disassociate-managed-notification/{channelArn},PUT,Disassociates an additional Channel from a part...,managed_notification_additional_channels,disassociate_managed_notification_additional_channel,exec,,,,,
DisassociateOrganizationalUnit,/organizational-units/disassociate/{organizationalUnitId},POST,Removes the association between an organization...,organizational_units,disassociate_organizational_unit,exec,,,,,
EnableNotificationsAccessForOrganization,/organization/access,POST,Enables service trust between User Notification...,notifications_access_for_organization,enable_notifications_access_for_organization,exec,,,,,
GetEventRule,/event-rules/{arn},GET,Returns a specified `EventRule`.,event_rule,get_event_rule,select,,,,,
GetManagedNotificationChildEvent,/managed-notification-child-events/{arn},GET,Returns the child event of a specific given `Ma...,managed_notification_child_event,get_managed_notification_child_event,select,,,,,
GetManagedNotificationConfiguration,/managed-notification-configurations/{arn},GET,Returns a specified `ManagedNotificationConfigu...,managed_notification_configuration,get_managed_notification_configuration,select,,,,,
GetManagedNotificationEvent,/managed-notification-events/{arn},GET,Returns a specified `ManagedNotificationEvent`.,managed_notification_event,get_managed_notification_event,select,,,,,
GetNotificationConfiguration,/notification-configurations/{arn},GET,Returns a specified `NotificationConfiguration`.,notification_configuration,get_notification_configuration,select,,,,,
GetNotificationEvent,/notification-events/{arn},GET,Returns a specified `NotificationEvent`. User N...,notification_event,get_notification_event,select,,,,,
GetNotificationsAccessForOrganization,/organization/access,GET,Returns the AccessStatus of Service Trust Enabl...,notifications_access_for_organization,get_notifications_access_for_organization,select,,,,,
ListChannels,/channels,GET,Returns a list of Channels for a `NotificationC...,channels,list_channels,select,$.channels,,,,
ListEventRules,/event-rules,GET,Returns a list of `EventRules` according to spe...,event_rules,list_event_rules,select,$.eventRules,,,,
