operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListAttachedLinks,/ListAttachedLinks,POST,,,,SinkIdentifier,Returns a list of source account links that are...,attached_links,list_attached_links,select,$.Items,,,,
GetLink,/GetLink,POST,,,,Identifier,Returns complete information about one link. To...,links,get_link,select,,,,,
CreateLink,/CreateLink,POST,,,,"LabelTemplate,ResourceTypes,SinkIdentifier",Creates a link between a source account and a s...,links,create_link,insert,,,,,
DeleteLink,/DeleteLink,POST,,,,Identifier,Deletes a link between a monitoring account sin...,links,delete_link,delete,,,,,
ListLinks,/ListLinks,POST,,,,SinkIdentifier,Use this operation in a source account to retur...,links,list_links,select,$.Items,,,,
UpdateLink,/UpdateLink,POST,,,,"Identifier,ResourceTypes",Use this operation to change what types of data...,links,update_link,update,,,,,
GetSink,/GetSink,POST,,,,Identifier,Returns complete information about one monitori...,sinks,get_sink,select,,,,,
GetSinkPolicy,/GetSinkPolicy,POST,,,,"LabelTemplate,ResourceTypes,SinkIdentifier",Returns the current sink policy attached to thi...,sink_policies,get_sink_policy,select,,,,,
PutSinkPolicy,/PutSinkPolicy,POST,,,,"Policy,SinkIdentifier",Creates or updates the resource policy that gra...,sink_policies,put_sink_policy,replace,,,,,
CreateSink,/CreateSink,POST,,,,Name,Use this to create a _sink_ in the current acco...,sinks,create_sink,insert,,,,,
DeleteSink,/DeleteSink,POST,,,,Identifier,Deletes a sink. You must delete all links to a ...,sinks,delete_sink,delete,,,,,
ListSinks,/ListSinks,POST,,,,SinkIdentifier,Use this operation in a monitoring account to r...,sinks,list_sinks,select,$.Items,,,,
ListTagsForResource,/tags/{ResourceArn},GET,ResourceArn,,,,Displays the tags associated with a resource. B...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},PUT,ResourceArn,,,"LabelTemplate,ResourceTypes,SinkIdentifier",Assigns one or more tags (key-value pairs) to t...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,ResourceArn,,tagKeys,,Removes one or more tags from the specified res...,tags,untag_resource,exec,,,,,
