operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
AcceptMarketplaceRegistration,/#X-Amz-Target=Odb.AcceptMarketplaceRegistration,POST,,,,marketplaceRegistrationToken,Registers the Amazon Web Services Marketplace t...,marketplace_registrations,accept_marketplace_registration,exec,,,,,
AssociateIamRoleToResource,/#X-Amz-Target=Odb.AssociateIamRoleToResource,POST,,,,"awsIntegration,iamRoleArn,resourceArn",Associates an Amazon Web Services Identity and ...,iam_role_associations,associate_iam_role_to_resource,exec,,,,,
CreateCloudAutonomousVmCluster,/#X-Amz-Target=Odb.CreateCloudAutonomousVmCluster,POST,,,,"autonomousDataStorageSizeInTBs,cloudExadataInfrastructureId,cpuCoreCountPerNode,displayName,memoryPerOracleComputeUnitInGBs,odbNetworkId,totalContainerDatabases",Creates a new Autonomous VM cluster in the spec...,cloud_autonomous_vm_clusters,create_cloud_autonomous_vm_cluster,insert,,,,,
CreateCloudExadataInfrastructure,/#X-Amz-Target=Odb.CreateCloudExadataInfrastructure,POST,,,,"computeCount,displayName,shape,storageCount",Creates an Exadata infrastructure.,cloud_exadata_infrastructures,create_cloud_exadata_infrastructure,insert,,,,,
CreateCloudVmCluster,/#X-Amz-Target=Odb.CreateCloudVmCluster,POST,,,,"cloudExadataInfrastructureId,cpuCoreCount,displayName,giVersion,hostname,odbNetworkId,sshPublicKeys",Creates a VM cluster on the specified Exadata i...,cloud_vm_clusters,create_cloud_vm_cluster,insert,,,,,
CreateOdbNetwork,/#X-Amz-Target=Odb.CreateOdbNetwork,POST,,,,"clientSubnetCidr,displayName",Creates an ODB network.,odb_networks,create_odb_network,insert,,,,,
CreateOdbPeeringConnection,/#X-Amz-Target=Odb.CreateOdbPeeringConnection,POST,,,,"odbNetworkId,peerNetworkId",Creates a peering connection between an ODB net...,odb_peering_connections,create_odb_peering_connection,insert,,,,,
DeleteCloudAutonomousVmCluster,/#X-Amz-Target=Odb.DeleteCloudAutonomousVmCluster,POST,,,,cloudAutonomousVmClusterId,Deletes an Autonomous VM cluster.,cloud_autonomous_vm_clusters,delete_cloud_autonomous_vm_cluster,delete,,,,,
DeleteCloudExadataInfrastructure,/#X-Amz-Target=Odb.DeleteCloudExadataInfrastructure,POST,,,,cloudExadataInfrastructureId,Deletes the specified Exadata infrastructure. B...,cloud_exadata_infrastructures,delete_cloud_exadata_infrastructure,delete,,,,,
DeleteCloudVmCluster,/#X-Amz-Target=Odb.DeleteCloudVmCluster,POST,,,,cloudVmClusterId,Deletes the specified VM cluster.,cloud_vm_clusters,delete_cloud_vm_cluster,delete,,,,,
DeleteOdbNetwork,/#X-Amz-Target=Odb.DeleteOdbNetwork,POST,,,,"deleteAssociatedResources,odbNetworkId",Deletes the specified ODB network.,odb_networks,delete_odb_network,delete,,,,,
DeleteOdbPeeringConnection,/#X-Amz-Target=Odb.DeleteOdbPeeringConnection,POST,,,,odbPeeringConnectionId,Deletes an ODB peering connection. When you del...,odb_peering_connections,delete_odb_peering_connection,delete,,,,,
DisassociateIamRoleFromResource,/#X-Amz-Target=Odb.DisassociateIamRoleFromResource,POST,,,,"awsIntegration,iamRoleArn,resourceArn",Disassociates an Amazon Web Services Identity a...,iam_role_associations,disassociate_iam_role_from_resource,exec,,,,,
GetCloudAutonomousVmCluster,/#X-Amz-Target=Odb.GetCloudAutonomousVmCluster,POST,,,,cloudAutonomousVmClusterId,Gets information about a specific Autonomous VM...,cloud_autonomous_vm_clusters,get_cloud_autonomous_vm_cluster,select,,,,,
GetCloudExadataInfrastructure,/#X-Amz-Target=Odb.GetCloudExadataInfrastructure,POST,,,,cloudExadataInfrastructureId,Returns information about the specified Exadata...,cloud_exadata_infrastructures,get_cloud_exadata_infrastructure,select,,,,,
GetCloudExadataInfrastructureUnallocatedResources,/#X-Amz-Target=Odb.GetCloudExadataInfrastructureUnallocatedResources,POST,,,,cloudExadataInfrastructureId,Retrieves information about unallocated resourc...,cloud_exadata_infrastructure_unallocated_resources,get_cloud_exadata_infrastructure_unallocated_resources,select,,,,,
GetCloudVmCluster,/#X-Amz-Target=Odb.GetCloudVmCluster,POST,,,,cloudVmClusterId,Returns information about the specified VM clus...,cloud_vm_clusters,get_cloud_vm_cluster,select,,,,,
GetDbNode,/#X-Amz-Target=Odb.GetDbNode,POST,,,,"cloudVmClusterId,dbNodeId",Returns information about the specified DB node.,db_nodes,get_db_node,select,,,,,
GetDbServer,/#X-Amz-Target=Odb.GetDbServer,POST,,,,"cloudExadataInfrastructureId,dbServerId",Returns information about the specified databas...,db_servers,get_db_server,select,,,,,
GetOciOnboardingStatus,/#X-Amz-Target=Odb.GetOciOnboardingStatus,POST,,,,,Returns the tenancy activation link and onboard...,oci_onboarding_status,get_oci_onboarding_status,select,,,,,
GetOdbNetwork,/#X-Amz-Target=Odb.GetOdbNetwork,POST,,,,odbNetworkId,Returns information about the specified ODB net...,odb_networks,get_odb_network,select,,,,,
