operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
BatchGetCollection,/#X-Amz-Target=OpenSearchServerless.BatchGetCollection,POST,"Returns attributes for one or more collections,...",,batch_get_collection,exec,,,,,
BatchGetEffectiveLifecyclePolicy,/#X-Amz-Target=OpenSearchServerless.BatchGetEffectiveLifecyclePolicy,POST,Returns a list of successful and failed retriev...,,batch_get_effective_lifecycle_policy,exec,,,,,
BatchGetLifecyclePolicy,/#X-Amz-Target=OpenSearchServerless.BatchGetLifecyclePolicy,POST,Returns one or more configured OpenSearch Serve...,,batch_get_lifecycle_policy,exec,,,,,
BatchGetVpcEndpoint,/#X-Amz-Target=OpenSearchServerless.BatchGetVpcEndpoint,POST,Returns attributes for one or more VPC endpoint...,,batch_get_vpc_endpoint,exec,,,,,
CreateAccessPolicy,/#X-Amz-Target=OpenSearchServerless.CreateAccessPolicy,POST,Creates a data access policy for OpenSearch Ser...,,create_access_policy,insert,,,,,
CreateCollection,/#X-Amz-Target=OpenSearchServerless.CreateCollection,POST,Creates a new OpenSearch Serverless collection....,,create_collection,insert,,,,,
CreateIndex,/#X-Amz-Target=OpenSearchServerless.CreateIndex,POST,Creates an index within an OpenSearch Serverles...,,create_index,insert,,,,,
CreateLifecyclePolicy,/#X-Amz-Target=OpenSearchServerless.CreateLifecyclePolicy,POST,Creates a lifecyle policy to be applied to Open...,,create_lifecycle_policy,insert,,,,,
CreateSecurityConfig,/#X-Amz-Target=OpenSearchServerless.CreateSecurityConfig,POST,Specifies a security configuration for OpenSear...,,create_security_config,insert,,,,,
CreateSecurityPolicy,/#X-Amz-Target=OpenSearchServerless.CreateSecurityPolicy,POST,Creates a security policy to be used by one or ...,,create_security_policy,insert,,,,,
CreateVpcEndpoint,/#X-Amz-Target=OpenSearchServerless.CreateVpcEndpoint,POST,Creates an OpenSearch Serverless-managed interf...,,create_vpc_endpoint,insert,,,,,
DeleteAccessPolicy,/#X-Amz-Target=OpenSearchServerless.DeleteAccessPolicy,POST,Deletes an OpenSearch Serverless access policy....,,delete_access_policy,delete,,,,,
DeleteCollection,/#X-Amz-Target=OpenSearchServerless.DeleteCollection,POST,Deletes an OpenSearch Serverless collection. Fo...,,delete_collection,delete,,,,,
DeleteIndex,/#X-Amz-Target=OpenSearchServerless.DeleteIndex,POST,Deletes an index from an OpenSearch Serverless ...,,delete_index,delete,,,,,
DeleteLifecyclePolicy,/#X-Amz-Target=OpenSearchServerless.DeleteLifecyclePolicy,POST,Deletes an OpenSearch Serverless lifecycle poli...,,delete_lifecycle_policy,delete,,,,,
DeleteSecurityConfig,/#X-Amz-Target=OpenSearchServerless.DeleteSecurityConfig,POST,Deletes a security configuration for OpenSearch...,,delete_security_config,delete,,,,,
DeleteSecurityPolicy,/#X-Amz-Target=OpenSearchServerless.DeleteSecurityPolicy,POST,Deletes an OpenSearch Serverless security policy.,,delete_security_policy,delete,,,,,
DeleteVpcEndpoint,/#X-Amz-Target=OpenSearchServerless.DeleteVpcEndpoint,POST,Deletes an OpenSearch Serverless-managed interf...,,delete_vpc_endpoint,delete,,,,,
GetAccessPolicy,/#X-Amz-Target=OpenSearchServerless.GetAccessPolicy,POST,Returns an OpenSearch Serverless access policy....,,get_access_policy,select,,,,,
GetAccountSettings,/#X-Amz-Target=OpenSearchServerless.GetAccountSettings,POST,Returns account-level settings related to OpenS...,,get_account_settings,select,,,,,
GetIndex,/#X-Amz-Target=OpenSearchServerless.GetIndex,POST,Retrieves information about an index in an Open...,,get_index,select,,,,,
GetPoliciesStats,/#X-Amz-Target=OpenSearchServerless.GetPoliciesStats,POST,Returns statistical information about your Open...,,get_policies_stats,select,,,,,
GetSecurityConfig,/#X-Amz-Target=OpenSearchServerless.GetSecurityConfig,POST,Returns information about an OpenSearch Serverl...,,get_security_config,select,,,,,
GetSecurityPolicy,/#X-Amz-Target=OpenSearchServerless.GetSecurityPolicy,POST,Returns information about a configured OpenSear...,,get_security_policy,select,,,,,
ListAccessPolicies,/#X-Amz-Target=OpenSearchServerless.ListAccessPolicies,POST,Returns information about a list of OpenSearch ...,,list_access_policies,select,,,,,
ListCollections,/#X-Amz-Target=OpenSearchServerless.ListCollections,POST,Lists all OpenSearch Serverless collections. Fo...,,list_collections,select,,,,,
ListLifecyclePolicies,/#X-Amz-Target=OpenSearchServerless.ListLifecyclePolicies,POST,Returns a list of OpenSearch Serverless lifecyc...,,list_lifecycle_policies,select,,,,,
ListSecurityConfigs,/#X-Amz-Target=OpenSearchServerless.ListSecurityConfigs,POST,Returns information about configured OpenSearch...,,list_security_configs,select,,,,,
ListSecurityPolicies,/#X-Amz-Target=OpenSearchServerless.ListSecurityPolicies,POST,Returns information about configured OpenSearch...,,list_security_policies,select,,,,,
ListTagsForResource,/#X-Amz-Target=OpenSearchServerless.ListTagsForResource,POST,Returns the tags for an OpenSearch Serverless r...,,list_tags_for_resource,select,,,,,
