operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CloseAccount,/#X-Amz-Target=AWSOrganizationsV20161128.CloseAccount,POST,,,,AccountId,Closes an Amazon Web Services member account wi...,accounts,close_account,exec,,,,,
CreateAccount,/#X-Amz-Target=AWSOrganizationsV20161128.CreateAccount,POST,,,,"AccountName,Email",Creates an Amazon Web Services account that is ...,accounts,create_account,insert,,,,,
CreateGovCloudAccount,/#X-Amz-Target=AWSOrganizationsV20161128.CreateGovCloudAccount,POST,,,,"AccountName,Email",This action is available if all of the followin...,accounts,create_gov_cloud_account,exec,,,,,
DescribeAccount,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeAccount,POST,,,,AccountId,Retrieves Organizations-related information abo...,accounts,describe_account,select,,,,,
ListAccounts,/#X-Amz-Target=AWSOrganizationsV20161128.ListAccounts,POST,,,,,Lists all the accounts in the organization. To ...,accounts,list_accounts,select,,,,,
MoveAccount,/#X-Amz-Target=AWSOrganizationsV20161128.MoveAccount,POST,,,,"AccountId,DestinationParentId,SourceParentId",Moves an account from its current source parent...,accounts,move_account,exec,,,,,
RemoveAccountFromOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.RemoveAccountFromOrganization,POST,,,,AccountId,Removes the specified account from the organiza...,accounts,remove_account_from_organization,exec,,,,,
ListAccountsForParent,/#X-Amz-Target=AWSOrganizationsV20161128.ListAccountsForParent,POST,,,,ParentId,Lists the accounts in an organization that are ...,accounts_for_parent,list_accounts_for_parent,select,,,,,
ListAccountsWithInvalidEffectivePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.ListAccountsWithInvalidEffectivePolicy,POST,,,,PolicyType,Lists all the accounts in an organization that ...,accounts_with_invalid_effective_policy,list_accounts_with_invalid_effective_policy,select,$.Accounts,,,,
DisableAWSServiceAccess,/#X-Amz-Target=AWSOrganizationsV20161128.DisableAWSServiceAccess,POST,,,,ServicePrincipal,Disables the integration of an Amazon Web Servi...,aws_service_access,disable_aws_service_access,exec,,,,,
EnableAWSServiceAccess,/#X-Amz-Target=AWSOrganizationsV20161128.EnableAWSServiceAccess,POST,,,,ServicePrincipal,Provides an Amazon Web Services service (the se...,aws_service_access,enable_aws_service_access,exec,,,,,
ListAWSServiceAccessForOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.ListAWSServiceAccessForOrganization,POST,,,,,Returns a list of the Amazon Web Services servi...,aws_service_access,list_aws_service_access_for_organization,select,,,,,
ListChildren,/#X-Amz-Target=AWSOrganizationsV20161128.ListChildren,POST,,,,"ChildType,ParentId",Lists all of the organizational units (OUs) or ...,children,list_children,select,,,,,
ListCreateAccountStatus,/#X-Amz-Target=AWSOrganizationsV20161128.ListCreateAccountStatus,POST,,,,,Lists the account creation requests that match ...,create_account_status_summaries,list_create_account_status,select,,,,,
DescribeCreateAccountStatus,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeCreateAccountStatus,POST,,,,CreateAccountRequestId,Retrieves the current status of an asynchronous...,create_account_statuses,describe_create_account_status,select,,,,,
DeregisterDelegatedAdministrator,/#X-Amz-Target=AWSOrganizationsV20161128.DeregisterDelegatedAdministrator,POST,,,,"AccountId,ServicePrincipal",Removes the specified member Amazon Web Service...,delegated_administrators,deregister_delegated_administrator,exec,,,,,
ListDelegatedAdministrators,/#X-Amz-Target=AWSOrganizationsV20161128.ListDelegatedAdministrators,POST,,,,,Lists the Amazon Web Services accounts that are...,delegated_administrators,list_delegated_administrators,select,$.DelegatedAdministrators,,,,
RegisterDelegatedAdministrator,/#X-Amz-Target=AWSOrganizationsV20161128.RegisterDelegatedAdministrator,POST,,,,"AccountId,ServicePrincipal",Enables the specified member account to adminis...,delegated_administrators,register_delegated_administrator,exec,,,,,
ListDelegatedServicesForAccount,/#X-Amz-Target=AWSOrganizationsV20161128.ListDelegatedServicesForAccount,POST,,,,AccountId,List the Amazon Web Services services for which...,delegated_services,list_delegated_services_for_account,select,$.DelegatedServices,,,,
DescribeEffectivePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeEffectivePolicy,POST,,,,PolicyType,Returns the contents of the effective policy fo...,effective_policies,describe_effective_policy,select,,,,,
ListEffectivePolicyValidationErrors,/#X-Amz-Target=AWSOrganizationsV20161128.ListEffectivePolicyValidationErrors,POST,,,,"AccountId,PolicyType",Lists all the validation errors on an [effectiv...,effective_policy_validation_errors,list_effective_policy_validation_errors,select,$.EffectivePolicyValidationErrors,,,,
AcceptHandshake,/#X-Amz-Target=AWSOrganizationsV20161128.AcceptHandshake,POST,,,,HandshakeId,Accepts a handshake by sending an `ACCEPTED` re...,handshakes,accept_handshake,exec,,,,,
CancelHandshake,/#X-Amz-Target=AWSOrganizationsV20161128.CancelHandshake,POST,,,,HandshakeId,Cancels a Handshake. Only the account that sent...,handshakes,cancel_handshake,exec,,,,,
DeclineHandshake,/#X-Amz-Target=AWSOrganizationsV20161128.DeclineHandshake,POST,,,,HandshakeId,Declines a Handshake. Only the account that rec...,handshakes,decline_handshake,exec,,,,,
DescribeHandshake,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeHandshake,POST,,,,HandshakeId,Returns details for a handshake. A handshake is...,handshakes,describe_handshake,select,,,,,
InviteAccountToOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.InviteAccountToOrganization,POST,,,,Target,Sends an invitation to another account to join ...,handshakes,invite_account_to_organization,exec,,,,,
ListHandshakesForAccount,/#X-Amz-Target=AWSOrganizationsV20161128.ListHandshakesForAccount,POST,,,,,Lists the recent handshakes that you have recei...,handshakes_for_account,list_handshakes_for_account,select,,,,,
ListHandshakesForOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.ListHandshakesForOrganization,POST,,,,,Lists the recent handshakes that you have sent....,handshakes_for_organization,list_handshakes_for_organization,select,,,,,
ListInboundResponsibilityTransfers,/#X-Amz-Target=AWSOrganizationsV20161128.ListInboundResponsibilityTransfers,POST,,,,Type,Lists transfers that allow you to manage the sp...,inbound_responsibility_transfers,list_inbound_responsibility_transfers,select,,,,,
CreateOrganizationalUnit,/#X-Amz-Target=AWSOrganizationsV20161128.CreateOrganizationalUnit,POST,,,,"Name,ParentId",Creates an organizational unit (OU) within a ro...,organizational_units,create_organizational_unit,insert,,,,,
DeleteOrganizationalUnit,/#X-Amz-Target=AWSOrganizationsV20161128.DeleteOrganizationalUnit,POST,,,,OrganizationalUnitId,Deletes an organizational unit (OU) from a root...,organizational_units,delete_organizational_unit,delete,,,,,
DescribeOrganizationalUnit,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeOrganizationalUnit,POST,,,,OrganizationalUnitId,Retrieves information about an organizational u...,organizational_units,describe_organizational_unit,select,,,,,
UpdateOrganizationalUnit,/#X-Amz-Target=AWSOrganizationsV20161128.UpdateOrganizationalUnit,POST,,,,OrganizationalUnitId,Renames the specified organizational unit (OU)....,organizational_units,update_organizational_unit,update,,,,,
ListOrganizationalUnitsForParent,/#X-Amz-Target=AWSOrganizationsV20161128.ListOrganizationalUnitsForParent,POST,,,,ParentId,Lists the organizational units (OUs) in a paren...,organizational_units_for_parent,list_organizational_units_for_parent,select,,,,,
CreateOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.CreateOrganization,POST,,,,,Creates an Amazon Web Services organization. Th...,organizations,create_organization,insert,,,,,
DeleteOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.DeleteOrganization,POST,,,,,Deletes the organization. You can delete an org...,organizations,delete_organization,delete,,,,,
DescribeOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeOrganization,POST,,,,,Retrieves information about the organization th...,organizations,describe_organization,select,,,,,
EnableAllFeatures,/#X-Amz-Target=AWSOrganizationsV20161128.EnableAllFeatures,POST,,,,,Enables all features in an organization. This e...,organizations,enable_all_features,exec,,,,,
LeaveOrganization,/#X-Amz-Target=AWSOrganizationsV20161128.LeaveOrganization,POST,,,,,Removes a member account from its parent organi...,organizations,leave_organization,exec,,,,,
ListOutboundResponsibilityTransfers,/#X-Amz-Target=AWSOrganizationsV20161128.ListOutboundResponsibilityTransfers,POST,,,,Type,Lists transfers that allow an account outside y...,outbound_responsibility_transfers,list_outbound_responsibility_transfers,select,,,,,
ListParents,/#X-Amz-Target=AWSOrganizationsV20161128.ListParents,POST,,,,ChildId,Lists the root or organizational units (OUs) th...,parents,list_parents,select,,,,,
AttachPolicy,/#X-Amz-Target=AWSOrganizationsV20161128.AttachPolicy,POST,,,,"PolicyId,TargetId","Attaches a policy to a root, an organizational ...",policies,attach_policy,exec,,,,,
CreatePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.CreatePolicy,POST,,,,"Content,Description,Name,Type",Creates a policy of a specified type that you c...,policies,create_policy,insert,,,,,
DeletePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.DeletePolicy,POST,,,,PolicyId,Deletes the specified policy from your organiza...,policies,delete_policy,delete,,,,,
DescribePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.DescribePolicy,POST,,,,PolicyId,Retrieves information about a policy. You can o...,policies,describe_policy,select,,,,,
DetachPolicy,/#X-Amz-Target=AWSOrganizationsV20161128.DetachPolicy,POST,,,,"PolicyId,TargetId","Detaches a policy from a target root, organizat...",policies,detach_policy,exec,,,,,
UpdatePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.UpdatePolicy,POST,,,,PolicyId,"Updates an existing policy with a new name, des...",policies,update_policy,update,,,,,
ListPoliciesForTarget,/#X-Amz-Target=AWSOrganizationsV20161128.ListPoliciesForTarget,POST,,,,"Filter,TargetId",Lists the policies that are directly attached t...,policies_for_target,list_policies_for_target,select,,,,,
ListPolicies,/#X-Amz-Target=AWSOrganizationsV20161128.ListPolicies,POST,,,,Filter,Retrieves the list of all policies in an organi...,policy_summaries,list_policies,select,,,,,
DisablePolicyType,/#X-Amz-Target=AWSOrganizationsV20161128.DisablePolicyType,POST,,,,"PolicyType,RootId",Disables an organizational policy type in a roo...,policy_types,disable_policy_type,exec,,,,,
EnablePolicyType,/#X-Amz-Target=AWSOrganizationsV20161128.EnablePolicyType,POST,,,,"PolicyType,RootId",Enables a policy type in a root. After you enab...,policy_types,enable_policy_type,exec,,,,,
DeleteResourcePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.DeleteResourcePolicy,POST,,,,,Deletes the resource policy from your organizat...,resource_policies,delete_resource_policy,delete,,,,,
DescribeResourcePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeResourcePolicy,POST,,,,,Retrieves information about a resource policy. ...,resource_policies,describe_resource_policy,select,,,,,
PutResourcePolicy,/#X-Amz-Target=AWSOrganizationsV20161128.PutResourcePolicy,POST,,,,Content,Creates or updates a resource policy. You can o...,resource_policies,put_resource_policy,replace,,,,,
DescribeResponsibilityTransfer,/#X-Amz-Target=AWSOrganizationsV20161128.DescribeResponsibilityTransfer,POST,,,,Id,Returns details for a transfer. A _transfer_ is...,responsibility_transfers,describe_responsibility_transfer,select,,,,,
InviteOrganizationToTransferResponsibility,/#X-Amz-Target=AWSOrganizationsV20161128.InviteOrganizationToTransferResponsibility,POST,,,,"SourceName,StartTimestamp,Target,Type",Sends an invitation to another organization's m...,responsibility_transfers,invite_organization_to_transfer_responsibility,exec,,,,,
TerminateResponsibilityTransfer,/#X-Amz-Target=AWSOrganizationsV20161128.TerminateResponsibilityTransfer,POST,,,,Id,Ends a transfer. A _transfer_ is an arrangement...,responsibility_transfers,terminate_responsibility_transfer,exec,,,,,
UpdateResponsibilityTransfer,/#X-Amz-Target=AWSOrganizationsV20161128.UpdateResponsibilityTransfer,POST,,,,"Id,Name",Updates a transfer. A _transfer_ is the arrange...,responsibility_transfers,update_responsibility_transfer,update,,,,,
ListRoots,/#X-Amz-Target=AWSOrganizationsV20161128.ListRoots,POST,,,,,Lists the roots that are defined in the current...,roots,list_roots,select,,,,,
ListTagsForResource,/#X-Amz-Target=AWSOrganizationsV20161128.ListTagsForResource,POST,,,,ResourceId,Lists tags that are attached to the specified r...,tags,list_tags_for_resource,select,$.Tags,,,,
TagResource,/#X-Amz-Target=AWSOrganizationsV20161128.TagResource,POST,,,,"ResourceId,Tags",Adds one or more tags to the specified resource...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AWSOrganizationsV20161128.UntagResource,POST,,,,"ResourceId,TagKeys",Removes any tags with the specified keys from t...,tags,untag_resource,exec,,,,,
ListTargetsForPolicy,/#X-Amz-Target=AWSOrganizationsV20161128.ListTargetsForPolicy,POST,,,,PolicyId,"Lists all the roots, organizational units (OUs)...",targets_for_policy,list_targets_for_policy,select,,,,,
